{'statement': "I don't like expensive restaurants. Between Piper's Pub And Grill and Branca, I should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Branca'}
{'statement': "I don't like expensive restaurants. Between Sky Dragon Chinese Restaurant and Supermodel Pizza, I should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "I don't like expensive restaurants. Between Pho 88 and Sky Dragon Chinese Restaurant, I should go to Pho 88.", 'answer': 'Pho 88', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "I don't like expensive restaurants. Between Dinah's Cupboard and Buk Chang Dong Soon Tofu, I should go to Buk Chang Dong Soon Tofu.", 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': "Dinah's Cupboard"}
{'statement': "I don't like expensive restaurants. Between Adega Restaurante and Cantine Bar & Grill, I should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Adega Restaurante'}
{'statement': "I don't like expensive restaurants. Between Green Room and Hawthorne Food and Drink, I should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Hawthorne Food and Drink'}
{'statement': "I don't like expensive restaurants. Between To-ne Sushi and Branca, I should go to To-ne Sushi.", 'answer': 'To-ne Sushi', 'candidate': 'Branca'}
{'statement': "I don't like expensive restaurants. Between Beryl's Pepper Pot and Shawarma Twist, I should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': "Beryl's Pepper Pot"}
{'statement': "I don't like expensive restaurants. Between Tian An Cuisine and Verona Restaurant, I should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': 'Verona Restaurant'}
{'statement': "I don't like expensive restaurants. Between New Bilan Restaurant and FreshCo, I should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'FreshCo'}
{'statement': "I don't like expensive restaurants. Between Falafel Hut Village and Scaddabush Italian Kitchen & Bar, I should go to Falafel Hut Village.", 'answer': 'Falafel Hut Village', 'candidate': 'Scaddabush Italian Kitchen & Bar'}
{'statement': "I don't like expensive restaurants. Between Itamae Ayce Sushi and New Bilan Restaurant, I should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Itamae Ayce Sushi'}
{'statement': "I don't like expensive restaurants. Between Hawthorne Food and Drink and Nutella Cafe by Pusateri's, I should go to Hawthorne Food and Drink.", 'answer': 'Hawthorne Food and Drink', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "I don't like expensive restaurants. Between Milo's Pita and Amaya Express, I should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Amaya Express'}
{'statement': "I don't like expensive restaurants. Between Juice & Java Cafe and Bonne Journee, I should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Juice & Java Cafe'}
{'statement': "I don't like expensive restaurants. Between Falafel House and Sky Dragon Chinese Restaurant, I should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "I don't like expensive restaurants. Between Mirage Grill & Lounge and Pizzeria Via Mercanti, I should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "I don't like expensive restaurants. Between Bagel Nash and Hapa Toronto, I should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'Hapa Toronto'}
{'statement': "I don't like expensive restaurants. Between Pisco 1641 and Adega Restaurante, I should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': 'Adega Restaurante'}
{'statement': "I don't like expensive restaurants. Between Supermodel Pizza and Milestones Restaurants, I should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Milestones Restaurants'}
{'statement': "I don't like expensive restaurants. Between Ici Bistro and Tik Talk Cafe, I should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Ici Bistro'}
{'statement': "I don't like expensive restaurants. Between Tim Hortons and Aroma Espresso Bar, I should go to Tim Hortons.", 'answer': 'Tim Hortons', 'candidate': 'Aroma Espresso Bar'}
{'statement': "I don't like expensive restaurants. Between Edible Arrangements and The Coffee Pocket, I should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Edible Arrangements'}
{'statement': "I don't like expensive restaurants. Between Helena's Magic Kitchen and Dangerous Dan's Diner, I should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': "Dangerous Dan's Diner"}
{'statement': "I don't like expensive restaurants. Between Sushi World and Paradise Farms Prime Beef Bistro, I should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "I don't like expensive restaurants. Between Ardor Bistro and McDonald's, I should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Ardor Bistro'}
{'statement': "I don't like expensive restaurants. Between Mi Mi Restaurant and Hina Sushi, I should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': 'Hina Sushi'}
{'statement': "I don't like expensive restaurants. Between Mysteriously Yours Dinner Theatre and Pizzeria Via Mercanti, I should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "I don't like expensive restaurants. Between Buk Chang Dong Soon Tofu and Piper's Pub And Grill, I should go to Buk Chang Dong Soon Tofu.", 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': "Piper's Pub And Grill"}
{'statement': "I don't like expensive restaurants. Between Joe Badali's Ristorante Italiano & Bar and The Empire, I should go to The Empire.", 'answer': 'The Empire', 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': "I don't like expensive restaurants. Between Scaddabush Italian Kitchen & Bar and Villa Madina, I should go to Villa Madina.", 'answer': 'Villa Madina', 'candidate': 'Scaddabush Italian Kitchen & Bar'}
{'statement': "I don't like expensive restaurants. Between Hapa Toronto and New Bilan Restaurant, I should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Hapa Toronto'}
{'statement': "I don't like expensive restaurants. Between Grappa Ristorante and Kairali - Taste of Kerala, I should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Grappa Ristorante'}
{'statement': "I don't like expensive restaurants. Between Fitness Avenue and Ciao Europa wine bar, I should go to Fitness Avenue.", 'answer': 'Fitness Avenue', 'candidate': 'Ciao Europa wine bar'}
{'statement': "I don't like expensive restaurants. Between LCBO and Sizzlers, I should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'LCBO'}
{'statement': "I don't like expensive restaurants. Between Branca and Bake Island, I should go to Bake Island.", 'answer': 'Bake Island', 'candidate': 'Branca'}
{'statement': "I don't like expensive restaurants. Between Breakfast Room and Bonne Journee, I should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Breakfast Room'}
{'statement': "I don't like expensive restaurants. Between Cake Opera and Cantine Bar & Grill, I should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Cake Opera'}
{'statement': "I don't like expensive restaurants. Between Itamae Ayce Sushi and Sushi World, I should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Itamae Ayce Sushi'}
{'statement': "I don't like expensive restaurants. Between Edible Arrangements and Juice & Java Cafe, I should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Edible Arrangements'}
{'statement': "I don't like expensive restaurants. Between Magic Oven and Green Room, I should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Magic Oven'}
{'statement': "I don't like expensive restaurants. Between Taste of Greek Cuisine and Helena's Magic Kitchen, I should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'Taste of Greek Cuisine'}
{'statement': "I don't like expensive restaurants. Between Dinah's Cupboard and Shawarma Twist, I should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': "Dinah's Cupboard"}
{'statement': "I don't like expensive restaurants. Between Queen Slice and La Pupusa Loka, I should go to Queen Slice.", 'answer': 'Queen Slice', 'candidate': 'La Pupusa Loka'}
{'statement': "I don't like expensive restaurants. Between Modo Mio Italian Bistro and Queen Pita, I should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Modo Mio Italian Bistro'}
{'statement': "I don't like expensive restaurants. Between Supermodel Pizza and Paradise Farms Prime Beef Bistro, I should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "I don't like expensive restaurants. Between 9 Restaurant and Big Al's Diner, I should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': '9 Restaurant'}
{'statement': "I don't like expensive restaurants. Between JJ Bean and Edible Arrangements, I should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'Edible Arrangements'}
{'statement': "I don't like expensive restaurants. Between Basha Middle Eastern Grill and Verona Restaurant, I should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': 'Verona Restaurant'}
