{'statement': 'Someone is looking for an affordable restaurant. Between Nook and Thompson Rooftop, this person should go to Nook.', 'answer': 'Nook', 'candidate': 'Thompson Rooftop'}
{'statement': 'Someone is looking for an affordable restaurant. Between Verona Restaurant and Cantine Bar & Grill, this person should go to Cantine Bar & Grill.', 'answer': 'Cantine Bar & Grill', 'candidate': 'Verona Restaurant'}
{'statement': 'Someone is looking for an affordable restaurant. Between Green Grotto and Cake Opera, this person should go to Green Grotto.', 'answer': 'Green Grotto', 'candidate': 'Cake Opera'}
{'statement': 'Someone is looking for an affordable restaurant. Between Galata Cafe and Sizzlers, this person should go to Sizzlers.', 'answer': 'Sizzlers', 'candidate': 'Galata Cafe'}
{'statement': "Someone is looking for an affordable restaurant. Between McDonald's and Beryl's Pepper Pot, this person should go to McDonald's.", 'answer': "McDonald's", 'candidate': "Beryl's Pepper Pot"}
{'statement': 'Someone is looking for an affordable restaurant. Between Madras Pantry and Daily Press Juicery, this person should go to Madras Pantry.', 'answer': 'Madras Pantry', 'candidate': 'Daily Press Juicery'}
{'statement': 'Someone is looking for an affordable restaurant. Between Le Papillon Park and Mi Mi Restaurant, this person should go to Mi Mi Restaurant.', 'answer': 'Mi Mi Restaurant', 'candidate': 'Le Papillon Park'}
{'statement': 'Someone is looking for an affordable restaurant. Between Thai 4 You Restaurant and Queen Pita, this person should go to Queen Pita.', 'answer': 'Queen Pita', 'candidate': 'Thai 4 You Restaurant'}
{'statement': 'Someone is looking for an affordable restaurant. Between Delicious Paradise Kitchen and Cantine Bar & Grill, this person should go to Delicious Paradise Kitchen.', 'answer': 'Delicious Paradise Kitchen', 'candidate': 'Cantine Bar & Grill'}
{'statement': "Someone is looking for an affordable restaurant. Between Dinah's Cupboard and Phil's Original BBQ, this person should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': "Dinah's Cupboard"}
{'statement': 'Someone is looking for an affordable restaurant. Between Ici Bistro and Thai 4 You Restaurant, this person should go to Thai 4 You Restaurant.', 'answer': 'Thai 4 You Restaurant', 'candidate': 'Ici Bistro'}
{'statement': 'Someone is looking for an affordable restaurant. Between Pho 88 and Tik Talk Cafe, this person should go to Pho 88.', 'answer': 'Pho 88', 'candidate': 'Tik Talk Cafe'}
{'statement': 'Someone is looking for an affordable restaurant. Between Falafel House and Paradise Farms Prime Beef Bistro, this person should go to Falafel House.', 'answer': 'Falafel House', 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': 'Someone is looking for an affordable restaurant. Between St. Clair Shawarma and Falafel and Juice & Java Cafe, this person should go to St. Clair Shawarma and Falafel.', 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Juice & Java Cafe'}
{'statement': 'Someone is looking for an affordable restaurant. Between Magic Oven and Sushi World, this person should go to Sushi World.', 'answer': 'Sushi World', 'candidate': 'Magic Oven'}
{'statement': 'Someone is looking for an affordable restaurant. Between Pizza Pizza and Popeyes Louisiana Kitchen, this person should go to Pizza Pizza.', 'answer': 'Pizza Pizza', 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': 'Someone is looking for an affordable restaurant. Between Sky Dragon Chinese Restaurant and Eastern legend, this person should go to Eastern legend.', 'answer': 'Eastern legend', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': 'Someone is looking for an affordable restaurant. Between Just Soups Take Out & Catering and Galata Cafe, this person should go to Just Soups Take Out & Catering.', 'answer': 'Just Soups Take Out & Catering', 'candidate': 'Galata Cafe'}
{'statement': 'Someone is looking for an affordable restaurant. Between Falafel House and Maurya East Indian Roti, this person should go to Falafel House.', 'answer': 'Falafel House', 'candidate': 'Maurya East Indian Roti'}
{'statement': 'Someone is looking for an affordable restaurant. Between Oxygen Restaurant & Lounge and St. Louis Bar & Grill, this person should go to St. Louis Bar & Grill.', 'answer': 'St. Louis Bar & Grill', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': 'Someone is looking for an affordable restaurant. Between Daily Press Juicery and Hapa Toronto, this person should go to Daily Press Juicery.', 'answer': 'Daily Press Juicery', 'candidate': 'Hapa Toronto'}
{'statement': 'Someone is looking for an affordable restaurant. Between Breakfast Room and Bonne Journee, this person should go to Bonne Journee.', 'answer': 'Bonne Journee', 'candidate': 'Breakfast Room'}
{'statement': 'Someone is looking for an affordable restaurant. Between The Coffee Pocket and To-ne Sushi, this person should go to The Coffee Pocket.', 'answer': 'The Coffee Pocket', 'candidate': 'To-ne Sushi'}
{'statement': "Someone is looking for an affordable restaurant. Between Dangerous Dan's Diner and Fitness Avenue, this person should go to Fitness Avenue.", 'answer': 'Fitness Avenue', 'candidate': "Dangerous Dan's Diner"}
{'statement': 'Someone is looking for an affordable restaurant. Between Pisco 1641 and Delicious Paradise Kitchen, this person should go to Delicious Paradise Kitchen.', 'answer': 'Delicious Paradise Kitchen', 'candidate': 'Pisco 1641'}
{'statement': "Someone is looking for an affordable restaurant. Between New Bilan Restaurant and Nutella Cafe by Pusateri's, this person should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': 'Someone is looking for an affordable restaurant. Between Maurya East Indian Roti and St. Clair Shawarma and Falafel, this person should go to St. Clair Shawarma and Falafel.', 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Maurya East Indian Roti'}
{'statement': 'Someone is looking for an affordable restaurant. Between Falafel Hut Village and Milestones Restaurants, this person should go to Falafel Hut Village.', 'answer': 'Falafel Hut Village', 'candidate': 'Milestones Restaurants'}
{'statement': 'Someone is looking for an affordable restaurant. Between St. Clair Shawarma and Falafel and Edible Arrangements, this person should go to St. Clair Shawarma and Falafel.', 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Edible Arrangements'}
{'statement': 'Someone is looking for an affordable restaurant. Between Topham Corner and Falafel House, this person should go to Falafel House.', 'answer': 'Falafel House', 'candidate': 'Topham Corner'}
{'statement': "Someone is looking for an affordable restaurant. Between Phil's Original BBQ and Helena's Magic Kitchen, this person should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': "Phil's Original BBQ"}
{'statement': "Someone is looking for an affordable restaurant. Between Paradise Farms Prime Beef Bistro and Dinah's Cupboard, this person should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': "Dinah's Cupboard"}
{'statement': "Someone is looking for an affordable restaurant. Between Phil's Original BBQ and The Coffee Pocket, this person should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': "Phil's Original BBQ"}
{'statement': 'Someone is looking for an affordable restaurant. Between Goldstone Noodle Restaurant and Hapa Toronto, this person should go to Goldstone Noodle Restaurant.', 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Hapa Toronto'}
{'statement': 'Someone is looking for an affordable restaurant. Between Green Room and Juice & Java Cafe, this person should go to Green Room.', 'answer': 'Green Room', 'candidate': 'Juice & Java Cafe'}
{'statement': 'Someone is looking for an affordable restaurant. Between Chipotle Mexican Grill and New Bilan Restaurant, this person should go to New Bilan Restaurant.', 'answer': 'New Bilan Restaurant', 'candidate': 'Chipotle Mexican Grill'}
{'statement': 'Someone is looking for an affordable restaurant. Between Eastern legend and Mt Everest Restaurant, this person should go to Eastern legend.', 'answer': 'Eastern legend', 'candidate': 'Mt Everest Restaurant'}
{'statement': "Someone is looking for an affordable restaurant. Between Domino's Pizza and Tim Hortons, this person should go to Tim Hortons.", 'answer': 'Tim Hortons', 'candidate': "Domino's Pizza"}
{'statement': 'Someone is looking for an affordable restaurant. Between Cake Opera and Grappa Ristorante, this person should go to Grappa Ristorante.', 'answer': 'Grappa Ristorante', 'candidate': 'Cake Opera'}
{'statement': 'Someone is looking for an affordable restaurant. Between Cafe Jules and 9 Restaurant, this person should go to Cafe Jules.', 'answer': 'Cafe Jules', 'candidate': '9 Restaurant'}
{'statement': 'Someone is looking for an affordable restaurant. Between Evoo Ristorante and Hapa Toronto, this person should go to Hapa Toronto.', 'answer': 'Hapa Toronto', 'candidate': 'Evoo Ristorante'}
{'statement': 'Someone is looking for an affordable restaurant. Between Basha Middle Eastern Grill and Verona Restaurant, this person should go to Basha Middle Eastern Grill.', 'answer': 'Basha Middle Eastern Grill', 'candidate': 'Verona Restaurant'}
{'statement': 'Someone is looking for an affordable restaurant. Between St. Louis Bar & Grill and St. Clair Shawarma and Falafel, this person should go to St. Clair Shawarma and Falafel.', 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'St. Louis Bar & Grill'}
{'statement': 'Someone is looking for an affordable restaurant. Between z-teca Gourmet Burritos and Galata Cafe, this person should go to z-teca Gourmet Burritos.', 'answer': 'z-teca Gourmet Burritos', 'candidate': 'Galata Cafe'}
{'statement': 'Someone is looking for an affordable restaurant. Between Falafel House and Basil Express Restaurant, this person should go to Falafel House.', 'answer': 'Falafel House', 'candidate': 'Basil Express Restaurant'}
{'statement': "Someone is looking for an affordable restaurant. Between Harry's Char Broil & Dining Lounge and Thompson Rooftop, this person should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'Thompson Rooftop'}
{'statement': 'Someone is looking for an affordable restaurant. Between St. Clair Shawarma and Falafel and Ici Bistro, this person should go to St. Clair Shawarma and Falafel.', 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Ici Bistro'}
{'statement': 'Someone is looking for an affordable restaurant. Between Fitness Avenue and Magic Oven, this person should go to Fitness Avenue.', 'answer': 'Fitness Avenue', 'candidate': 'Magic Oven'}
{'statement': "Someone is looking for an affordable restaurant. Between Warung Indonesia D'Eglinton and Lahore Grill & Fast Food, this person should go to Lahore Grill & Fast Food.", 'answer': 'Lahore Grill & Fast Food', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': 'Someone is looking for an affordable restaurant. Between Tik Talk Cafe and The Coffee Pocket, this person should go to The Coffee Pocket.', 'answer': 'The Coffee Pocket', 'candidate': 'Tik Talk Cafe'}
{'statement': "Someone is looking for an affordable restaurant. Between Adega Restaurante and Carole's Cheesecake Cafe, this person should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Adega Restaurante'}
{'statement': 'Someone is looking for an affordable restaurant. Between Sushi World and Popeyes Louisiana Kitchen, this person should go to Sushi World.', 'answer': 'Sushi World', 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': 'Someone is looking for an affordable restaurant. Between Tim Hortons and Daily Press Juicery, this person should go to Tim Hortons.', 'answer': 'Tim Hortons', 'candidate': 'Daily Press Juicery'}
{'statement': 'Someone is looking for an affordable restaurant. Between New Bilan Restaurant and Ardor Bistro, this person should go to New Bilan Restaurant.', 'answer': 'New Bilan Restaurant', 'candidate': 'Ardor Bistro'}
{'statement': "Someone is looking for an affordable restaurant. Between Grappa Ristorante and Roncy's Bean, this person should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': 'Grappa Ristorante'}
{'statement': "Someone is looking for an affordable restaurant. Between Dinah's Cupboard and El Fogón, this person should go to El Fogón.", 'answer': 'El Fogón', 'candidate': "Dinah's Cupboard"}
{'statement': 'Someone is looking for an affordable restaurant. Between Magic Oven and Sweet Jesus, this person should go to Sweet Jesus.', 'answer': 'Sweet Jesus', 'candidate': 'Magic Oven'}
{'statement': 'Someone is looking for an affordable restaurant. Between Sweet Jesus and Verona Restaurant, this person should go to Sweet Jesus.', 'answer': 'Sweet Jesus', 'candidate': 'Verona Restaurant'}
{'statement': 'Someone is looking for an affordable restaurant. Between Aroma Espresso Bar and Green Room, this person should go to Green Room.', 'answer': 'Green Room', 'candidate': 'Aroma Espresso Bar'}
{'statement': 'Someone is looking for an affordable restaurant. Between Thompson Rooftop and Scaddabush Italian Kitchen & Bar, this person should go to Scaddabush Italian Kitchen & Bar.', 'answer': 'Scaddabush Italian Kitchen & Bar', 'candidate': 'Thompson Rooftop'}
