{'statement': "You don't like the restaurants nearby. Between Sushi Shop and JJ Bean, you should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'Sushi Shop'}
{'statement': "You don't like the restaurants nearby. Between Sky Dragon Chinese Restaurant and Amaya Express, you should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Amaya Express'}
{'statement': "You don't like the restaurants nearby. Between Bake Island and Pizzeria Via Mercanti, you should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Bake Island'}
{'statement': "You don't like the restaurants nearby. Between Goldstone Noodle Restaurant and Sizzlers, you should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "You don't like the restaurants nearby. Between Sizzlers and Juice & Java Cafe, you should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Juice & Java Cafe'}
{'statement': "You don't like the restaurants nearby. Between Falafel Hut Village and Banjara Indian Cuisine, you should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Falafel Hut Village'}
{'statement': "You don't like the restaurants nearby. Between Smoke's Weinerie and Breakfast Room, you should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Breakfast Room'}
{'statement': "You don't like the restaurants nearby. Between Juice & Java Cafe and Banjara Indian Cuisine, you should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Juice & Java Cafe'}
{'statement': "You don't like the restaurants nearby. Between St. Louis Bar & Grill and z-teca Gourmet Burritos, you should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'St. Louis Bar & Grill'}
{'statement': "You don't like the restaurants nearby. Between Grappa Ristorante and Lahore Grill & Fast Food, you should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "You don't like the restaurants nearby. Between Mirage Grill & Lounge and Evoo Ristorante, you should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Evoo Ristorante'}
{'statement': "You don't like the restaurants nearby. Between Topham Corner and Scaddabush Italian Kitchen & Bar, you should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': 'Scaddabush Italian Kitchen & Bar'}
{'statement': "You don't like the restaurants nearby. Between The Empire and Magic Oven, you should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'The Empire'}
{'statement': "You don't like the restaurants nearby. Between Ciao Europa wine bar and Pisco 1641, you should go to Ciao Europa wine bar.", 'answer': 'Ciao Europa wine bar', 'candidate': 'Pisco 1641'}
{'statement': "You don't like the restaurants nearby. Between Tik Talk Cafe and Mövenpick Café, you should go to Mövenpick Café.", 'answer': 'Mövenpick Café', 'candidate': 'Tik Talk Cafe'}
{'statement': "You don't like the restaurants nearby. Between Tian An Cuisine and Aroma Espresso Bar, you should go to Aroma Espresso Bar.", 'answer': 'Aroma Espresso Bar', 'candidate': 'Tian An Cuisine'}
{'statement': "You don't like the restaurants nearby. Between Magic Oven and Breakfast Room, you should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'Breakfast Room'}
{'statement': "You don't like the restaurants nearby. Between Mamma's Pizza and Mi Mi Restaurant, you should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': "Mamma's Pizza"}
{'statement': "You don't like the restaurants nearby. Between Anatolia Restaurant and The Coffee Pocket, you should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Anatolia Restaurant'}
{'statement': "You don't like the restaurants nearby. Between Ciao Europa wine bar and Sheriff Broaster Chicken, you should go to Ciao Europa wine bar.", 'answer': 'Ciao Europa wine bar', 'candidate': 'Sheriff Broaster Chicken'}
{'statement': "You don't like the restaurants nearby. Between Capitol Trattoria Pizzeria and Kim PO Vietnamese, you should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Kim PO Vietnamese'}
{'statement': "You don't like the restaurants nearby. Between Harry's Char Broil & Dining Lounge and Grappa Ristorante, you should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "You don't like the restaurants nearby. Between Madras Pantry and Sushi World, you should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Madras Pantry'}
{'statement': "You don't like the restaurants nearby. Between El Fogón and Magic Oven, you should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'El Fogón'}
{'statement': "You don't like the restaurants nearby. Between St. Louis Bar & Grill and 9 Restaurant, you should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'St. Louis Bar & Grill'}
{'statement': "You don't like the restaurants nearby. Between Pho 88 and Mysteriously Yours Dinner Theatre, you should go to Pho 88.", 'answer': 'Pho 88', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "You don't like the restaurants nearby. Between Fit For Life and Green Room, you should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Fit For Life'}
{'statement': "You don't like the restaurants nearby. Between Branca and Ici Bistro, you should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Branca'}
{'statement': "You don't like the restaurants nearby. Between Freshii and Anatolia Restaurant, you should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Anatolia Restaurant'}
{'statement': "You don't like the restaurants nearby. Between Sweet Jesus and KFC, you should go to Sweet Jesus.", 'answer': 'Sweet Jesus', 'candidate': 'KFC'}
{'statement': "You don't like the restaurants nearby. Between Le Papillon Park and Fit For Life, you should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': 'Fit For Life'}
{'statement': "You don't like the restaurants nearby. Between Sushi World and Pizzeria Via Mercanti, you should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Sushi World'}
{'statement': "You don't like the restaurants nearby. Between Mi Mi Restaurant and It's All Grk, you should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': "It's All Grk"}
{'statement': "You don't like the restaurants nearby. Between Banjara Indian Cuisine and Green Grotto, you should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Green Grotto'}
{'statement': "You don't like the restaurants nearby. Between Dangerous Dan's Diner and Capitol Trattoria Pizzeria, you should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': "Dangerous Dan's Diner"}
{'statement': "You don't like the restaurants nearby. Between Green Room and Pizza Pizza, you should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Pizza Pizza'}
{'statement': "You don't like the restaurants nearby. Between Cafe Jules and Basil Express Restaurant, you should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': 'Basil Express Restaurant'}
{'statement': "You don't like the restaurants nearby. Between Marcello’s pizzeria and Hina Sushi, you should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Marcello’s pizzeria'}
{'statement': "You don't like the restaurants nearby. Between McDonald's and Bonne Journee, you should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': "McDonald's"}
{'statement': "You don't like the restaurants nearby. Between Big Al's Diner and Just Soups Take Out & Catering, you should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "You don't like the restaurants nearby. Between McDonald's and Mt Everest Restaurant, you should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': "McDonald's"}
{'statement': "You don't like the restaurants nearby. Between Eggspectation and Basha Middle Eastern Grill, you should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Basha Middle Eastern Grill'}
{'statement': "You don't like the restaurants nearby. Between New Bilan Restaurant and Breakfast Room, you should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Breakfast Room'}
{'statement': "You don't like the restaurants nearby. Between LCBO and Ici Bistro, you should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'LCBO'}
{'statement': "You don't like the restaurants nearby. Between Pasta Pantry and Warung Indonesia D'Eglinton, you should go to Pasta Pantry.", 'answer': 'Pasta Pantry', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "You don't like the restaurants nearby. Between Grappa Ristorante and Amaya Express, you should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Amaya Express'}
{'statement': "You don't like the restaurants nearby. Between 9 Restaurant and St. Clair Shawarma and Falafel, you should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': '9 Restaurant'}
{'statement': "You don't like the restaurants nearby. Between New Bilan Restaurant and Dinah's Cupboard, you should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': "Dinah's Cupboard"}
{'statement': "You don't like the restaurants nearby. Between Paradise Farms Prime Beef Bistro and Banjara Indian Cuisine, you should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "You don't like the restaurants nearby. Between Beryl's Pepper Pot and Chipotle Mexican Grill, you should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': 'Chipotle Mexican Grill'}
{'statement': "You don't like the restaurants nearby. Between Bonne Journee and Daily Press Juicery, you should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Daily Press Juicery'}
{'statement': "You don't like the restaurants nearby. Between Bao Bao Plus Dim Sum and Domino's Pizza, you should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': "You don't like the restaurants nearby. Between Nutella Cafe by Pusateri's and Delicious Paradise Kitchen, you should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Delicious Paradise Kitchen'}
