{'statement': "Someone doesn't like restaurants further away. Between JJ Bean and Sushi Shop, this person should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'JJ Bean'}
{'statement': "Someone doesn't like restaurants further away. Between Mi Mi Restaurant and Branca, this person should go to Branca.", 'answer': 'Branca', 'candidate': 'Mi Mi Restaurant'}
{'statement': "Someone doesn't like restaurants further away. Between Sushi Time Japanese Restaurant and Phil's Original BBQ, this person should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': "Phil's Original BBQ"}
{'statement': "Someone doesn't like restaurants further away. Between Falafel Hut Village and Bagel Nash, this person should go to Falafel Hut Village.", 'answer': 'Falafel Hut Village', 'candidate': 'Bagel Nash'}
{'statement': "Someone doesn't like restaurants further away. Between Big Al's Diner and Kim PO Vietnamese, this person should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': "Big Al's Diner"}
{'statement': "Someone doesn't like restaurants further away. Between Daily Press Juicery and Tim Hortons, this person should go to Daily Press Juicery.", 'answer': 'Daily Press Juicery', 'candidate': 'Tim Hortons'}
{'statement': "Someone doesn't like restaurants further away. Between Falafel Hut Village and Ici Bistro, this person should go to Falafel Hut Village.", 'answer': 'Falafel Hut Village', 'candidate': 'Ici Bistro'}
{'statement': "Someone doesn't like restaurants further away. Between Bagel Nash and Harry's Char Broil & Dining Lounge, this person should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'Bagel Nash'}
{'statement': "Someone doesn't like restaurants further away. Between Sky Dragon Chinese Restaurant and Amaya Express, this person should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "Someone doesn't like restaurants further away. Between Bake Island and Pizzeria Via Mercanti, this person should go to Bake Island.", 'answer': 'Bake Island', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "Someone doesn't like restaurants further away. Between Sizzlers and Goldstone Noodle Restaurant, this person should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Sizzlers'}
{'statement': "Someone doesn't like restaurants further away. Between Juice & Java Cafe and Sizzlers, this person should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Sizzlers'}
{'statement': "Someone doesn't like restaurants further away. Between Falafel Hut Village and Banjara Indian Cuisine, this person should go to Falafel Hut Village.", 'answer': 'Falafel Hut Village', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "Someone doesn't like restaurants further away. Between Smoke's Weinerie and Breakfast Room, this person should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': "Smoke's Weinerie"}
{'statement': "Someone doesn't like restaurants further away. Between Banjara Indian Cuisine and Juice & Java Cafe, this person should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "Someone doesn't like restaurants further away. Between St. Louis Bar & Grill and z-teca Gourmet Burritos, this person should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "Someone doesn't like restaurants further away. Between Grappa Ristorante and Lahore Grill & Fast Food, this person should go to Lahore Grill & Fast Food.", 'answer': 'Lahore Grill & Fast Food', 'candidate': 'Grappa Ristorante'}
{'statement': "Someone doesn't like restaurants further away. Between Evoo Ristorante and Mirage Grill & Lounge, this person should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "Someone doesn't like restaurants further away. Between Topham Corner and Scaddabush Italian Kitchen & Bar, this person should go to Scaddabush Italian Kitchen & Bar.", 'answer': 'Scaddabush Italian Kitchen & Bar', 'candidate': 'Topham Corner'}
{'statement': "Someone doesn't like restaurants further away. Between The Empire and Magic Oven, this person should go to The Empire.", 'answer': 'The Empire', 'candidate': 'Magic Oven'}
{'statement': "Someone doesn't like restaurants further away. Between Ciao Europa wine bar and Pisco 1641, this person should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': 'Ciao Europa wine bar'}
{'statement': "Someone doesn't like restaurants further away. Between Mövenpick Café and Tik Talk Cafe, this person should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Mövenpick Café'}
{'statement': "Someone doesn't like restaurants further away. Between Tian An Cuisine and Aroma Espresso Bar, this person should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': 'Aroma Espresso Bar'}
{'statement': "Someone doesn't like restaurants further away. Between Breakfast Room and Magic Oven, this person should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'Magic Oven'}
{'statement': "Someone doesn't like restaurants further away. Between Mamma's Pizza and Mi Mi Restaurant, this person should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Mi Mi Restaurant'}
{'statement': "Someone doesn't like restaurants further away. Between The Coffee Pocket and Anatolia Restaurant, this person should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': 'The Coffee Pocket'}
{'statement': "Someone doesn't like restaurants further away. Between Sheriff Broaster Chicken and Ciao Europa wine bar, this person should go to Sheriff Broaster Chicken.", 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Ciao Europa wine bar'}
{'statement': "Someone doesn't like restaurants further away. Between Kim PO Vietnamese and Capitol Trattoria Pizzeria, this person should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "Someone doesn't like restaurants further away. Between Harry's Char Broil & Dining Lounge and Grappa Ristorante, this person should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'Grappa Ristorante'}
{'statement': "Someone doesn't like restaurants further away. Between Madras Pantry and Sushi World, this person should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': 'Sushi World'}
{'statement': "Someone doesn't like restaurants further away. Between Magic Oven and El Fogón, this person should go to El Fogón.", 'answer': 'El Fogón', 'candidate': 'Magic Oven'}
{'statement': "Someone doesn't like restaurants further away. Between St. Louis Bar & Grill and 9 Restaurant, this person should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': '9 Restaurant'}
{'statement': "Someone doesn't like restaurants further away. Between Pho 88 and Mysteriously Yours Dinner Theatre, this person should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Pho 88'}
{'statement': "Someone doesn't like restaurants further away. Between Green Room and Fit For Life, this person should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': 'Green Room'}
{'statement': "Someone doesn't like restaurants further away. Between Branca and Ici Bistro, this person should go to Branca.", 'answer': 'Branca', 'candidate': 'Ici Bistro'}
{'statement': "Someone doesn't like restaurants further away. Between Anatolia Restaurant and Freshii, this person should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': 'Freshii'}
{'statement': "Someone doesn't like restaurants further away. Between Sweet Jesus and KFC, this person should go to KFC.", 'answer': 'KFC', 'candidate': 'Sweet Jesus'}
{'statement': "Someone doesn't like restaurants further away. Between Fit For Life and Le Papillon Park, this person should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': 'Le Papillon Park'}
{'statement': "Someone doesn't like restaurants further away. Between Sushi World and Pizzeria Via Mercanti, this person should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "Someone doesn't like restaurants further away. Between Mi Mi Restaurant and It's All Grk, this person should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Mi Mi Restaurant'}
{'statement': "Someone doesn't like restaurants further away. Between Banjara Indian Cuisine and Green Grotto, this person should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "Someone doesn't like restaurants further away. Between Capitol Trattoria Pizzeria and Dangerous Dan's Diner, this person should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "Someone doesn't like restaurants further away. Between Green Room and Pizza Pizza, this person should go to Pizza Pizza.", 'answer': 'Pizza Pizza', 'candidate': 'Green Room'}
{'statement': "Someone doesn't like restaurants further away. Between Cafe Jules and Basil Express Restaurant, this person should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Cafe Jules'}
{'statement': "Someone doesn't like restaurants further away. Between Marcello’s pizzeria and Hina Sushi, this person should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': 'Hina Sushi'}
{'statement': "Someone doesn't like restaurants further away. Between McDonald's and Bonne Journee, this person should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Bonne Journee'}
{'statement': "Someone doesn't like restaurants further away. Between Big Al's Diner and Just Soups Take Out & Catering, this person should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': "Big Al's Diner"}
{'statement': "Someone doesn't like restaurants further away. Between McDonald's and Mt Everest Restaurant, this person should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Mt Everest Restaurant'}
{'statement': "Someone doesn't like restaurants further away. Between Eggspectation and Basha Middle Eastern Grill, this person should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': 'Eggspectation'}
{'statement': "Someone doesn't like restaurants further away. Between Breakfast Room and New Bilan Restaurant, this person should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'New Bilan Restaurant'}
{'statement': "Someone doesn't like restaurants further away. Between LCBO and Ici Bistro, this person should go to LCBO.", 'answer': 'LCBO', 'candidate': 'Ici Bistro'}
{'statement': "Someone doesn't like restaurants further away. Between Pasta Pantry and Warung Indonesia D'Eglinton, this person should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Pasta Pantry'}
{'statement': "Someone doesn't like restaurants further away. Between Amaya Express and Grappa Ristorante, this person should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': 'Grappa Ristorante'}
{'statement': "Someone doesn't like restaurants further away. Between 9 Restaurant and St. Clair Shawarma and Falafel, this person should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "Someone doesn't like restaurants further away. Between New Bilan Restaurant and Dinah's Cupboard, this person should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'New Bilan Restaurant'}
{'statement': "Someone doesn't like restaurants further away. Between Banjara Indian Cuisine and Paradise Farms Prime Beef Bistro, this person should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "Someone doesn't like restaurants further away. Between Chipotle Mexican Grill and Beryl's Pepper Pot, this person should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': "Beryl's Pepper Pot"}
{'statement': "Someone doesn't like restaurants further away. Between Daily Press Juicery and Bonne Journee, this person should go to Daily Press Juicery.", 'answer': 'Daily Press Juicery', 'candidate': 'Bonne Journee'}
{'statement': "Someone doesn't like restaurants further away. Between Domino's Pizza and Bao Bao Plus Dim Sum, this person should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': "Domino's Pizza"}
{'statement': "Someone doesn't like restaurants further away. Between Delicious Paradise Kitchen and Nutella Cafe by Pusateri's, this person should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': "Nutella Cafe by Pusateri's"}
