{'statement': "I'm looking for an expensive restaurant. Between Piper's Pub And Grill and Branca, I should go to Branca.", 'answer': 'Branca', 'candidate': "Piper's Pub And Grill"}
{'statement': "I'm looking for an expensive restaurant. Between Fit For Life and Marcello’s pizzeria, I should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': 'Fit For Life'}
{'statement': "I'm looking for an expensive restaurant. Between Sushi World and Capitol Trattoria Pizzeria, I should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Sushi World'}
{'statement': "I'm looking for an expensive restaurant. Between KFC and Dangerous Dan's Diner, I should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'KFC'}
{'statement': "I'm looking for an expensive restaurant. Between Sheriff Broaster Chicken and Green Room, I should go to Sheriff Broaster Chicken.", 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Green Room'}
{'statement': "I'm looking for an expensive restaurant. Between Chipotle Mexican Grill and Smoke's Weinerie, I should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': "Smoke's Weinerie"}
{'statement': "I'm looking for an expensive restaurant. Between Big Al's Diner and Evoo Ristorante, I should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': "Big Al's Diner"}
{'statement': "I'm looking for an expensive restaurant. Between Hapa Toronto and Chipotle Mexican Grill, I should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "I'm looking for an expensive restaurant. Between Supermodel Pizza and Sky Dragon Chinese Restaurant, I should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Supermodel Pizza'}
{'statement': "I'm looking for an expensive restaurant. Between Sky Dragon Chinese Restaurant and Pho 88, I should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Pho 88'}
{'statement': "I'm looking for an expensive restaurant. Between Buk Chang Dong Soon Tofu and Dinah's Cupboard, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "I'm looking for an expensive restaurant. Between Adega Restaurante and Cantine Bar & Grill, I should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': 'Cantine Bar & Grill'}
{'statement': "I'm looking for an expensive restaurant. Between Green Room and Hawthorne Food and Drink, I should go to Hawthorne Food and Drink.", 'answer': 'Hawthorne Food and Drink', 'candidate': 'Green Room'}
{'statement': "I'm looking for an expensive restaurant. Between To-ne Sushi and Branca, I should go to Branca.", 'answer': 'Branca', 'candidate': 'To-ne Sushi'}
{'statement': "I'm looking for an expensive restaurant. Between Beryl's Pepper Pot and Shawarma Twist, I should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': 'Shawarma Twist'}
{'statement': "I'm looking for an expensive restaurant. Between Tian An Cuisine and Verona Restaurant, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Tian An Cuisine'}
{'statement': "I'm looking for an expensive restaurant. Between New Bilan Restaurant and FreshCo, I should go to FreshCo.", 'answer': 'FreshCo', 'candidate': 'New Bilan Restaurant'}
{'statement': "I'm looking for an expensive restaurant. Between Scaddabush Italian Kitchen & Bar and Falafel Hut Village, I should go to Scaddabush Italian Kitchen & Bar.", 'answer': 'Scaddabush Italian Kitchen & Bar', 'candidate': 'Falafel Hut Village'}
{'statement': "I'm looking for an expensive restaurant. Between Itamae Ayce Sushi and New Bilan Restaurant, I should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': 'New Bilan Restaurant'}
{'statement': "I'm looking for an expensive restaurant. Between Hawthorne Food and Drink and Nutella Cafe by Pusateri's, I should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Hawthorne Food and Drink'}
{'statement': "I'm looking for an expensive restaurant. Between Amaya Express and Milo's Pita, I should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': "Milo's Pita"}
{'statement': "I'm looking for an expensive restaurant. Between Juice & Java Cafe and Bonne Journee, I should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Bonne Journee'}
{'statement': "I'm looking for an expensive restaurant. Between Sky Dragon Chinese Restaurant and Falafel House, I should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Falafel House'}
{'statement': "I'm looking for an expensive restaurant. Between Pizzeria Via Mercanti and Mirage Grill & Lounge, I should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "I'm looking for an expensive restaurant. Between Hapa Toronto and Bagel Nash, I should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Bagel Nash'}
{'statement': "I'm looking for an expensive restaurant. Between Pisco 1641 and Adega Restaurante, I should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': 'Pisco 1641'}
{'statement': "I'm looking for an expensive restaurant. Between Milestones Restaurants and Supermodel Pizza, I should go to Milestones Restaurants.", 'answer': 'Milestones Restaurants', 'candidate': 'Supermodel Pizza'}
{'statement': "I'm looking for an expensive restaurant. Between Tik Talk Cafe and Ici Bistro, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Tik Talk Cafe'}
{'statement': "I'm looking for an expensive restaurant. Between Aroma Espresso Bar and Tim Hortons, I should go to Aroma Espresso Bar.", 'answer': 'Aroma Espresso Bar', 'candidate': 'Tim Hortons'}
{'statement': "I'm looking for an expensive restaurant. Between The Coffee Pocket and Edible Arrangements, I should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'The Coffee Pocket'}
{'statement': "I'm looking for an expensive restaurant. Between Dangerous Dan's Diner and Helena's Magic Kitchen, I should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': "Helena's Magic Kitchen"}
{'statement': "I'm looking for an expensive restaurant. Between Paradise Farms Prime Beef Bistro and Sushi World, I should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'Sushi World'}
{'statement': "I'm looking for an expensive restaurant. Between McDonald's and Ardor Bistro, I should go to Ardor Bistro.", 'answer': 'Ardor Bistro', 'candidate': "McDonald's"}
{'statement': "I'm looking for an expensive restaurant. Between Hina Sushi and Mi Mi Restaurant, I should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Mi Mi Restaurant'}
{'statement': "I'm looking for an expensive restaurant. Between Mysteriously Yours Dinner Theatre and Pizzeria Via Mercanti, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "I'm looking for an expensive restaurant. Between Piper's Pub And Grill and Buk Chang Dong Soon Tofu, I should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "I'm looking for an expensive restaurant. Between Joe Badali's Ristorante Italiano & Bar and The Empire, I should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': 'The Empire'}
{'statement': "I'm looking for an expensive restaurant. Between Scaddabush Italian Kitchen & Bar and Villa Madina, I should go to Scaddabush Italian Kitchen & Bar.", 'answer': 'Scaddabush Italian Kitchen & Bar', 'candidate': 'Villa Madina'}
{'statement': "I'm looking for an expensive restaurant. Between New Bilan Restaurant and Hapa Toronto, I should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'New Bilan Restaurant'}
{'statement': "I'm looking for an expensive restaurant. Between Grappa Ristorante and Kairali - Taste of Kerala, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "I'm looking for an expensive restaurant. Between Fitness Avenue and Ciao Europa wine bar, I should go to Ciao Europa wine bar.", 'answer': 'Ciao Europa wine bar', 'candidate': 'Fitness Avenue'}
{'statement': "I'm looking for an expensive restaurant. Between LCBO and Sizzlers, I should go to LCBO.", 'answer': 'LCBO', 'candidate': 'Sizzlers'}
{'statement': "I'm looking for an expensive restaurant. Between Bake Island and Branca, I should go to Branca.", 'answer': 'Branca', 'candidate': 'Bake Island'}
{'statement': "I'm looking for an expensive restaurant. Between Breakfast Room and Bonne Journee, I should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'Bonne Journee'}
{'statement': "I'm looking for an expensive restaurant. Between Cake Opera and Cantine Bar & Grill, I should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Cantine Bar & Grill'}
{'statement': "I'm looking for an expensive restaurant. Between Sushi World and Itamae Ayce Sushi, I should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': 'Sushi World'}
{'statement': "I'm looking for an expensive restaurant. Between Edible Arrangements and Juice & Java Cafe, I should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'Juice & Java Cafe'}
{'statement': "I'm looking for an expensive restaurant. Between Green Room and Magic Oven, I should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'Green Room'}
{'statement': "I'm looking for an expensive restaurant. Between Helena's Magic Kitchen and Taste of Greek Cuisine, I should go to Taste of Greek Cuisine.", 'answer': 'Taste of Greek Cuisine', 'candidate': "Helena's Magic Kitchen"}
{'statement': "I'm looking for an expensive restaurant. Between Dinah's Cupboard and Shawarma Twist, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Shawarma Twist'}
{'statement': "I'm looking for an expensive restaurant. Between La Pupusa Loka and Queen Slice, I should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'Queen Slice'}
{'statement': "I'm looking for an expensive restaurant. Between Queen Pita and Modo Mio Italian Bistro, I should go to Modo Mio Italian Bistro.", 'answer': 'Modo Mio Italian Bistro', 'candidate': 'Queen Pita'}
{'statement': "I'm looking for an expensive restaurant. Between Paradise Farms Prime Beef Bistro and Supermodel Pizza, I should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'Supermodel Pizza'}
{'statement': "I'm looking for an expensive restaurant. Between Big Al's Diner and 9 Restaurant, I should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': "Big Al's Diner"}
{'statement': "I'm looking for an expensive restaurant. Between Edible Arrangements and JJ Bean, I should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'JJ Bean'}
{'statement': "I'm looking for an expensive restaurant. Between Verona Restaurant and Basha Middle Eastern Grill, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Basha Middle Eastern Grill'}
