{'statement': "You don't like restaurants further away. Between JJ Bean and Sushi Shop, you should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'JJ Bean'}
{'statement': "You don't like restaurants further away. Between Amaya Express and Sky Dragon Chinese Restaurant, you should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "You don't like restaurants further away. Between Bake Island and Pizzeria Via Mercanti, you should go to Bake Island.", 'answer': 'Bake Island', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "You don't like restaurants further away. Between Goldstone Noodle Restaurant and Sizzlers, you should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Sizzlers'}
{'statement': "You don't like restaurants further away. Between Sizzlers and Juice & Java Cafe, you should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Sizzlers'}
{'statement': "You don't like restaurants further away. Between Banjara Indian Cuisine and Falafel Hut Village, you should go to Falafel Hut Village.", 'answer': 'Falafel Hut Village', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "You don't like restaurants further away. Between Smoke's Weinerie and Breakfast Room, you should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': "Smoke's Weinerie"}
{'statement': "You don't like restaurants further away. Between Banjara Indian Cuisine and Juice & Java Cafe, you should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "You don't like restaurants further away. Between St. Louis Bar & Grill and z-teca Gourmet Burritos, you should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "You don't like restaurants further away. Between Lahore Grill & Fast Food and Grappa Ristorante, you should go to Lahore Grill & Fast Food.", 'answer': 'Lahore Grill & Fast Food', 'candidate': 'Grappa Ristorante'}
{'statement': "You don't like restaurants further away. Between Evoo Ristorante and Mirage Grill & Lounge, you should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "You don't like restaurants further away. Between Scaddabush Italian Kitchen & Bar and Topham Corner, you should go to Scaddabush Italian Kitchen & Bar.", 'answer': 'Scaddabush Italian Kitchen & Bar', 'candidate': 'Topham Corner'}
{'statement': "You don't like restaurants further away. Between Magic Oven and The Empire, you should go to The Empire.", 'answer': 'The Empire', 'candidate': 'Magic Oven'}
{'statement': "You don't like restaurants further away. Between Ciao Europa wine bar and Pisco 1641, you should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': 'Ciao Europa wine bar'}
{'statement': "You don't like restaurants further away. Between Mövenpick Café and Tik Talk Cafe, you should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Mövenpick Café'}
{'statement': "You don't like restaurants further away. Between Tian An Cuisine and Aroma Espresso Bar, you should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': 'Aroma Espresso Bar'}
{'statement': "You don't like restaurants further away. Between Magic Oven and Breakfast Room, you should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'Magic Oven'}
{'statement': "You don't like restaurants further away. Between Mamma's Pizza and Mi Mi Restaurant, you should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Mi Mi Restaurant'}
{'statement': "You don't like restaurants further away. Between The Coffee Pocket and Anatolia Restaurant, you should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': 'The Coffee Pocket'}
{'statement': "You don't like restaurants further away. Between Sheriff Broaster Chicken and Ciao Europa wine bar, you should go to Sheriff Broaster Chicken.", 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Ciao Europa wine bar'}
{'statement': "You don't like restaurants further away. Between Capitol Trattoria Pizzeria and Kim PO Vietnamese, you should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "You don't like restaurants further away. Between Grappa Ristorante and Harry's Char Broil & Dining Lounge, you should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'Grappa Ristorante'}
{'statement': "You don't like restaurants further away. Between Sushi World and Madras Pantry, you should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': 'Sushi World'}
{'statement': "You don't like restaurants further away. Between El Fogón and Magic Oven, you should go to El Fogón.", 'answer': 'El Fogón', 'candidate': 'Magic Oven'}
{'statement': "You don't like restaurants further away. Between St. Louis Bar & Grill and 9 Restaurant, you should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': '9 Restaurant'}
{'statement': "You don't like restaurants further away. Between Mysteriously Yours Dinner Theatre and Pho 88, you should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Pho 88'}
{'statement': "You don't like restaurants further away. Between Fit For Life and Green Room, you should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': 'Green Room'}
{'statement': "You don't like restaurants further away. Between Ici Bistro and Branca, you should go to Branca.", 'answer': 'Branca', 'candidate': 'Ici Bistro'}
{'statement': "You don't like restaurants further away. Between Freshii and Anatolia Restaurant, you should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': 'Freshii'}
{'statement': "You don't like restaurants further away. Between Sweet Jesus and KFC, you should go to KFC.", 'answer': 'KFC', 'candidate': 'Sweet Jesus'}
{'statement': "You don't like restaurants further away. Between Fit For Life and Le Papillon Park, you should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': 'Le Papillon Park'}
{'statement': "You don't like restaurants further away. Between Sushi World and Pizzeria Via Mercanti, you should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "You don't like restaurants further away. Between Mi Mi Restaurant and It's All Grk, you should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Mi Mi Restaurant'}
{'statement': "You don't like restaurants further away. Between Green Grotto and Banjara Indian Cuisine, you should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "You don't like restaurants further away. Between Dangerous Dan's Diner and Capitol Trattoria Pizzeria, you should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "You don't like restaurants further away. Between Green Room and Pizza Pizza, you should go to Pizza Pizza.", 'answer': 'Pizza Pizza', 'candidate': 'Green Room'}
{'statement': "You don't like restaurants further away. Between Basil Express Restaurant and Cafe Jules, you should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Cafe Jules'}
{'statement': "You don't like restaurants further away. Between Hina Sushi and Marcello’s pizzeria, you should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': 'Hina Sushi'}
{'statement': "You don't like restaurants further away. Between Bonne Journee and McDonald's, you should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Bonne Journee'}
{'statement': "You don't like restaurants further away. Between Big Al's Diner and Just Soups Take Out & Catering, you should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': "Big Al's Diner"}
{'statement': "You don't like restaurants further away. Between McDonald's and Mt Everest Restaurant, you should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Mt Everest Restaurant'}
{'statement': "You don't like restaurants further away. Between Eggspectation and Basha Middle Eastern Grill, you should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': 'Eggspectation'}
{'statement': "You don't like restaurants further away. Between Breakfast Room and New Bilan Restaurant, you should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'New Bilan Restaurant'}
{'statement': "You don't like restaurants further away. Between Ici Bistro and LCBO, you should go to LCBO.", 'answer': 'LCBO', 'candidate': 'Ici Bistro'}
{'statement': "You don't like restaurants further away. Between Pasta Pantry and Warung Indonesia D'Eglinton, you should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Pasta Pantry'}
{'statement': "You don't like restaurants further away. Between Amaya Express and Grappa Ristorante, you should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': 'Grappa Ristorante'}
{'statement': "You don't like restaurants further away. Between St. Clair Shawarma and Falafel and 9 Restaurant, you should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "You don't like restaurants further away. Between New Bilan Restaurant and Dinah's Cupboard, you should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'New Bilan Restaurant'}
{'statement': "You don't like restaurants further away. Between Banjara Indian Cuisine and Paradise Farms Prime Beef Bistro, you should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "You don't like restaurants further away. Between Beryl's Pepper Pot and Chipotle Mexican Grill, you should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': "Beryl's Pepper Pot"}
{'statement': "You don't like restaurants further away. Between Bonne Journee and Daily Press Juicery, you should go to Daily Press Juicery.", 'answer': 'Daily Press Juicery', 'candidate': 'Bonne Journee'}
{'statement': "You don't like restaurants further away. Between Domino's Pizza and Bao Bao Plus Dim Sum, you should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': "Domino's Pizza"}
{'statement': "You don't like restaurants further away. Between Nutella Cafe by Pusateri's and Delicious Paradise Kitchen, you should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': "Nutella Cafe by Pusateri's"}
