{'statement': 'You are looking for restaurants further away. Between Sushi Shop and JJ Bean, you should go to JJ Bean.', 'answer': 'JJ Bean', 'candidate': 'Sushi Shop'}
{'statement': 'You are looking for restaurants further away. Between Amaya Express and Sky Dragon Chinese Restaurant, you should go to Sky Dragon Chinese Restaurant.', 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Amaya Express'}
{'statement': 'You are looking for restaurants further away. Between Bake Island and Pizzeria Via Mercanti, you should go to Pizzeria Via Mercanti.', 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Bake Island'}
{'statement': 'You are looking for restaurants further away. Between Sizzlers and Goldstone Noodle Restaurant, you should go to Sizzlers.', 'answer': 'Sizzlers', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': 'You are looking for restaurants further away. Between Sizzlers and Juice & Java Cafe, you should go to Sizzlers.', 'answer': 'Sizzlers', 'candidate': 'Juice & Java Cafe'}
{'statement': 'You are looking for restaurants further away. Between Falafel Hut Village and Banjara Indian Cuisine, you should go to Banjara Indian Cuisine.', 'answer': 'Banjara Indian Cuisine', 'candidate': 'Falafel Hut Village'}
{'statement': "You are looking for restaurants further away. Between Smoke's Weinerie and Breakfast Room, you should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Breakfast Room'}
{'statement': 'You are looking for restaurants further away. Between Juice & Java Cafe and Banjara Indian Cuisine, you should go to Banjara Indian Cuisine.', 'answer': 'Banjara Indian Cuisine', 'candidate': 'Juice & Java Cafe'}
{'statement': 'You are looking for restaurants further away. Between z-teca Gourmet Burritos and St. Louis Bar & Grill, you should go to z-teca Gourmet Burritos.', 'answer': 'z-teca Gourmet Burritos', 'candidate': 'St. Louis Bar & Grill'}
{'statement': 'You are looking for restaurants further away. Between Grappa Ristorante and Lahore Grill & Fast Food, you should go to Grappa Ristorante.', 'answer': 'Grappa Ristorante', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': 'You are looking for restaurants further away. Between Evoo Ristorante and Mirage Grill & Lounge, you should go to Mirage Grill & Lounge.', 'answer': 'Mirage Grill & Lounge', 'candidate': 'Evoo Ristorante'}
{'statement': 'You are looking for restaurants further away. Between Topham Corner and Scaddabush Italian Kitchen & Bar, you should go to Topham Corner.', 'answer': 'Topham Corner', 'candidate': 'Scaddabush Italian Kitchen & Bar'}
{'statement': 'You are looking for restaurants further away. Between Magic Oven and The Empire, you should go to Magic Oven.', 'answer': 'Magic Oven', 'candidate': 'The Empire'}
{'statement': 'You are looking for restaurants further away. Between Pisco 1641 and Ciao Europa wine bar, you should go to Ciao Europa wine bar.', 'answer': 'Ciao Europa wine bar', 'candidate': 'Pisco 1641'}
{'statement': 'You are looking for restaurants further away. Between Mövenpick Café and Tik Talk Cafe, you should go to Mövenpick Café.', 'answer': 'Mövenpick Café', 'candidate': 'Tik Talk Cafe'}
{'statement': 'You are looking for restaurants further away. Between Aroma Espresso Bar and Tian An Cuisine, you should go to Aroma Espresso Bar.', 'answer': 'Aroma Espresso Bar', 'candidate': 'Tian An Cuisine'}
{'statement': 'You are looking for restaurants further away. Between Magic Oven and Breakfast Room, you should go to Magic Oven.', 'answer': 'Magic Oven', 'candidate': 'Breakfast Room'}
{'statement': "You are looking for restaurants further away. Between Mi Mi Restaurant and Mamma's Pizza, you should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': "Mamma's Pizza"}
{'statement': 'You are looking for restaurants further away. Between The Coffee Pocket and Anatolia Restaurant, you should go to The Coffee Pocket.', 'answer': 'The Coffee Pocket', 'candidate': 'Anatolia Restaurant'}
{'statement': 'You are looking for restaurants further away. Between Ciao Europa wine bar and Sheriff Broaster Chicken, you should go to Ciao Europa wine bar.', 'answer': 'Ciao Europa wine bar', 'candidate': 'Sheriff Broaster Chicken'}
{'statement': 'You are looking for restaurants further away. Between Kim PO Vietnamese and Capitol Trattoria Pizzeria, you should go to Capitol Trattoria Pizzeria.', 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Kim PO Vietnamese'}
{'statement': "You are looking for restaurants further away. Between Harry's Char Broil & Dining Lounge and Grappa Ristorante, you should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': 'You are looking for restaurants further away. Between Sushi World and Madras Pantry, you should go to Sushi World.', 'answer': 'Sushi World', 'candidate': 'Madras Pantry'}
{'statement': 'You are looking for restaurants further away. Between El Fogón and Magic Oven, you should go to Magic Oven.', 'answer': 'Magic Oven', 'candidate': 'El Fogón'}
{'statement': 'You are looking for restaurants further away. Between St. Louis Bar & Grill and 9 Restaurant, you should go to 9 Restaurant.', 'answer': '9 Restaurant', 'candidate': 'St. Louis Bar & Grill'}
{'statement': 'You are looking for restaurants further away. Between Pho 88 and Mysteriously Yours Dinner Theatre, you should go to Pho 88.', 'answer': 'Pho 88', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': 'You are looking for restaurants further away. Between Fit For Life and Green Room, you should go to Green Room.', 'answer': 'Green Room', 'candidate': 'Fit For Life'}
{'statement': 'You are looking for restaurants further away. Between Ici Bistro and Branca, you should go to Ici Bistro.', 'answer': 'Ici Bistro', 'candidate': 'Branca'}
{'statement': 'You are looking for restaurants further away. Between Freshii and Anatolia Restaurant, you should go to Freshii.', 'answer': 'Freshii', 'candidate': 'Anatolia Restaurant'}
{'statement': 'You are looking for restaurants further away. Between Sweet Jesus and KFC, you should go to Sweet Jesus.', 'answer': 'Sweet Jesus', 'candidate': 'KFC'}
{'statement': 'You are looking for restaurants further away. Between Fit For Life and Le Papillon Park, you should go to Le Papillon Park.', 'answer': 'Le Papillon Park', 'candidate': 'Fit For Life'}
{'statement': 'You are looking for restaurants further away. Between Sushi World and Pizzeria Via Mercanti, you should go to Pizzeria Via Mercanti.', 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Sushi World'}
{'statement': "You are looking for restaurants further away. Between It's All Grk and Mi Mi Restaurant, you should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': "It's All Grk"}
{'statement': 'You are looking for restaurants further away. Between Banjara Indian Cuisine and Green Grotto, you should go to Banjara Indian Cuisine.', 'answer': 'Banjara Indian Cuisine', 'candidate': 'Green Grotto'}
{'statement': "You are looking for restaurants further away. Between Dangerous Dan's Diner and Capitol Trattoria Pizzeria, you should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': "Dangerous Dan's Diner"}
{'statement': 'You are looking for restaurants further away. Between Pizza Pizza and Green Room, you should go to Green Room.', 'answer': 'Green Room', 'candidate': 'Pizza Pizza'}
{'statement': 'You are looking for restaurants further away. Between Basil Express Restaurant and Cafe Jules, you should go to Cafe Jules.', 'answer': 'Cafe Jules', 'candidate': 'Basil Express Restaurant'}
{'statement': 'You are looking for restaurants further away. Between Hina Sushi and Marcello’s pizzeria, you should go to Hina Sushi.', 'answer': 'Hina Sushi', 'candidate': 'Marcello’s pizzeria'}
{'statement': "You are looking for restaurants further away. Between McDonald's and Bonne Journee, you should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': "McDonald's"}
{'statement': "You are looking for restaurants further away. Between Just Soups Take Out & Catering and Big Al's Diner, you should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "You are looking for restaurants further away. Between Mt Everest Restaurant and McDonald's, you should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': "McDonald's"}
{'statement': 'You are looking for restaurants further away. Between Eggspectation and Basha Middle Eastern Grill, you should go to Eggspectation.', 'answer': 'Eggspectation', 'candidate': 'Basha Middle Eastern Grill'}
{'statement': 'You are looking for restaurants further away. Between Breakfast Room and New Bilan Restaurant, you should go to New Bilan Restaurant.', 'answer': 'New Bilan Restaurant', 'candidate': 'Breakfast Room'}
{'statement': 'You are looking for restaurants further away. Between Ici Bistro and LCBO, you should go to Ici Bistro.', 'answer': 'Ici Bistro', 'candidate': 'LCBO'}
{'statement': "You are looking for restaurants further away. Between Warung Indonesia D'Eglinton and Pasta Pantry, you should go to Pasta Pantry.", 'answer': 'Pasta Pantry', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': 'You are looking for restaurants further away. Between Amaya Express and Grappa Ristorante, you should go to Grappa Ristorante.', 'answer': 'Grappa Ristorante', 'candidate': 'Amaya Express'}
{'statement': 'You are looking for restaurants further away. Between 9 Restaurant and St. Clair Shawarma and Falafel, you should go to St. Clair Shawarma and Falafel.', 'answer': 'St. Clair Shawarma and Falafel', 'candidate': '9 Restaurant'}
{'statement': "You are looking for restaurants further away. Between New Bilan Restaurant and Dinah's Cupboard, you should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': "Dinah's Cupboard"}
{'statement': 'You are looking for restaurants further away. Between Paradise Farms Prime Beef Bistro and Banjara Indian Cuisine, you should go to Banjara Indian Cuisine.', 'answer': 'Banjara Indian Cuisine', 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "You are looking for restaurants further away. Between Beryl's Pepper Pot and Chipotle Mexican Grill, you should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': 'Chipotle Mexican Grill'}
{'statement': 'You are looking for restaurants further away. Between Daily Press Juicery and Bonne Journee, you should go to Bonne Journee.', 'answer': 'Bonne Journee', 'candidate': 'Daily Press Juicery'}
{'statement': "You are looking for restaurants further away. Between Bao Bao Plus Dim Sum and Domino's Pizza, you should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': "You are looking for restaurants further away. Between Delicious Paradise Kitchen and Nutella Cafe by Pusateri's, you should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Delicious Paradise Kitchen'}
