{'statement': "I'm looking for restaurants nearby. Between Sushi Shop and JJ Bean, I should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'JJ Bean'}
{'statement': "I'm looking for restaurants nearby. Between Kim PO Vietnamese and Big Al's Diner, I should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': "Big Al's Diner"}
{'statement': "I'm looking for restaurants nearby. Between Tim Hortons and Daily Press Juicery, I should go to Daily Press Juicery.", 'answer': 'Daily Press Juicery', 'candidate': 'Tim Hortons'}
{'statement': "I'm looking for restaurants nearby. Between Ici Bistro and Falafel Hut Village, I should go to Falafel Hut Village.", 'answer': 'Falafel Hut Village', 'candidate': 'Ici Bistro'}
{'statement': "I'm looking for restaurants nearby. Between Harry's Char Broil & Dining Lounge and Bagel Nash, I should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'Bagel Nash'}
{'statement': "I'm looking for restaurants nearby. Between Sky Dragon Chinese Restaurant and Amaya Express, I should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "I'm looking for restaurants nearby. Between Bake Island and Pizzeria Via Mercanti, I should go to Bake Island.", 'answer': 'Bake Island', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "I'm looking for restaurants nearby. Between Sizzlers and Goldstone Noodle Restaurant, I should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Sizzlers'}
{'statement': "I'm looking for restaurants nearby. Between Sizzlers and Juice & Java Cafe, I should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Sizzlers'}
{'statement': "I'm looking for restaurants nearby. Between Banjara Indian Cuisine and Falafel Hut Village, I should go to Falafel Hut Village.", 'answer': 'Falafel Hut Village', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "I'm looking for restaurants nearby. Between Smoke's Weinerie and Breakfast Room, I should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': "Smoke's Weinerie"}
{'statement': "I'm looking for restaurants nearby. Between Banjara Indian Cuisine and Juice & Java Cafe, I should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "I'm looking for restaurants nearby. Between z-teca Gourmet Burritos and St. Louis Bar & Grill, I should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "I'm looking for restaurants nearby. Between Lahore Grill & Fast Food and Grappa Ristorante, I should go to Lahore Grill & Fast Food.", 'answer': 'Lahore Grill & Fast Food', 'candidate': 'Grappa Ristorante'}
{'statement': "I'm looking for restaurants nearby. Between Mirage Grill & Lounge and Evoo Ristorante, I should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "I'm looking for restaurants nearby. Between Topham Corner and Scaddabush Italian Kitchen & Bar, I should go to Scaddabush Italian Kitchen & Bar.", 'answer': 'Scaddabush Italian Kitchen & Bar', 'candidate': 'Topham Corner'}
{'statement': "I'm looking for restaurants nearby. Between The Empire and Magic Oven, I should go to The Empire.", 'answer': 'The Empire', 'candidate': 'Magic Oven'}
{'statement': "I'm looking for restaurants nearby. Between Ciao Europa wine bar and Pisco 1641, I should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': 'Ciao Europa wine bar'}
{'statement': "I'm looking for restaurants nearby. Between Mövenpick Café and Tik Talk Cafe, I should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Mövenpick Café'}
{'statement': "I'm looking for restaurants nearby. Between Tian An Cuisine and Aroma Espresso Bar, I should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': 'Aroma Espresso Bar'}
{'statement': "I'm looking for restaurants nearby. Between Magic Oven and Breakfast Room, I should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'Magic Oven'}
{'statement': "I'm looking for restaurants nearby. Between Mamma's Pizza and Mi Mi Restaurant, I should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Mi Mi Restaurant'}
{'statement': "I'm looking for restaurants nearby. Between The Coffee Pocket and Anatolia Restaurant, I should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': 'The Coffee Pocket'}
{'statement': "I'm looking for restaurants nearby. Between Sheriff Broaster Chicken and Ciao Europa wine bar, I should go to Sheriff Broaster Chicken.", 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Ciao Europa wine bar'}
{'statement': "I'm looking for restaurants nearby. Between Kim PO Vietnamese and Capitol Trattoria Pizzeria, I should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "I'm looking for restaurants nearby. Between Harry's Char Broil & Dining Lounge and Grappa Ristorante, I should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'Grappa Ristorante'}
{'statement': "I'm looking for restaurants nearby. Between Madras Pantry and Sushi World, I should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': 'Sushi World'}
{'statement': "I'm looking for restaurants nearby. Between El Fogón and Magic Oven, I should go to El Fogón.", 'answer': 'El Fogón', 'candidate': 'Magic Oven'}
{'statement': "I'm looking for restaurants nearby. Between 9 Restaurant and St. Louis Bar & Grill, I should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': '9 Restaurant'}
{'statement': "I'm looking for restaurants nearby. Between Pho 88 and Mysteriously Yours Dinner Theatre, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Pho 88'}
{'statement': "I'm looking for restaurants nearby. Between Green Room and Fit For Life, I should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': 'Green Room'}
{'statement': "I'm looking for restaurants nearby. Between Branca and Ici Bistro, I should go to Branca.", 'answer': 'Branca', 'candidate': 'Ici Bistro'}
{'statement': "I'm looking for restaurants nearby. Between Freshii and Anatolia Restaurant, I should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': 'Freshii'}
{'statement': "I'm looking for restaurants nearby. Between Sweet Jesus and KFC, I should go to KFC.", 'answer': 'KFC', 'candidate': 'Sweet Jesus'}
{'statement': "I'm looking for restaurants nearby. Between Le Papillon Park and Fit For Life, I should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': 'Le Papillon Park'}
{'statement': "I'm looking for restaurants nearby. Between Pizzeria Via Mercanti and Sushi World, I should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "I'm looking for restaurants nearby. Between It's All Grk and Mi Mi Restaurant, I should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Mi Mi Restaurant'}
{'statement': "I'm looking for restaurants nearby. Between Green Grotto and Banjara Indian Cuisine, I should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "I'm looking for restaurants nearby. Between Dangerous Dan's Diner and Capitol Trattoria Pizzeria, I should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "I'm looking for restaurants nearby. Between Pizza Pizza and Green Room, I should go to Pizza Pizza.", 'answer': 'Pizza Pizza', 'candidate': 'Green Room'}
{'statement': "I'm looking for restaurants nearby. Between Cafe Jules and Basil Express Restaurant, I should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Cafe Jules'}
{'statement': "I'm looking for restaurants nearby. Between Marcello’s pizzeria and Hina Sushi, I should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': 'Hina Sushi'}
{'statement': "I'm looking for restaurants nearby. Between Bonne Journee and McDonald's, I should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Bonne Journee'}
{'statement': "I'm looking for restaurants nearby. Between Just Soups Take Out & Catering and Big Al's Diner, I should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': "Big Al's Diner"}
{'statement': "I'm looking for restaurants nearby. Between Mt Everest Restaurant and McDonald's, I should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Mt Everest Restaurant'}
{'statement': "I'm looking for restaurants nearby. Between Eggspectation and Basha Middle Eastern Grill, I should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': 'Eggspectation'}
{'statement': "I'm looking for restaurants nearby. Between Breakfast Room and New Bilan Restaurant, I should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'New Bilan Restaurant'}
{'statement': "I'm looking for restaurants nearby. Between LCBO and Ici Bistro, I should go to LCBO.", 'answer': 'LCBO', 'candidate': 'Ici Bistro'}
{'statement': "I'm looking for restaurants nearby. Between Warung Indonesia D'Eglinton and Pasta Pantry, I should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Pasta Pantry'}
{'statement': "I'm looking for restaurants nearby. Between Amaya Express and Grappa Ristorante, I should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': 'Grappa Ristorante'}
{'statement': "I'm looking for restaurants nearby. Between St. Clair Shawarma and Falafel and 9 Restaurant, I should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I'm looking for restaurants nearby. Between New Bilan Restaurant and Dinah's Cupboard, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'New Bilan Restaurant'}
{'statement': "I'm looking for restaurants nearby. Between Banjara Indian Cuisine and Paradise Farms Prime Beef Bistro, I should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "I'm looking for restaurants nearby. Between Chipotle Mexican Grill and Beryl's Pepper Pot, I should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': "Beryl's Pepper Pot"}
{'statement': "I'm looking for restaurants nearby. Between Daily Press Juicery and Bonne Journee, I should go to Daily Press Juicery.", 'answer': 'Daily Press Juicery', 'candidate': 'Bonne Journee'}
{'statement': "I'm looking for restaurants nearby. Between Domino's Pizza and Bao Bao Plus Dim Sum, I should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': "Domino's Pizza"}
{'statement': "I'm looking for restaurants nearby. Between Nutella Cafe by Pusateri's and Delicious Paradise Kitchen, I should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': "Nutella Cafe by Pusateri's"}
