{'statement': 'You are looking for restaurants nearby. Between JJ Bean and Sushi Shop, you should go to Sushi Shop.', 'answer': 'Sushi Shop', 'candidate': 'JJ Bean'}
{'statement': "You are looking for restaurants nearby. Between Kim PO Vietnamese and Big Al's Diner, you should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': "Big Al's Diner"}
{'statement': 'You are looking for restaurants nearby. Between Daily Press Juicery and Tim Hortons, you should go to Daily Press Juicery.', 'answer': 'Daily Press Juicery', 'candidate': 'Tim Hortons'}
{'statement': 'You are looking for restaurants nearby. Between Falafel Hut Village and Ici Bistro, you should go to Falafel Hut Village.', 'answer': 'Falafel Hut Village', 'candidate': 'Ici Bistro'}
{'statement': "You are looking for restaurants nearby. Between Harry's Char Broil & Dining Lounge and Bagel Nash, you should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'Bagel Nash'}
{'statement': 'You are looking for restaurants nearby. Between Amaya Express and Sky Dragon Chinese Restaurant, you should go to Amaya Express.', 'answer': 'Amaya Express', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': 'You are looking for restaurants nearby. Between Bake Island and Pizzeria Via Mercanti, you should go to Bake Island.', 'answer': 'Bake Island', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': 'You are looking for restaurants nearby. Between Sizzlers and Goldstone Noodle Restaurant, you should go to Goldstone Noodle Restaurant.', 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Sizzlers'}
{'statement': 'You are looking for restaurants nearby. Between Sizzlers and Juice & Java Cafe, you should go to Juice & Java Cafe.', 'answer': 'Juice & Java Cafe', 'candidate': 'Sizzlers'}
{'statement': 'You are looking for restaurants nearby. Between Falafel Hut Village and Banjara Indian Cuisine, you should go to Falafel Hut Village.', 'answer': 'Falafel Hut Village', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "You are looking for restaurants nearby. Between Smoke's Weinerie and Breakfast Room, you should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': "Smoke's Weinerie"}
{'statement': 'You are looking for restaurants nearby. Between Banjara Indian Cuisine and Juice & Java Cafe, you should go to Juice & Java Cafe.', 'answer': 'Juice & Java Cafe', 'candidate': 'Banjara Indian Cuisine'}
{'statement': 'You are looking for restaurants nearby. Between z-teca Gourmet Burritos and St. Louis Bar & Grill, you should go to St. Louis Bar & Grill.', 'answer': 'St. Louis Bar & Grill', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': 'You are looking for restaurants nearby. Between Lahore Grill & Fast Food and Grappa Ristorante, you should go to Lahore Grill & Fast Food.', 'answer': 'Lahore Grill & Fast Food', 'candidate': 'Grappa Ristorante'}
{'statement': 'You are looking for restaurants nearby. Between Mirage Grill & Lounge and Evoo Ristorante, you should go to Evoo Ristorante.', 'answer': 'Evoo Ristorante', 'candidate': 'Mirage Grill & Lounge'}
{'statement': 'You are looking for restaurants nearby. Between Topham Corner and Scaddabush Italian Kitchen & Bar, you should go to Scaddabush Italian Kitchen & Bar.', 'answer': 'Scaddabush Italian Kitchen & Bar', 'candidate': 'Topham Corner'}
{'statement': 'You are looking for restaurants nearby. Between The Empire and Magic Oven, you should go to The Empire.', 'answer': 'The Empire', 'candidate': 'Magic Oven'}
{'statement': 'You are looking for restaurants nearby. Between Ciao Europa wine bar and Pisco 1641, you should go to Pisco 1641.', 'answer': 'Pisco 1641', 'candidate': 'Ciao Europa wine bar'}
{'statement': 'You are looking for restaurants nearby. Between Mövenpick Café and Tik Talk Cafe, you should go to Tik Talk Cafe.', 'answer': 'Tik Talk Cafe', 'candidate': 'Mövenpick Café'}
{'statement': 'You are looking for restaurants nearby. Between Aroma Espresso Bar and Tian An Cuisine, you should go to Tian An Cuisine.', 'answer': 'Tian An Cuisine', 'candidate': 'Aroma Espresso Bar'}
{'statement': 'You are looking for restaurants nearby. Between Magic Oven and Breakfast Room, you should go to Breakfast Room.', 'answer': 'Breakfast Room', 'candidate': 'Magic Oven'}
{'statement': "You are looking for restaurants nearby. Between Mamma's Pizza and Mi Mi Restaurant, you should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Mi Mi Restaurant'}
{'statement': 'You are looking for restaurants nearby. Between The Coffee Pocket and Anatolia Restaurant, you should go to Anatolia Restaurant.', 'answer': 'Anatolia Restaurant', 'candidate': 'The Coffee Pocket'}
{'statement': 'You are looking for restaurants nearby. Between Ciao Europa wine bar and Sheriff Broaster Chicken, you should go to Sheriff Broaster Chicken.', 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Ciao Europa wine bar'}
{'statement': 'You are looking for restaurants nearby. Between Capitol Trattoria Pizzeria and Kim PO Vietnamese, you should go to Kim PO Vietnamese.', 'answer': 'Kim PO Vietnamese', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "You are looking for restaurants nearby. Between Grappa Ristorante and Harry's Char Broil & Dining Lounge, you should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'Grappa Ristorante'}
{'statement': 'You are looking for restaurants nearby. Between Sushi World and Madras Pantry, you should go to Madras Pantry.', 'answer': 'Madras Pantry', 'candidate': 'Sushi World'}
{'statement': 'You are looking for restaurants nearby. Between El Fogón and Magic Oven, you should go to El Fogón.', 'answer': 'El Fogón', 'candidate': 'Magic Oven'}
{'statement': 'You are looking for restaurants nearby. Between 9 Restaurant and St. Louis Bar & Grill, you should go to St. Louis Bar & Grill.', 'answer': 'St. Louis Bar & Grill', 'candidate': '9 Restaurant'}
{'statement': 'You are looking for restaurants nearby. Between Pho 88 and Mysteriously Yours Dinner Theatre, you should go to Mysteriously Yours Dinner Theatre.', 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Pho 88'}
{'statement': 'You are looking for restaurants nearby. Between Green Room and Fit For Life, you should go to Fit For Life.', 'answer': 'Fit For Life', 'candidate': 'Green Room'}
{'statement': 'You are looking for restaurants nearby. Between Branca and Ici Bistro, you should go to Branca.', 'answer': 'Branca', 'candidate': 'Ici Bistro'}
{'statement': 'You are looking for restaurants nearby. Between Anatolia Restaurant and Freshii, you should go to Anatolia Restaurant.', 'answer': 'Anatolia Restaurant', 'candidate': 'Freshii'}
{'statement': 'You are looking for restaurants nearby. Between KFC and Sweet Jesus, you should go to KFC.', 'answer': 'KFC', 'candidate': 'Sweet Jesus'}
{'statement': 'You are looking for restaurants nearby. Between Le Papillon Park and Fit For Life, you should go to Fit For Life.', 'answer': 'Fit For Life', 'candidate': 'Le Papillon Park'}
{'statement': 'You are looking for restaurants nearby. Between Sushi World and Pizzeria Via Mercanti, you should go to Sushi World.', 'answer': 'Sushi World', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "You are looking for restaurants nearby. Between Mi Mi Restaurant and It's All Grk, you should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Mi Mi Restaurant'}
{'statement': 'You are looking for restaurants nearby. Between Green Grotto and Banjara Indian Cuisine, you should go to Green Grotto.', 'answer': 'Green Grotto', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "You are looking for restaurants nearby. Between Capitol Trattoria Pizzeria and Dangerous Dan's Diner, you should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': 'You are looking for restaurants nearby. Between Green Room and Pizza Pizza, you should go to Pizza Pizza.', 'answer': 'Pizza Pizza', 'candidate': 'Green Room'}
{'statement': 'You are looking for restaurants nearby. Between Cafe Jules and Basil Express Restaurant, you should go to Basil Express Restaurant.', 'answer': 'Basil Express Restaurant', 'candidate': 'Cafe Jules'}
{'statement': 'You are looking for restaurants nearby. Between Marcello’s pizzeria and Hina Sushi, you should go to Marcello’s pizzeria.', 'answer': 'Marcello’s pizzeria', 'candidate': 'Hina Sushi'}
{'statement': "You are looking for restaurants nearby. Between McDonald's and Bonne Journee, you should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Bonne Journee'}
{'statement': "You are looking for restaurants nearby. Between Just Soups Take Out & Catering and Big Al's Diner, you should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': "Big Al's Diner"}
{'statement': "You are looking for restaurants nearby. Between McDonald's and Mt Everest Restaurant, you should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Mt Everest Restaurant'}
{'statement': 'You are looking for restaurants nearby. Between Basha Middle Eastern Grill and Eggspectation, you should go to Basha Middle Eastern Grill.', 'answer': 'Basha Middle Eastern Grill', 'candidate': 'Eggspectation'}
{'statement': 'You are looking for restaurants nearby. Between Breakfast Room and New Bilan Restaurant, you should go to Breakfast Room.', 'answer': 'Breakfast Room', 'candidate': 'New Bilan Restaurant'}
{'statement': 'You are looking for restaurants nearby. Between LCBO and Ici Bistro, you should go to LCBO.', 'answer': 'LCBO', 'candidate': 'Ici Bistro'}
{'statement': "You are looking for restaurants nearby. Between Warung Indonesia D'Eglinton and Pasta Pantry, you should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Pasta Pantry'}
{'statement': 'You are looking for restaurants nearby. Between Grappa Ristorante and Amaya Express, you should go to Amaya Express.', 'answer': 'Amaya Express', 'candidate': 'Grappa Ristorante'}
{'statement': 'You are looking for restaurants nearby. Between St. Clair Shawarma and Falafel and 9 Restaurant, you should go to 9 Restaurant.', 'answer': '9 Restaurant', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "You are looking for restaurants nearby. Between New Bilan Restaurant and Dinah's Cupboard, you should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'New Bilan Restaurant'}
{'statement': 'You are looking for restaurants nearby. Between Paradise Farms Prime Beef Bistro and Banjara Indian Cuisine, you should go to Paradise Farms Prime Beef Bistro.', 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "You are looking for restaurants nearby. Between Chipotle Mexican Grill and Beryl's Pepper Pot, you should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': "Beryl's Pepper Pot"}
{'statement': 'You are looking for restaurants nearby. Between Daily Press Juicery and Bonne Journee, you should go to Daily Press Juicery.', 'answer': 'Daily Press Juicery', 'candidate': 'Bonne Journee'}
{'statement': "You are looking for restaurants nearby. Between Domino's Pizza and Bao Bao Plus Dim Sum, you should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': "Domino's Pizza"}
{'statement': "You are looking for restaurants nearby. Between Delicious Paradise Kitchen and Nutella Cafe by Pusateri's, you should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': "Nutella Cafe by Pusateri's"}
