{'statement': "Someone doesn't like expensive restaurants. Between Piper's Pub And Grill and Branca, this person should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Branca'}
{'statement': "Someone doesn't like expensive restaurants. Between Sweet Jesus and To-ne Sushi, this person should go to Sweet Jesus.", 'answer': 'Sweet Jesus', 'candidate': 'To-ne Sushi'}
{'statement': "Someone doesn't like expensive restaurants. Between Marcello’s pizzeria and Fit For Life, this person should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': 'Marcello’s pizzeria'}
{'statement': "Someone doesn't like expensive restaurants. Between Capitol Trattoria Pizzeria and Sushi World, this person should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "Someone doesn't like expensive restaurants. Between KFC and Dangerous Dan's Diner, this person should go to KFC.", 'answer': 'KFC', 'candidate': "Dangerous Dan's Diner"}
{'statement': "Someone doesn't like expensive restaurants. Between Green Room and Sheriff Broaster Chicken, this person should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Sheriff Broaster Chicken'}
{'statement': "Someone doesn't like expensive restaurants. Between Chipotle Mexican Grill and Smoke's Weinerie, this person should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Chipotle Mexican Grill'}
{'statement': "Someone doesn't like expensive restaurants. Between Big Al's Diner and Evoo Ristorante, this person should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Evoo Ristorante'}
{'statement': "Someone doesn't like expensive restaurants. Between Chipotle Mexican Grill and Hapa Toronto, this person should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'Hapa Toronto'}
{'statement': "Someone doesn't like expensive restaurants. Between Sky Dragon Chinese Restaurant and Supermodel Pizza, this person should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Pho 88 and Sky Dragon Chinese Restaurant, this person should go to Pho 88.", 'answer': 'Pho 88', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Dinah's Cupboard and Buk Chang Dong Soon Tofu, this person should go to Buk Chang Dong Soon Tofu.", 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': "Dinah's Cupboard"}
{'statement': "Someone doesn't like expensive restaurants. Between Cantine Bar & Grill and Adega Restaurante, this person should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Adega Restaurante'}
{'statement': "Someone doesn't like expensive restaurants. Between Hawthorne Food and Drink and Green Room, this person should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Hawthorne Food and Drink'}
{'statement': "Someone doesn't like expensive restaurants. Between To-ne Sushi and Branca, this person should go to To-ne Sushi.", 'answer': 'To-ne Sushi', 'candidate': 'Branca'}
{'statement': "Someone doesn't like expensive restaurants. Between Beryl's Pepper Pot and Shawarma Twist, this person should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': "Beryl's Pepper Pot"}
{'statement': "Someone doesn't like expensive restaurants. Between Verona Restaurant and Tian An Cuisine, this person should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': 'Verona Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between New Bilan Restaurant and FreshCo, this person should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'FreshCo'}
{'statement': "Someone doesn't like expensive restaurants. Between Falafel Hut Village and Scaddabush Italian Kitchen & Bar, this person should go to Falafel Hut Village.", 'answer': 'Falafel Hut Village', 'candidate': 'Scaddabush Italian Kitchen & Bar'}
{'statement': "Someone doesn't like expensive restaurants. Between Itamae Ayce Sushi and New Bilan Restaurant, this person should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Itamae Ayce Sushi'}
{'statement': "Someone doesn't like expensive restaurants. Between Hawthorne Food and Drink and Nutella Cafe by Pusateri's, this person should go to Hawthorne Food and Drink.", 'answer': 'Hawthorne Food and Drink', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "Someone doesn't like expensive restaurants. Between Amaya Express and Milo's Pita, this person should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Amaya Express'}
{'statement': "Someone doesn't like expensive restaurants. Between Bonne Journee and Juice & Java Cafe, this person should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Juice & Java Cafe'}
{'statement': "Someone doesn't like expensive restaurants. Between Falafel House and Sky Dragon Chinese Restaurant, this person should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Pizzeria Via Mercanti and Mirage Grill & Lounge, this person should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "Someone doesn't like expensive restaurants. Between Hapa Toronto and Bagel Nash, this person should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'Hapa Toronto'}
{'statement': "Someone doesn't like expensive restaurants. Between Pisco 1641 and Adega Restaurante, this person should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': 'Adega Restaurante'}
{'statement': "Someone doesn't like expensive restaurants. Between Milestones Restaurants and Supermodel Pizza, this person should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Milestones Restaurants'}
{'statement': "Someone doesn't like expensive restaurants. Between Ici Bistro and Tik Talk Cafe, this person should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Ici Bistro'}
{'statement': "Someone doesn't like expensive restaurants. Between Tim Hortons and Aroma Espresso Bar, this person should go to Tim Hortons.", 'answer': 'Tim Hortons', 'candidate': 'Aroma Espresso Bar'}
{'statement': "Someone doesn't like expensive restaurants. Between Edible Arrangements and The Coffee Pocket, this person should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Edible Arrangements'}
{'statement': "Someone doesn't like expensive restaurants. Between Dangerous Dan's Diner and Helena's Magic Kitchen, this person should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': "Dangerous Dan's Diner"}
{'statement': "Someone doesn't like expensive restaurants. Between Sushi World and Paradise Farms Prime Beef Bistro, this person should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "Someone doesn't like expensive restaurants. Between McDonald's and Ardor Bistro, this person should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Ardor Bistro'}
{'statement': "Someone doesn't like expensive restaurants. Between Mi Mi Restaurant and Hina Sushi, this person should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': 'Hina Sushi'}
{'statement': "Someone doesn't like expensive restaurants. Between Pizzeria Via Mercanti and Mysteriously Yours Dinner Theatre, this person should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "Someone doesn't like expensive restaurants. Between Piper's Pub And Grill and Buk Chang Dong Soon Tofu, this person should go to Buk Chang Dong Soon Tofu.", 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': "Piper's Pub And Grill"}
{'statement': "Someone doesn't like expensive restaurants. Between Joe Badali's Ristorante Italiano & Bar and The Empire, this person should go to The Empire.", 'answer': 'The Empire', 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': "Someone doesn't like expensive restaurants. Between Scaddabush Italian Kitchen & Bar and Villa Madina, this person should go to Villa Madina.", 'answer': 'Villa Madina', 'candidate': 'Scaddabush Italian Kitchen & Bar'}
{'statement': "Someone doesn't like expensive restaurants. Between New Bilan Restaurant and Hapa Toronto, this person should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Hapa Toronto'}
{'statement': "Someone doesn't like expensive restaurants. Between Grappa Ristorante and Kairali - Taste of Kerala, this person should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Grappa Ristorante'}
{'statement': "Someone doesn't like expensive restaurants. Between Fitness Avenue and Ciao Europa wine bar, this person should go to Fitness Avenue.", 'answer': 'Fitness Avenue', 'candidate': 'Ciao Europa wine bar'}
{'statement': "Someone doesn't like expensive restaurants. Between LCBO and Sizzlers, this person should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'LCBO'}
{'statement': "Someone doesn't like expensive restaurants. Between Branca and Bake Island, this person should go to Bake Island.", 'answer': 'Bake Island', 'candidate': 'Branca'}
{'statement': "Someone doesn't like expensive restaurants. Between Breakfast Room and Bonne Journee, this person should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Breakfast Room'}
{'statement': "Someone doesn't like expensive restaurants. Between Cantine Bar & Grill and Cake Opera, this person should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Cake Opera'}
{'statement': "Someone doesn't like expensive restaurants. Between Sushi World and Itamae Ayce Sushi, this person should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Itamae Ayce Sushi'}
{'statement': "Someone doesn't like expensive restaurants. Between Juice & Java Cafe and Edible Arrangements, this person should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Edible Arrangements'}
{'statement': "Someone doesn't like expensive restaurants. Between Magic Oven and Green Room, this person should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Magic Oven'}
{'statement': "Someone doesn't like expensive restaurants. Between Helena's Magic Kitchen and Taste of Greek Cuisine, this person should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'Taste of Greek Cuisine'}
{'statement': "Someone doesn't like expensive restaurants. Between Dinah's Cupboard and Shawarma Twist, this person should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': "Dinah's Cupboard"}
{'statement': "Someone doesn't like expensive restaurants. Between Queen Slice and La Pupusa Loka, this person should go to Queen Slice.", 'answer': 'Queen Slice', 'candidate': 'La Pupusa Loka'}
{'statement': "Someone doesn't like expensive restaurants. Between Modo Mio Italian Bistro and Queen Pita, this person should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Modo Mio Italian Bistro'}
{'statement': "Someone doesn't like expensive restaurants. Between Paradise Farms Prime Beef Bistro and Supermodel Pizza, this person should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "Someone doesn't like expensive restaurants. Between 9 Restaurant and Big Al's Diner, this person should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': '9 Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Edible Arrangements and JJ Bean, this person should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'Edible Arrangements'}
{'statement': "Someone doesn't like expensive restaurants. Between Basha Middle Eastern Grill and Verona Restaurant, this person should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': 'Verona Restaurant'}
