{'statement': "You don't like expensive restaurants. Between Thompson Rooftop and Nook, you should go to Nook.", 'answer': 'Nook', 'candidate': 'Thompson Rooftop'}
{'statement': "You don't like expensive restaurants. Between Ici Bistro and Thai 4 You Restaurant, you should go to Thai 4 You Restaurant.", 'answer': 'Thai 4 You Restaurant', 'candidate': 'Ici Bistro'}
{'statement': "You don't like expensive restaurants. Between Pho 88 and Tik Talk Cafe, you should go to Pho 88.", 'answer': 'Pho 88', 'candidate': 'Tik Talk Cafe'}
{'statement': "You don't like expensive restaurants. Between Paradise Farms Prime Beef Bistro and Falafel House, you should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "You don't like expensive restaurants. Between St. Clair Shawarma and Falafel and Juice & Java Cafe, you should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Juice & Java Cafe'}
{'statement': "You don't like expensive restaurants. Between Magic Oven and Sushi World, you should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Magic Oven'}
{'statement': "You don't like expensive restaurants. Between Popeyes Louisiana Kitchen and Pizza Pizza, you should go to Pizza Pizza.", 'answer': 'Pizza Pizza', 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': "You don't like expensive restaurants. Between Sky Dragon Chinese Restaurant and Eastern legend, you should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "You don't like expensive restaurants. Between Just Soups Take Out & Catering and Galata Cafe, you should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': 'Galata Cafe'}
{'statement': "You don't like expensive restaurants. Between Maurya East Indian Roti and Falafel House, you should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Maurya East Indian Roti'}
{'statement': "You don't like expensive restaurants. Between St. Louis Bar & Grill and Oxygen Restaurant & Lounge, you should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "You don't like expensive restaurants. Between Daily Press Juicery and Hapa Toronto, you should go to Daily Press Juicery.", 'answer': 'Daily Press Juicery', 'candidate': 'Hapa Toronto'}
{'statement': "You don't like expensive restaurants. Between Bonne Journee and Breakfast Room, you should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Breakfast Room'}
{'statement': "You don't like expensive restaurants. Between To-ne Sushi and The Coffee Pocket, you should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'To-ne Sushi'}
{'statement': "You don't like expensive restaurants. Between Fitness Avenue and Dangerous Dan's Diner, you should go to Fitness Avenue.", 'answer': 'Fitness Avenue', 'candidate': "Dangerous Dan's Diner"}
{'statement': "You don't like expensive restaurants. Between Delicious Paradise Kitchen and Pisco 1641, you should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': 'Pisco 1641'}
{'statement': "You don't like expensive restaurants. Between New Bilan Restaurant and Nutella Cafe by Pusateri's, you should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "You don't like expensive restaurants. Between Maurya East Indian Roti and St. Clair Shawarma and Falafel, you should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Maurya East Indian Roti'}
{'statement': "You don't like expensive restaurants. Between Milestones Restaurants and Falafel Hut Village, you should go to Falafel Hut Village.", 'answer': 'Falafel Hut Village', 'candidate': 'Milestones Restaurants'}
{'statement': "You don't like expensive restaurants. Between Edible Arrangements and St. Clair Shawarma and Falafel, you should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Edible Arrangements'}
{'statement': "You don't like expensive restaurants. Between Falafel House and Topham Corner, you should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Topham Corner'}
{'statement': "You don't like expensive restaurants. Between Helena's Magic Kitchen and Phil's Original BBQ, you should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': "Phil's Original BBQ"}
{'statement': "You don't like expensive restaurants. Between Paradise Farms Prime Beef Bistro and Dinah's Cupboard, you should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': "Dinah's Cupboard"}
{'statement': "You don't like expensive restaurants. Between The Coffee Pocket and Phil's Original BBQ, you should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': "Phil's Original BBQ"}
{'statement': "You don't like expensive restaurants. Between Goldstone Noodle Restaurant and Hapa Toronto, you should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Hapa Toronto'}
{'statement': "You don't like expensive restaurants. Between Juice & Java Cafe and Green Room, you should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Juice & Java Cafe'}
{'statement': "You don't like expensive restaurants. Between Chipotle Mexican Grill and New Bilan Restaurant, you should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "You don't like expensive restaurants. Between Eastern legend and Mt Everest Restaurant, you should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'Mt Everest Restaurant'}
{'statement': "You don't like expensive restaurants. Between Domino's Pizza and Tim Hortons, you should go to Tim Hortons.", 'answer': 'Tim Hortons', 'candidate': "Domino's Pizza"}
{'statement': "You don't like expensive restaurants. Between Cake Opera and Grappa Ristorante, you should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Cake Opera'}
{'statement': "You don't like expensive restaurants. Between 9 Restaurant and Cafe Jules, you should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': '9 Restaurant'}
{'statement': "You don't like expensive restaurants. Between Hapa Toronto and Evoo Ristorante, you should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Evoo Ristorante'}
{'statement': "You don't like expensive restaurants. Between Basha Middle Eastern Grill and Verona Restaurant, you should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': 'Verona Restaurant'}
{'statement': "You don't like expensive restaurants. Between St. Louis Bar & Grill and St. Clair Shawarma and Falafel, you should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'St. Louis Bar & Grill'}
{'statement': "You don't like expensive restaurants. Between z-teca Gourmet Burritos and Galata Cafe, you should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'Galata Cafe'}
{'statement': "You don't like expensive restaurants. Between Falafel House and Basil Express Restaurant, you should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Basil Express Restaurant'}
{'statement': "You don't like expensive restaurants. Between Thompson Rooftop and Harry's Char Broil & Dining Lounge, you should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'Thompson Rooftop'}
{'statement': "You don't like expensive restaurants. Between Ici Bistro and St. Clair Shawarma and Falafel, you should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Ici Bistro'}
{'statement': "You don't like expensive restaurants. Between Fitness Avenue and Magic Oven, you should go to Fitness Avenue.", 'answer': 'Fitness Avenue', 'candidate': 'Magic Oven'}
{'statement': "You don't like expensive restaurants. Between Warung Indonesia D'Eglinton and Lahore Grill & Fast Food, you should go to Lahore Grill & Fast Food.", 'answer': 'Lahore Grill & Fast Food', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "You don't like expensive restaurants. Between Tik Talk Cafe and The Coffee Pocket, you should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Tik Talk Cafe'}
{'statement': "You don't like expensive restaurants. Between Adega Restaurante and Carole's Cheesecake Cafe, you should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Adega Restaurante'}
{'statement': "You don't like expensive restaurants. Between Popeyes Louisiana Kitchen and Sushi World, you should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': "You don't like expensive restaurants. Between Tim Hortons and Daily Press Juicery, you should go to Tim Hortons.", 'answer': 'Tim Hortons', 'candidate': 'Daily Press Juicery'}
{'statement': "You don't like expensive restaurants. Between New Bilan Restaurant and Ardor Bistro, you should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Ardor Bistro'}
{'statement': "You don't like expensive restaurants. Between Grappa Ristorante and Roncy's Bean, you should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': 'Grappa Ristorante'}
{'statement': "You don't like expensive restaurants. Between Dinah's Cupboard and El Fogón, you should go to El Fogón.", 'answer': 'El Fogón', 'candidate': "Dinah's Cupboard"}
{'statement': "You don't like expensive restaurants. Between Sweet Jesus and Magic Oven, you should go to Sweet Jesus.", 'answer': 'Sweet Jesus', 'candidate': 'Magic Oven'}
{'statement': "You don't like expensive restaurants. Between Verona Restaurant and Sweet Jesus, you should go to Sweet Jesus.", 'answer': 'Sweet Jesus', 'candidate': 'Verona Restaurant'}
{'statement': "You don't like expensive restaurants. Between Aroma Espresso Bar and Green Room, you should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Aroma Espresso Bar'}
{'statement': "You don't like expensive restaurants. Between Thompson Rooftop and Scaddabush Italian Kitchen & Bar, you should go to Scaddabush Italian Kitchen & Bar.", 'answer': 'Scaddabush Italian Kitchen & Bar', 'candidate': 'Thompson Rooftop'}
