{'statement': "You don't like cheap restaurants. Between Nook and Thompson Rooftop, you should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Nook'}
{'statement': "You don't like cheap restaurants. Between Thai 4 You Restaurant and Queen Pita, you should go to Thai 4 You Restaurant.", 'answer': 'Thai 4 You Restaurant', 'candidate': 'Queen Pita'}
{'statement': "You don't like cheap restaurants. Between Delicious Paradise Kitchen and Cantine Bar & Grill, you should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "You don't like cheap restaurants. Between Phil's Original BBQ and Dinah's Cupboard, you should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': "Phil's Original BBQ"}
{'statement': "You don't like cheap restaurants. Between Ici Bistro and Thai 4 You Restaurant, you should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Thai 4 You Restaurant'}
{'statement': "You don't like cheap restaurants. Between Tik Talk Cafe and Pho 88, you should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Pho 88'}
{'statement': "You don't like cheap restaurants. Between Falafel House and Paradise Farms Prime Beef Bistro, you should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'Falafel House'}
{'statement': "You don't like cheap restaurants. Between St. Clair Shawarma and Falafel and Juice & Java Cafe, you should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "You don't like cheap restaurants. Between Sushi World and Magic Oven, you should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'Sushi World'}
{'statement': "You don't like cheap restaurants. Between Popeyes Louisiana Kitchen and Pizza Pizza, you should go to Popeyes Louisiana Kitchen.", 'answer': 'Popeyes Louisiana Kitchen', 'candidate': 'Pizza Pizza'}
{'statement': "You don't like cheap restaurants. Between Sky Dragon Chinese Restaurant and Eastern legend, you should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Eastern legend'}
{'statement': "You don't like cheap restaurants. Between Galata Cafe and Just Soups Take Out & Catering, you should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "You don't like cheap restaurants. Between Falafel House and Maurya East Indian Roti, you should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': 'Falafel House'}
{'statement': "You don't like cheap restaurants. Between Oxygen Restaurant & Lounge and St. Louis Bar & Grill, you should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'St. Louis Bar & Grill'}
{'statement': "You don't like cheap restaurants. Between Hapa Toronto and Daily Press Juicery, you should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Daily Press Juicery'}
{'statement': "You don't like cheap restaurants. Between Breakfast Room and Bonne Journee, you should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'Bonne Journee'}
{'statement': "You don't like cheap restaurants. Between The Coffee Pocket and To-ne Sushi, you should go to To-ne Sushi.", 'answer': 'To-ne Sushi', 'candidate': 'The Coffee Pocket'}
{'statement': "You don't like cheap restaurants. Between Dangerous Dan's Diner and Fitness Avenue, you should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Fitness Avenue'}
{'statement': "You don't like cheap restaurants. Between Pisco 1641 and Delicious Paradise Kitchen, you should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "You don't like cheap restaurants. Between Nutella Cafe by Pusateri's and New Bilan Restaurant, you should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'New Bilan Restaurant'}
{'statement': "You don't like cheap restaurants. Between St. Clair Shawarma and Falafel and Maurya East Indian Roti, you should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "You don't like cheap restaurants. Between Milestones Restaurants and Falafel Hut Village, you should go to Milestones Restaurants.", 'answer': 'Milestones Restaurants', 'candidate': 'Falafel Hut Village'}
{'statement': "You don't like cheap restaurants. Between St. Clair Shawarma and Falafel and Edible Arrangements, you should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "You don't like cheap restaurants. Between Falafel House and Topham Corner, you should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': 'Falafel House'}
{'statement': "You don't like cheap restaurants. Between Helena's Magic Kitchen and Phil's Original BBQ, you should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': "Helena's Magic Kitchen"}
{'statement': "You don't like cheap restaurants. Between Dinah's Cupboard and Paradise Farms Prime Beef Bistro, you should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "You don't like cheap restaurants. Between Phil's Original BBQ and The Coffee Pocket, you should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'The Coffee Pocket'}
{'statement': "You don't like cheap restaurants. Between Hapa Toronto and Goldstone Noodle Restaurant, you should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "You don't like cheap restaurants. Between Green Room and Juice & Java Cafe, you should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Green Room'}
{'statement': "You don't like cheap restaurants. Between Chipotle Mexican Grill and New Bilan Restaurant, you should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'New Bilan Restaurant'}
{'statement': "You don't like cheap restaurants. Between Mt Everest Restaurant and Eastern legend, you should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': 'Eastern legend'}
{'statement': "You don't like cheap restaurants. Between Domino's Pizza and Tim Hortons, you should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': 'Tim Hortons'}
{'statement': "You don't like cheap restaurants. Between Grappa Ristorante and Cake Opera, you should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Grappa Ristorante'}
{'statement': "You don't like cheap restaurants. Between Cafe Jules and 9 Restaurant, you should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'Cafe Jules'}
{'statement': "You don't like cheap restaurants. Between Evoo Ristorante and Hapa Toronto, you should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Hapa Toronto'}
{'statement': "You don't like cheap restaurants. Between Basha Middle Eastern Grill and Verona Restaurant, you should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Basha Middle Eastern Grill'}
{'statement': "You don't like cheap restaurants. Between St. Louis Bar & Grill and St. Clair Shawarma and Falafel, you should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "You don't like cheap restaurants. Between z-teca Gourmet Burritos and Galata Cafe, you should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "You don't like cheap restaurants. Between Basil Express Restaurant and Falafel House, you should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Falafel House'}
{'statement': "You don't like cheap restaurants. Between Harry's Char Broil & Dining Lounge and Thompson Rooftop, you should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "You don't like cheap restaurants. Between St. Clair Shawarma and Falafel and Ici Bistro, you should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "You don't like cheap restaurants. Between Fitness Avenue and Magic Oven, you should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'Fitness Avenue'}
{'statement': "You don't like cheap restaurants. Between Warung Indonesia D'Eglinton and Lahore Grill & Fast Food, you should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "You don't like cheap restaurants. Between The Coffee Pocket and Tik Talk Cafe, you should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'The Coffee Pocket'}
{'statement': "You don't like cheap restaurants. Between Adega Restaurante and Carole's Cheesecake Cafe, you should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "You don't like cheap restaurants. Between Popeyes Louisiana Kitchen and Sushi World, you should go to Popeyes Louisiana Kitchen.", 'answer': 'Popeyes Louisiana Kitchen', 'candidate': 'Sushi World'}
{'statement': "You don't like cheap restaurants. Between Daily Press Juicery and Tim Hortons, you should go to Daily Press Juicery.", 'answer': 'Daily Press Juicery', 'candidate': 'Tim Hortons'}
{'statement': "You don't like cheap restaurants. Between Ardor Bistro and New Bilan Restaurant, you should go to Ardor Bistro.", 'answer': 'Ardor Bistro', 'candidate': 'New Bilan Restaurant'}
{'statement': "You don't like cheap restaurants. Between Grappa Ristorante and Roncy's Bean, you should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': "Roncy's Bean"}
{'statement': "You don't like cheap restaurants. Between El Fogón and Dinah's Cupboard, you should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'El Fogón'}
{'statement': "You don't like cheap restaurants. Between Sweet Jesus and Magic Oven, you should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'Sweet Jesus'}
{'statement': "You don't like cheap restaurants. Between Sweet Jesus and Verona Restaurant, you should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Sweet Jesus'}
{'statement': "You don't like cheap restaurants. Between Green Room and Aroma Espresso Bar, you should go to Aroma Espresso Bar.", 'answer': 'Aroma Espresso Bar', 'candidate': 'Green Room'}
{'statement': "You don't like cheap restaurants. Between Scaddabush Italian Kitchen & Bar and Thompson Rooftop, you should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Scaddabush Italian Kitchen & Bar'}
