{'statement': "I don't like cheap restaurants. Between Nook and Thompson Rooftop, I should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Nook'}
{'statement': "I don't like cheap restaurants. Between Thai 4 You Restaurant and Queen Pita, I should go to Thai 4 You Restaurant.", 'answer': 'Thai 4 You Restaurant', 'candidate': 'Queen Pita'}
{'statement': "I don't like cheap restaurants. Between Cantine Bar & Grill and Delicious Paradise Kitchen, I should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "I don't like cheap restaurants. Between Phil's Original BBQ and Dinah's Cupboard, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': "Phil's Original BBQ"}
{'statement': "I don't like cheap restaurants. Between Ici Bistro and Thai 4 You Restaurant, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Thai 4 You Restaurant'}
{'statement': "I don't like cheap restaurants. Between Tik Talk Cafe and Pho 88, I should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Pho 88'}
{'statement': "I don't like cheap restaurants. Between Paradise Farms Prime Beef Bistro and Falafel House, I should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'Falafel House'}
{'statement': "I don't like cheap restaurants. Between St. Clair Shawarma and Falafel and Juice & Java Cafe, I should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I don't like cheap restaurants. Between Magic Oven and Sushi World, I should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'Sushi World'}
{'statement': "I don't like cheap restaurants. Between Pizza Pizza and Popeyes Louisiana Kitchen, I should go to Popeyes Louisiana Kitchen.", 'answer': 'Popeyes Louisiana Kitchen', 'candidate': 'Pizza Pizza'}
{'statement': "I don't like cheap restaurants. Between Sky Dragon Chinese Restaurant and Eastern legend, I should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Eastern legend'}
{'statement': "I don't like cheap restaurants. Between Just Soups Take Out & Catering and Galata Cafe, I should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "I don't like cheap restaurants. Between Maurya East Indian Roti and Falafel House, I should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': 'Falafel House'}
{'statement': "I don't like cheap restaurants. Between St. Louis Bar & Grill and Oxygen Restaurant & Lounge, I should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'St. Louis Bar & Grill'}
{'statement': "I don't like cheap restaurants. Between Daily Press Juicery and Hapa Toronto, I should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Daily Press Juicery'}
{'statement': "I don't like cheap restaurants. Between Bonne Journee and Breakfast Room, I should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'Bonne Journee'}
{'statement': "I don't like cheap restaurants. Between The Coffee Pocket and To-ne Sushi, I should go to To-ne Sushi.", 'answer': 'To-ne Sushi', 'candidate': 'The Coffee Pocket'}
{'statement': "I don't like cheap restaurants. Between Fitness Avenue and Dangerous Dan's Diner, I should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Fitness Avenue'}
{'statement': "I don't like cheap restaurants. Between Pisco 1641 and Delicious Paradise Kitchen, I should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "I don't like cheap restaurants. Between New Bilan Restaurant and Nutella Cafe by Pusateri's, I should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'New Bilan Restaurant'}
{'statement': "I don't like cheap restaurants. Between St. Clair Shawarma and Falafel and Maurya East Indian Roti, I should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I don't like cheap restaurants. Between Falafel Hut Village and Milestones Restaurants, I should go to Milestones Restaurants.", 'answer': 'Milestones Restaurants', 'candidate': 'Falafel Hut Village'}
{'statement': "I don't like cheap restaurants. Between Edible Arrangements and St. Clair Shawarma and Falafel, I should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I don't like cheap restaurants. Between Falafel House and Topham Corner, I should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': 'Falafel House'}
{'statement': "I don't like cheap restaurants. Between Phil's Original BBQ and Helena's Magic Kitchen, I should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': "Helena's Magic Kitchen"}
{'statement': "I don't like cheap restaurants. Between Paradise Farms Prime Beef Bistro and Dinah's Cupboard, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "I don't like cheap restaurants. Between The Coffee Pocket and Phil's Original BBQ, I should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'The Coffee Pocket'}
{'statement': "I don't like cheap restaurants. Between Goldstone Noodle Restaurant and Hapa Toronto, I should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "I don't like cheap restaurants. Between Green Room and Juice & Java Cafe, I should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Green Room'}
{'statement': "I don't like cheap restaurants. Between Chipotle Mexican Grill and New Bilan Restaurant, I should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'New Bilan Restaurant'}
{'statement': "I don't like cheap restaurants. Between Eastern legend and Mt Everest Restaurant, I should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': 'Eastern legend'}
{'statement': "I don't like cheap restaurants. Between Domino's Pizza and Tim Hortons, I should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': 'Tim Hortons'}
{'statement': "I don't like cheap restaurants. Between Cake Opera and Grappa Ristorante, I should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Grappa Ristorante'}
{'statement': "I don't like cheap restaurants. Between Cafe Jules and 9 Restaurant, I should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'Cafe Jules'}
{'statement': "I don't like cheap restaurants. Between Hapa Toronto and Evoo Ristorante, I should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Hapa Toronto'}
{'statement': "I don't like cheap restaurants. Between Verona Restaurant and Basha Middle Eastern Grill, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Basha Middle Eastern Grill'}
{'statement': "I don't like cheap restaurants. Between St. Clair Shawarma and Falafel and St. Louis Bar & Grill, I should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I don't like cheap restaurants. Between z-teca Gourmet Burritos and Galata Cafe, I should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "I don't like cheap restaurants. Between Falafel House and Basil Express Restaurant, I should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Falafel House'}
{'statement': "I don't like cheap restaurants. Between Thompson Rooftop and Harry's Char Broil & Dining Lounge, I should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "I don't like cheap restaurants. Between Ici Bistro and St. Clair Shawarma and Falafel, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I don't like cheap restaurants. Between Fitness Avenue and Magic Oven, I should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'Fitness Avenue'}
{'statement': "I don't like cheap restaurants. Between Lahore Grill & Fast Food and Warung Indonesia D'Eglinton, I should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "I don't like cheap restaurants. Between The Coffee Pocket and Tik Talk Cafe, I should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'The Coffee Pocket'}
{'statement': "I don't like cheap restaurants. Between Carole's Cheesecake Cafe and Adega Restaurante, I should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "I don't like cheap restaurants. Between Popeyes Louisiana Kitchen and Sushi World, I should go to Popeyes Louisiana Kitchen.", 'answer': 'Popeyes Louisiana Kitchen', 'candidate': 'Sushi World'}
{'statement': "I don't like cheap restaurants. Between Tim Hortons and Daily Press Juicery, I should go to Daily Press Juicery.", 'answer': 'Daily Press Juicery', 'candidate': 'Tim Hortons'}
{'statement': "I don't like cheap restaurants. Between New Bilan Restaurant and Ardor Bistro, I should go to Ardor Bistro.", 'answer': 'Ardor Bistro', 'candidate': 'New Bilan Restaurant'}
{'statement': "I don't like cheap restaurants. Between Roncy's Bean and Grappa Ristorante, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': "Roncy's Bean"}
{'statement': "I don't like cheap restaurants. Between El Fogón and Dinah's Cupboard, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'El Fogón'}
{'statement': "I don't like cheap restaurants. Between Sweet Jesus and Magic Oven, I should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'Sweet Jesus'}
{'statement': "I don't like cheap restaurants. Between Verona Restaurant and Sweet Jesus, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Sweet Jesus'}
{'statement': "I don't like cheap restaurants. Between Green Room and Aroma Espresso Bar, I should go to Aroma Espresso Bar.", 'answer': 'Aroma Espresso Bar', 'candidate': 'Green Room'}
{'statement': "I don't like cheap restaurants. Between Thompson Rooftop and Scaddabush Italian Kitchen & Bar, I should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Scaddabush Italian Kitchen & Bar'}
