{'statement': "I don't like cheap restaurants. Between Chick Fiesta and Basil Express Restaurant, I should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Chick Fiesta'}
{'statement': "I don't like cheap restaurants. Between Eggspectation and Druxy's Famous Deli, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': "Druxy's Famous Deli"}
{'statement': "I don't like cheap restaurants. Between Sheriff Broaster Chicken and Cake Opera, I should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Sheriff Broaster Chicken'}
{'statement': "I don't like cheap restaurants. Between Freshii and Falafel Hut Village, I should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Falafel Hut Village'}
{'statement': "I don't like cheap restaurants. Between KFC and Beryl's Pepper Pot, I should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': 'KFC'}
{'statement': "I don't like cheap restaurants. Between Marcello’s pizzeria and Helena's Magic Kitchen, I should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': "Helena's Magic Kitchen"}
{'statement': "I don't like cheap restaurants. Between Harvey's and Nutella Cafe by Pusateri's, I should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': "Harvey's"}
{'statement': "I don't like cheap restaurants. Between Eggspectation and Sweet Jesus, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Sweet Jesus'}
{'statement': "I don't like cheap restaurants. Between Queen Pita and Maurya East Indian Roti, I should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': 'Queen Pita'}
{'statement': "I don't like cheap restaurants. Between Pho 88 and Kim PO Vietnamese, I should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Pho 88'}
{'statement': "I don't like cheap restaurants. Between Helena's Magic Kitchen and Scaddabush Italian Kitchen & Bar, I should go to Scaddabush Italian Kitchen & Bar.", 'answer': 'Scaddabush Italian Kitchen & Bar', 'candidate': "Helena's Magic Kitchen"}
{'statement': "I don't like cheap restaurants. Between Bao Bao Plus Dim Sum and New Bilan Restaurant, I should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': 'New Bilan Restaurant'}
{'statement': "I don't like cheap restaurants. Between Cantine Bar & Grill and Verona Restaurant, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Cantine Bar & Grill'}
{'statement': "I don't like cheap restaurants. Between Mt Everest Restaurant and The Empire, I should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': 'The Empire'}
{'statement': "I don't like cheap restaurants. Between Fitness Avenue and Tik Talk Cafe, I should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Fitness Avenue'}
{'statement': "I don't like cheap restaurants. Between Eggspectation and Oxygen Restaurant & Lounge, I should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Eggspectation'}
{'statement': "I don't like cheap restaurants. Between Le Papillon Park and Fitness Avenue, I should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': 'Fitness Avenue'}
{'statement': "I don't like cheap restaurants. Between Grappa Ristorante and FreshCo, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'FreshCo'}
{'statement': "I don't like cheap restaurants. Between Sushi World and Kim PO Vietnamese, I should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Sushi World'}
{'statement': "I don't like cheap restaurants. Between Ici Bistro and Eastern legend, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Eastern legend'}
{'statement': "I don't like cheap restaurants. Between Mt Everest Restaurant and Smoke's Weinerie, I should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': "Smoke's Weinerie"}
{'statement': "I don't like cheap restaurants. Between Evoo Ristorante and Banjara Indian Cuisine, I should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "I don't like cheap restaurants. Between Sushi World and Evoo Ristorante, I should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Sushi World'}
{'statement': "I don't like cheap restaurants. Between Joe Badali's Ristorante Italiano & Bar and Mi Mi Restaurant, I should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': 'Mi Mi Restaurant'}
{'statement': "I don't like cheap restaurants. Between Falafel Hut Village and Joe Badali's Ristorante Italiano & Bar, I should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': 'Falafel Hut Village'}
{'statement': "I don't like cheap restaurants. Between Milo's Pita and Capitol Trattoria Pizzeria, I should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': "Milo's Pita"}
{'statement': "I don't like cheap restaurants. Between Green Grotto and Grappa Ristorante, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Green Grotto'}
{'statement': "I don't like cheap restaurants. Between Thai 4 You Restaurant and Sizzlers, I should go to Thai 4 You Restaurant.", 'answer': 'Thai 4 You Restaurant', 'candidate': 'Sizzlers'}
{'statement': "I don't like cheap restaurants. Between Warung Indonesia D'Eglinton and Galata Cafe, I should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "I don't like cheap restaurants. Between Just Soups Take Out & Catering and Branca, I should go to Branca.", 'answer': 'Branca', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "I don't like cheap restaurants. Between El Fogón and Adega Restaurante, I should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': 'El Fogón'}
{'statement': "I don't like cheap restaurants. Between Druxy's Famous Deli and Piper's Pub And Grill, I should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': "Druxy's Famous Deli"}
{'statement': "I don't like cheap restaurants. Between Harvey's and St. Clair Shawarma and Falafel, I should go to Harvey's.", 'answer': "Harvey's", 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I don't like cheap restaurants. Between Buk Chang Dong Soon Tofu and EJ Sushi, I should go to EJ Sushi.", 'answer': 'EJ Sushi', 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "I don't like cheap restaurants. Between St. Clair Shawarma and Falafel and Mt Everest Restaurant, I should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I don't like cheap restaurants. Between Branca and EJ Sushi, I should go to Branca.", 'answer': 'Branca', 'candidate': 'EJ Sushi'}
{'statement': "I don't like cheap restaurants. Between Banjara Indian Cuisine and KFC, I should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'KFC'}
{'statement': "I don't like cheap restaurants. Between Tik Talk Cafe and Just Soups Take Out & Catering, I should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "I don't like cheap restaurants. Between Queen Slice and La Cocina De Dona Luz, I should go to La Cocina De Dona Luz.", 'answer': 'La Cocina De Dona Luz', 'candidate': 'Queen Slice'}
{'statement': "I don't like cheap restaurants. Between Villa Madina and Maurya East Indian Roti, I should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': 'Villa Madina'}
{'statement': "I don't like cheap restaurants. Between Falafel House and Kim PO Vietnamese, I should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Falafel House'}
{'statement': "I don't like cheap restaurants. Between Adega Restaurante and Scaddabush Italian Kitchen & Bar, I should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': 'Scaddabush Italian Kitchen & Bar'}
{'statement': "I don't like cheap restaurants. Between Branca and Assembly Chef's Hall, I should go to Branca.", 'answer': 'Branca', 'candidate': "Assembly Chef's Hall"}
{'statement': "I don't like cheap restaurants. Between Druxy's Famous Deli and Tortería San Cosme, I should go to Tortería San Cosme.", 'answer': 'Tortería San Cosme', 'candidate': "Druxy's Famous Deli"}
{'statement': "I don't like cheap restaurants. Between Modo Mio Italian Bistro and Bagel Nash, I should go to Modo Mio Italian Bistro.", 'answer': 'Modo Mio Italian Bistro', 'candidate': 'Bagel Nash'}
{'statement': "I don't like cheap restaurants. Between Cake Opera and Sky Dragon Chinese Restaurant, I should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "I don't like cheap restaurants. Between Verona Restaurant and Piper's Pub And Grill, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': "Piper's Pub And Grill"}
{'statement': "I don't like cheap restaurants. Between Pasta Pantry and Galata Cafe, I should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'Pasta Pantry'}
{'statement': "I don't like cheap restaurants. Between New Bilan Restaurant and Mysteriously Yours Dinner Theatre, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'New Bilan Restaurant'}
{'statement': "I don't like cheap restaurants. Between Joe Badali's Ristorante Italiano & Bar and Mamma's Pizza, I should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': "Mamma's Pizza"}
{'statement': "I don't like cheap restaurants. Between Magic Oven and Hapa Toronto, I should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Magic Oven'}
{'statement': "I don't like cheap restaurants. Between Kim PO Vietnamese and Delicious Paradise Kitchen, I should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "I don't like cheap restaurants. Between Villa Madina and Green Grotto, I should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': 'Villa Madina'}
{'statement': "I don't like cheap restaurants. Between Oxygen Restaurant & Lounge and Sheriff Broaster Chicken, I should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Sheriff Broaster Chicken'}
