{'statement': "You don't like cheap restaurants. Between Branca and Piper's Pub And Grill, you should go to Branca.", 'answer': 'Branca', 'candidate': "Piper's Pub And Grill"}
{'statement': "You don't like cheap restaurants. Between Smoke's Weinerie and Chipotle Mexican Grill, you should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': "Smoke's Weinerie"}
{'statement': "You don't like cheap restaurants. Between Evoo Ristorante and Big Al's Diner, you should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': "Big Al's Diner"}
{'statement': "You don't like cheap restaurants. Between Chipotle Mexican Grill and Hapa Toronto, you should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "You don't like cheap restaurants. Between Sky Dragon Chinese Restaurant and Supermodel Pizza, you should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Supermodel Pizza'}
{'statement': "You don't like cheap restaurants. Between Sky Dragon Chinese Restaurant and Pho 88, you should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Pho 88'}
{'statement': "You don't like cheap restaurants. Between Buk Chang Dong Soon Tofu and Dinah's Cupboard, you should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "You don't like cheap restaurants. Between Adega Restaurante and Cantine Bar & Grill, you should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': 'Cantine Bar & Grill'}
{'statement': "You don't like cheap restaurants. Between Hawthorne Food and Drink and Green Room, you should go to Hawthorne Food and Drink.", 'answer': 'Hawthorne Food and Drink', 'candidate': 'Green Room'}
{'statement': "You don't like cheap restaurants. Between To-ne Sushi and Branca, you should go to Branca.", 'answer': 'Branca', 'candidate': 'To-ne Sushi'}
{'statement': "You don't like cheap restaurants. Between Beryl's Pepper Pot and Shawarma Twist, you should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': 'Shawarma Twist'}
{'statement': "You don't like cheap restaurants. Between Verona Restaurant and Tian An Cuisine, you should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Tian An Cuisine'}
{'statement': "You don't like cheap restaurants. Between FreshCo and New Bilan Restaurant, you should go to FreshCo.", 'answer': 'FreshCo', 'candidate': 'New Bilan Restaurant'}
{'statement': "You don't like cheap restaurants. Between Scaddabush Italian Kitchen & Bar and Falafel Hut Village, you should go to Scaddabush Italian Kitchen & Bar.", 'answer': 'Scaddabush Italian Kitchen & Bar', 'candidate': 'Falafel Hut Village'}
{'statement': "You don't like cheap restaurants. Between Itamae Ayce Sushi and New Bilan Restaurant, you should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': 'New Bilan Restaurant'}
{'statement': "You don't like cheap restaurants. Between Nutella Cafe by Pusateri's and Hawthorne Food and Drink, you should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Hawthorne Food and Drink'}
{'statement': "You don't like cheap restaurants. Between Amaya Express and Milo's Pita, you should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': "Milo's Pita"}
{'statement': "You don't like cheap restaurants. Between Juice & Java Cafe and Bonne Journee, you should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Bonne Journee'}
{'statement': "You don't like cheap restaurants. Between Falafel House and Sky Dragon Chinese Restaurant, you should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Falafel House'}
{'statement': "You don't like cheap restaurants. Between Mirage Grill & Lounge and Pizzeria Via Mercanti, you should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "You don't like cheap restaurants. Between Hapa Toronto and Bagel Nash, you should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Bagel Nash'}
{'statement': "You don't like cheap restaurants. Between Pisco 1641 and Adega Restaurante, you should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': 'Pisco 1641'}
{'statement': "You don't like cheap restaurants. Between Milestones Restaurants and Supermodel Pizza, you should go to Milestones Restaurants.", 'answer': 'Milestones Restaurants', 'candidate': 'Supermodel Pizza'}
{'statement': "You don't like cheap restaurants. Between Tik Talk Cafe and Ici Bistro, you should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Tik Talk Cafe'}
{'statement': "You don't like cheap restaurants. Between Tim Hortons and Aroma Espresso Bar, you should go to Aroma Espresso Bar.", 'answer': 'Aroma Espresso Bar', 'candidate': 'Tim Hortons'}
{'statement': "You don't like cheap restaurants. Between The Coffee Pocket and Edible Arrangements, you should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'The Coffee Pocket'}
{'statement': "You don't like cheap restaurants. Between Dangerous Dan's Diner and Helena's Magic Kitchen, you should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': "Helena's Magic Kitchen"}
{'statement': "You don't like cheap restaurants. Between Paradise Farms Prime Beef Bistro and Sushi World, you should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'Sushi World'}
{'statement': "You don't like cheap restaurants. Between McDonald's and Ardor Bistro, you should go to Ardor Bistro.", 'answer': 'Ardor Bistro', 'candidate': "McDonald's"}
{'statement': "You don't like cheap restaurants. Between Mi Mi Restaurant and Hina Sushi, you should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Mi Mi Restaurant'}
{'statement': "You don't like cheap restaurants. Between Pizzeria Via Mercanti and Mysteriously Yours Dinner Theatre, you should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "You don't like cheap restaurants. Between Buk Chang Dong Soon Tofu and Piper's Pub And Grill, you should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "You don't like cheap restaurants. Between The Empire and Joe Badali's Ristorante Italiano & Bar, you should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': 'The Empire'}
{'statement': "You don't like cheap restaurants. Between Scaddabush Italian Kitchen & Bar and Villa Madina, you should go to Scaddabush Italian Kitchen & Bar.", 'answer': 'Scaddabush Italian Kitchen & Bar', 'candidate': 'Villa Madina'}
{'statement': "You don't like cheap restaurants. Between New Bilan Restaurant and Hapa Toronto, you should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'New Bilan Restaurant'}
{'statement': "You don't like cheap restaurants. Between Kairali - Taste of Kerala and Grappa Ristorante, you should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "You don't like cheap restaurants. Between Ciao Europa wine bar and Fitness Avenue, you should go to Ciao Europa wine bar.", 'answer': 'Ciao Europa wine bar', 'candidate': 'Fitness Avenue'}
{'statement': "You don't like cheap restaurants. Between LCBO and Sizzlers, you should go to LCBO.", 'answer': 'LCBO', 'candidate': 'Sizzlers'}
{'statement': "You don't like cheap restaurants. Between Branca and Bake Island, you should go to Branca.", 'answer': 'Branca', 'candidate': 'Bake Island'}
{'statement': "You don't like cheap restaurants. Between Breakfast Room and Bonne Journee, you should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'Bonne Journee'}
{'statement': "You don't like cheap restaurants. Between Cake Opera and Cantine Bar & Grill, you should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Cantine Bar & Grill'}
{'statement': "You don't like cheap restaurants. Between Itamae Ayce Sushi and Sushi World, you should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': 'Sushi World'}
{'statement': "You don't like cheap restaurants. Between Edible Arrangements and Juice & Java Cafe, you should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'Juice & Java Cafe'}
{'statement': "You don't like cheap restaurants. Between Magic Oven and Green Room, you should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'Green Room'}
{'statement': "You don't like cheap restaurants. Between Helena's Magic Kitchen and Taste of Greek Cuisine, you should go to Taste of Greek Cuisine.", 'answer': 'Taste of Greek Cuisine', 'candidate': "Helena's Magic Kitchen"}
{'statement': "You don't like cheap restaurants. Between Dinah's Cupboard and Shawarma Twist, you should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Shawarma Twist'}
{'statement': "You don't like cheap restaurants. Between Queen Slice and La Pupusa Loka, you should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'Queen Slice'}
{'statement': "You don't like cheap restaurants. Between Queen Pita and Modo Mio Italian Bistro, you should go to Modo Mio Italian Bistro.", 'answer': 'Modo Mio Italian Bistro', 'candidate': 'Queen Pita'}
{'statement': "You don't like cheap restaurants. Between Supermodel Pizza and Paradise Farms Prime Beef Bistro, you should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'Supermodel Pizza'}
{'statement': "You don't like cheap restaurants. Between 9 Restaurant and Big Al's Diner, you should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': "Big Al's Diner"}
{'statement': "You don't like cheap restaurants. Between Edible Arrangements and JJ Bean, you should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'JJ Bean'}
{'statement': "You don't like cheap restaurants. Between Basha Middle Eastern Grill and Verona Restaurant, you should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Basha Middle Eastern Grill'}
