{'statement': "I'm looking for restaurants further away. Between JJ Bean and Sushi Shop, I should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'Sushi Shop'}
{'statement': "I'm looking for restaurants further away. Between Amaya Express and Sky Dragon Chinese Restaurant, I should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Amaya Express'}
{'statement': "I'm looking for restaurants further away. Between Pizzeria Via Mercanti and Bake Island, I should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Bake Island'}
{'statement': "I'm looking for restaurants further away. Between Sizzlers and Goldstone Noodle Restaurant, I should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "I'm looking for restaurants further away. Between Juice & Java Cafe and Sizzlers, I should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Juice & Java Cafe'}
{'statement': "I'm looking for restaurants further away. Between Banjara Indian Cuisine and Falafel Hut Village, I should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Falafel Hut Village'}
{'statement': "I'm looking for restaurants further away. Between Smoke's Weinerie and Breakfast Room, I should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Breakfast Room'}
{'statement': "I'm looking for restaurants further away. Between Banjara Indian Cuisine and Juice & Java Cafe, I should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Juice & Java Cafe'}
{'statement': "I'm looking for restaurants further away. Between St. Louis Bar & Grill and z-teca Gourmet Burritos, I should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'St. Louis Bar & Grill'}
{'statement': "I'm looking for restaurants further away. Between Lahore Grill & Fast Food and Grappa Ristorante, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "I'm looking for restaurants further away. Between Mirage Grill & Lounge and Evoo Ristorante, I should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Evoo Ristorante'}
{'statement': "I'm looking for restaurants further away. Between Topham Corner and Scaddabush Italian Kitchen & Bar, I should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': 'Scaddabush Italian Kitchen & Bar'}
{'statement': "I'm looking for restaurants further away. Between Magic Oven and The Empire, I should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'The Empire'}
{'statement': "I'm looking for restaurants further away. Between Ciao Europa wine bar and Pisco 1641, I should go to Ciao Europa wine bar.", 'answer': 'Ciao Europa wine bar', 'candidate': 'Pisco 1641'}
{'statement': "I'm looking for restaurants further away. Between Tik Talk Cafe and Mövenpick Café, I should go to Mövenpick Café.", 'answer': 'Mövenpick Café', 'candidate': 'Tik Talk Cafe'}
{'statement': "I'm looking for restaurants further away. Between Aroma Espresso Bar and Tian An Cuisine, I should go to Aroma Espresso Bar.", 'answer': 'Aroma Espresso Bar', 'candidate': 'Tian An Cuisine'}
{'statement': "I'm looking for restaurants further away. Between Magic Oven and Breakfast Room, I should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'Breakfast Room'}
{'statement': "I'm looking for restaurants further away. Between Mamma's Pizza and Mi Mi Restaurant, I should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': "Mamma's Pizza"}
{'statement': "I'm looking for restaurants further away. Between The Coffee Pocket and Anatolia Restaurant, I should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Anatolia Restaurant'}
{'statement': "I'm looking for restaurants further away. Between Sheriff Broaster Chicken and Ciao Europa wine bar, I should go to Ciao Europa wine bar.", 'answer': 'Ciao Europa wine bar', 'candidate': 'Sheriff Broaster Chicken'}
{'statement': "I'm looking for restaurants further away. Between Capitol Trattoria Pizzeria and Kim PO Vietnamese, I should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Kim PO Vietnamese'}
{'statement': "I'm looking for restaurants further away. Between Grappa Ristorante and Harry's Char Broil & Dining Lounge, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "I'm looking for restaurants further away. Between Madras Pantry and Sushi World, I should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Madras Pantry'}
{'statement': "I'm looking for restaurants further away. Between Magic Oven and El Fogón, I should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'El Fogón'}
{'statement': "I'm looking for restaurants further away. Between St. Louis Bar & Grill and 9 Restaurant, I should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'St. Louis Bar & Grill'}
{'statement': "I'm looking for restaurants further away. Between Pho 88 and Mysteriously Yours Dinner Theatre, I should go to Pho 88.", 'answer': 'Pho 88', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "I'm looking for restaurants further away. Between Green Room and Fit For Life, I should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Fit For Life'}
{'statement': "I'm looking for restaurants further away. Between Ici Bistro and Branca, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Branca'}
{'statement': "I'm looking for restaurants further away. Between Freshii and Anatolia Restaurant, I should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Anatolia Restaurant'}
{'statement': "I'm looking for restaurants further away. Between KFC and Sweet Jesus, I should go to Sweet Jesus.", 'answer': 'Sweet Jesus', 'candidate': 'KFC'}
{'statement': "I'm looking for restaurants further away. Between Le Papillon Park and Fit For Life, I should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': 'Fit For Life'}
{'statement': "I'm looking for restaurants further away. Between Sushi World and Pizzeria Via Mercanti, I should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Sushi World'}
{'statement': "I'm looking for restaurants further away. Between Mi Mi Restaurant and It's All Grk, I should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': "It's All Grk"}
{'statement': "I'm looking for restaurants further away. Between Banjara Indian Cuisine and Green Grotto, I should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Green Grotto'}
{'statement': "I'm looking for restaurants further away. Between Capitol Trattoria Pizzeria and Dangerous Dan's Diner, I should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': "Dangerous Dan's Diner"}
{'statement': "I'm looking for restaurants further away. Between Green Room and Pizza Pizza, I should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Pizza Pizza'}
{'statement': "I'm looking for restaurants further away. Between Basil Express Restaurant and Cafe Jules, I should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': 'Basil Express Restaurant'}
{'statement': "I'm looking for restaurants further away. Between Marcello’s pizzeria and Hina Sushi, I should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Marcello’s pizzeria'}
{'statement': "I'm looking for restaurants further away. Between Bonne Journee and McDonald's, I should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': "McDonald's"}
{'statement': "I'm looking for restaurants further away. Between Big Al's Diner and Just Soups Take Out & Catering, I should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "I'm looking for restaurants further away. Between McDonald's and Mt Everest Restaurant, I should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': "McDonald's"}
{'statement': "I'm looking for restaurants further away. Between Basha Middle Eastern Grill and Eggspectation, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Basha Middle Eastern Grill'}
{'statement': "I'm looking for restaurants further away. Between Breakfast Room and New Bilan Restaurant, I should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Breakfast Room'}
{'statement': "I'm looking for restaurants further away. Between Ici Bistro and LCBO, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'LCBO'}
{'statement': "I'm looking for restaurants further away. Between Warung Indonesia D'Eglinton and Pasta Pantry, I should go to Pasta Pantry.", 'answer': 'Pasta Pantry', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "I'm looking for restaurants further away. Between Grappa Ristorante and Amaya Express, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Amaya Express'}
{'statement': "I'm looking for restaurants further away. Between 9 Restaurant and St. Clair Shawarma and Falafel, I should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': '9 Restaurant'}
{'statement': "I'm looking for restaurants further away. Between New Bilan Restaurant and Dinah's Cupboard, I should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': "Dinah's Cupboard"}
{'statement': "I'm looking for restaurants further away. Between Banjara Indian Cuisine and Paradise Farms Prime Beef Bistro, I should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "I'm looking for restaurants further away. Between Beryl's Pepper Pot and Chipotle Mexican Grill, I should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': 'Chipotle Mexican Grill'}
{'statement': "I'm looking for restaurants further away. Between Bonne Journee and Daily Press Juicery, I should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Daily Press Juicery'}
{'statement': "I'm looking for restaurants further away. Between Bao Bao Plus Dim Sum and Domino's Pizza, I should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': "I'm looking for restaurants further away. Between Nutella Cafe by Pusateri's and Delicious Paradise Kitchen, I should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Delicious Paradise Kitchen'}
