{'statement': "I don't like the restaurants nearby. Between JJ Bean and Sushi Shop, I should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'Sushi Shop'}
{'statement': "I don't like the restaurants nearby. Between Sky Dragon Chinese Restaurant and Amaya Express, I should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Amaya Express'}
{'statement': "I don't like the restaurants nearby. Between Pizzeria Via Mercanti and Bake Island, I should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Bake Island'}
{'statement': "I don't like the restaurants nearby. Between Sizzlers and Goldstone Noodle Restaurant, I should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "I don't like the restaurants nearby. Between Sizzlers and Juice & Java Cafe, I should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Juice & Java Cafe'}
{'statement': "I don't like the restaurants nearby. Between Falafel Hut Village and Banjara Indian Cuisine, I should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Falafel Hut Village'}
{'statement': "I don't like the restaurants nearby. Between Smoke's Weinerie and Breakfast Room, I should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Breakfast Room'}
{'statement': "I don't like the restaurants nearby. Between Banjara Indian Cuisine and Juice & Java Cafe, I should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Juice & Java Cafe'}
{'statement': "I don't like the restaurants nearby. Between z-teca Gourmet Burritos and St. Louis Bar & Grill, I should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'St. Louis Bar & Grill'}
{'statement': "I don't like the restaurants nearby. Between Lahore Grill & Fast Food and Grappa Ristorante, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "I don't like the restaurants nearby. Between Evoo Ristorante and Mirage Grill & Lounge, I should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Evoo Ristorante'}
{'statement': "I don't like the restaurants nearby. Between Scaddabush Italian Kitchen & Bar and Topham Corner, I should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': 'Scaddabush Italian Kitchen & Bar'}
{'statement': "I don't like the restaurants nearby. Between Magic Oven and The Empire, I should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'The Empire'}
{'statement': "I don't like the restaurants nearby. Between Ciao Europa wine bar and Pisco 1641, I should go to Ciao Europa wine bar.", 'answer': 'Ciao Europa wine bar', 'candidate': 'Pisco 1641'}
{'statement': "I don't like the restaurants nearby. Between Mövenpick Café and Tik Talk Cafe, I should go to Mövenpick Café.", 'answer': 'Mövenpick Café', 'candidate': 'Tik Talk Cafe'}
{'statement': "I don't like the restaurants nearby. Between Aroma Espresso Bar and Tian An Cuisine, I should go to Aroma Espresso Bar.", 'answer': 'Aroma Espresso Bar', 'candidate': 'Tian An Cuisine'}
{'statement': "I don't like the restaurants nearby. Between Breakfast Room and Magic Oven, I should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'Breakfast Room'}
{'statement': "I don't like the restaurants nearby. Between Mi Mi Restaurant and Mamma's Pizza, I should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': "Mamma's Pizza"}
{'statement': "I don't like the restaurants nearby. Between Anatolia Restaurant and The Coffee Pocket, I should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Anatolia Restaurant'}
{'statement': "I don't like the restaurants nearby. Between Ciao Europa wine bar and Sheriff Broaster Chicken, I should go to Ciao Europa wine bar.", 'answer': 'Ciao Europa wine bar', 'candidate': 'Sheriff Broaster Chicken'}
{'statement': "I don't like the restaurants nearby. Between Capitol Trattoria Pizzeria and Kim PO Vietnamese, I should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Kim PO Vietnamese'}
{'statement': "I don't like the restaurants nearby. Between Grappa Ristorante and Harry's Char Broil & Dining Lounge, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "I don't like the restaurants nearby. Between Madras Pantry and Sushi World, I should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Madras Pantry'}
{'statement': "I don't like the restaurants nearby. Between Magic Oven and El Fogón, I should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'El Fogón'}
{'statement': "I don't like the restaurants nearby. Between St. Louis Bar & Grill and 9 Restaurant, I should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'St. Louis Bar & Grill'}
{'statement': "I don't like the restaurants nearby. Between Mysteriously Yours Dinner Theatre and Pho 88, I should go to Pho 88.", 'answer': 'Pho 88', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "I don't like the restaurants nearby. Between Green Room and Fit For Life, I should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Fit For Life'}
{'statement': "I don't like the restaurants nearby. Between Ici Bistro and Branca, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Branca'}
{'statement': "I don't like the restaurants nearby. Between Freshii and Anatolia Restaurant, I should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Anatolia Restaurant'}
{'statement': "I don't like the restaurants nearby. Between KFC and Sweet Jesus, I should go to Sweet Jesus.", 'answer': 'Sweet Jesus', 'candidate': 'KFC'}
{'statement': "I don't like the restaurants nearby. Between Le Papillon Park and Fit For Life, I should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': 'Fit For Life'}
{'statement': "I don't like the restaurants nearby. Between Sushi World and Pizzeria Via Mercanti, I should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Sushi World'}
{'statement': "I don't like the restaurants nearby. Between Mi Mi Restaurant and It's All Grk, I should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': "It's All Grk"}
{'statement': "I don't like the restaurants nearby. Between Green Grotto and Banjara Indian Cuisine, I should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Green Grotto'}
{'statement': "I don't like the restaurants nearby. Between Dangerous Dan's Diner and Capitol Trattoria Pizzeria, I should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': "Dangerous Dan's Diner"}
{'statement': "I don't like the restaurants nearby. Between Pizza Pizza and Green Room, I should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Pizza Pizza'}
{'statement': "I don't like the restaurants nearby. Between Basil Express Restaurant and Cafe Jules, I should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': 'Basil Express Restaurant'}
{'statement': "I don't like the restaurants nearby. Between Marcello’s pizzeria and Hina Sushi, I should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Marcello’s pizzeria'}
{'statement': "I don't like the restaurants nearby. Between Bonne Journee and McDonald's, I should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': "McDonald's"}
{'statement': "I don't like the restaurants nearby. Between Just Soups Take Out & Catering and Big Al's Diner, I should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "I don't like the restaurants nearby. Between Mt Everest Restaurant and McDonald's, I should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': "McDonald's"}
{'statement': "I don't like the restaurants nearby. Between Eggspectation and Basha Middle Eastern Grill, I should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Basha Middle Eastern Grill'}
{'statement': "I don't like the restaurants nearby. Between New Bilan Restaurant and Breakfast Room, I should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Breakfast Room'}
{'statement': "I don't like the restaurants nearby. Between LCBO and Ici Bistro, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'LCBO'}
{'statement': "I don't like the restaurants nearby. Between Pasta Pantry and Warung Indonesia D'Eglinton, I should go to Pasta Pantry.", 'answer': 'Pasta Pantry', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "I don't like the restaurants nearby. Between Amaya Express and Grappa Ristorante, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Amaya Express'}
{'statement': "I don't like the restaurants nearby. Between St. Clair Shawarma and Falafel and 9 Restaurant, I should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': '9 Restaurant'}
{'statement': "I don't like the restaurants nearby. Between Dinah's Cupboard and New Bilan Restaurant, I should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': "Dinah's Cupboard"}
{'statement': "I don't like the restaurants nearby. Between Banjara Indian Cuisine and Paradise Farms Prime Beef Bistro, I should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "I don't like the restaurants nearby. Between Chipotle Mexican Grill and Beryl's Pepper Pot, I should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': 'Chipotle Mexican Grill'}
{'statement': "I don't like the restaurants nearby. Between Bonne Journee and Daily Press Juicery, I should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Daily Press Juicery'}
{'statement': "I don't like the restaurants nearby. Between Bao Bao Plus Dim Sum and Domino's Pizza, I should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': "I don't like the restaurants nearby. Between Delicious Paradise Kitchen and Nutella Cafe by Pusateri's, I should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Delicious Paradise Kitchen'}
