{'statement': "I'm looking for an expensive restaurant. Between Thompson Rooftop and Nook, I should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Nook'}
{'statement': "I'm looking for an expensive restaurant. Between Cake Opera and Green Grotto, I should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Green Grotto'}
{'statement': "I'm looking for an expensive restaurant. Between Galata Cafe and Sizzlers, I should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'Sizzlers'}
{'statement': "I'm looking for an expensive restaurant. Between McDonald's and Beryl's Pepper Pot, I should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': "McDonald's"}
{'statement': "I'm looking for an expensive restaurant. Between Madras Pantry and Daily Press Juicery, I should go to Daily Press Juicery.", 'answer': 'Daily Press Juicery', 'candidate': 'Madras Pantry'}
{'statement': "I'm looking for an expensive restaurant. Between Mi Mi Restaurant and Le Papillon Park, I should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': 'Mi Mi Restaurant'}
{'statement': "I'm looking for an expensive restaurant. Between Queen Pita and Thai 4 You Restaurant, I should go to Thai 4 You Restaurant.", 'answer': 'Thai 4 You Restaurant', 'candidate': 'Queen Pita'}
{'statement': "I'm looking for an expensive restaurant. Between Delicious Paradise Kitchen and Cantine Bar & Grill, I should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "I'm looking for an expensive restaurant. Between Dinah's Cupboard and Phil's Original BBQ, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': "Phil's Original BBQ"}
{'statement': "I'm looking for an expensive restaurant. Between Ici Bistro and Thai 4 You Restaurant, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Thai 4 You Restaurant'}
{'statement': "I'm looking for an expensive restaurant. Between Pho 88 and Tik Talk Cafe, I should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Pho 88'}
{'statement': "I'm looking for an expensive restaurant. Between Falafel House and Paradise Farms Prime Beef Bistro, I should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'Falafel House'}
{'statement': "I'm looking for an expensive restaurant. Between Juice & Java Cafe and St. Clair Shawarma and Falafel, I should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I'm looking for an expensive restaurant. Between Sushi World and Magic Oven, I should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'Sushi World'}
{'statement': "I'm looking for an expensive restaurant. Between Pizza Pizza and Popeyes Louisiana Kitchen, I should go to Popeyes Louisiana Kitchen.", 'answer': 'Popeyes Louisiana Kitchen', 'candidate': 'Pizza Pizza'}
{'statement': "I'm looking for an expensive restaurant. Between Sky Dragon Chinese Restaurant and Eastern legend, I should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Eastern legend'}
{'statement': "I'm looking for an expensive restaurant. Between Just Soups Take Out & Catering and Galata Cafe, I should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "I'm looking for an expensive restaurant. Between Maurya East Indian Roti and Falafel House, I should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': 'Falafel House'}
{'statement': "I'm looking for an expensive restaurant. Between Oxygen Restaurant & Lounge and St. Louis Bar & Grill, I should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'St. Louis Bar & Grill'}
{'statement': "I'm looking for an expensive restaurant. Between Hapa Toronto and Daily Press Juicery, I should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Daily Press Juicery'}
{'statement': "I'm looking for an expensive restaurant. Between Breakfast Room and Bonne Journee, I should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'Bonne Journee'}
{'statement': "I'm looking for an expensive restaurant. Between The Coffee Pocket and To-ne Sushi, I should go to To-ne Sushi.", 'answer': 'To-ne Sushi', 'candidate': 'The Coffee Pocket'}
{'statement': "I'm looking for an expensive restaurant. Between Dangerous Dan's Diner and Fitness Avenue, I should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Fitness Avenue'}
{'statement': "I'm looking for an expensive restaurant. Between Delicious Paradise Kitchen and Pisco 1641, I should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "I'm looking for an expensive restaurant. Between Nutella Cafe by Pusateri's and New Bilan Restaurant, I should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'New Bilan Restaurant'}
{'statement': "I'm looking for an expensive restaurant. Between Maurya East Indian Roti and St. Clair Shawarma and Falafel, I should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I'm looking for an expensive restaurant. Between Falafel Hut Village and Milestones Restaurants, I should go to Milestones Restaurants.", 'answer': 'Milestones Restaurants', 'candidate': 'Falafel Hut Village'}
{'statement': "I'm looking for an expensive restaurant. Between Edible Arrangements and St. Clair Shawarma and Falafel, I should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I'm looking for an expensive restaurant. Between Falafel House and Topham Corner, I should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': 'Falafel House'}
{'statement': "I'm looking for an expensive restaurant. Between Phil's Original BBQ and Helena's Magic Kitchen, I should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': "Helena's Magic Kitchen"}
{'statement': "I'm looking for an expensive restaurant. Between Paradise Farms Prime Beef Bistro and Dinah's Cupboard, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "I'm looking for an expensive restaurant. Between Phil's Original BBQ and The Coffee Pocket, I should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'The Coffee Pocket'}
{'statement': "I'm looking for an expensive restaurant. Between Hapa Toronto and Goldstone Noodle Restaurant, I should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "I'm looking for an expensive restaurant. Between Juice & Java Cafe and Green Room, I should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Green Room'}
{'statement': "I'm looking for an expensive restaurant. Between New Bilan Restaurant and Chipotle Mexican Grill, I should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'New Bilan Restaurant'}
{'statement': "I'm looking for an expensive restaurant. Between Mt Everest Restaurant and Eastern legend, I should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': 'Eastern legend'}
{'statement': "I'm looking for an expensive restaurant. Between Tim Hortons and Domino's Pizza, I should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': 'Tim Hortons'}
{'statement': "I'm looking for an expensive restaurant. Between Cake Opera and Grappa Ristorante, I should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Grappa Ristorante'}
{'statement': "I'm looking for an expensive restaurant. Between Cafe Jules and 9 Restaurant, I should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'Cafe Jules'}
{'statement': "I'm looking for an expensive restaurant. Between Evoo Ristorante and Hapa Toronto, I should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Hapa Toronto'}
{'statement': "I'm looking for an expensive restaurant. Between Verona Restaurant and Basha Middle Eastern Grill, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Basha Middle Eastern Grill'}
{'statement': "I'm looking for an expensive restaurant. Between St. Clair Shawarma and Falafel and St. Louis Bar & Grill, I should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I'm looking for an expensive restaurant. Between z-teca Gourmet Burritos and Galata Cafe, I should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "I'm looking for an expensive restaurant. Between Falafel House and Basil Express Restaurant, I should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Falafel House'}
{'statement': "I'm looking for an expensive restaurant. Between Thompson Rooftop and Harry's Char Broil & Dining Lounge, I should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "I'm looking for an expensive restaurant. Between Ici Bistro and St. Clair Shawarma and Falafel, I should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I'm looking for an expensive restaurant. Between Fitness Avenue and Magic Oven, I should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'Fitness Avenue'}
{'statement': "I'm looking for an expensive restaurant. Between Warung Indonesia D'Eglinton and Lahore Grill & Fast Food, I should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "I'm looking for an expensive restaurant. Between The Coffee Pocket and Tik Talk Cafe, I should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'The Coffee Pocket'}
{'statement': "I'm looking for an expensive restaurant. Between Adega Restaurante and Carole's Cheesecake Cafe, I should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "I'm looking for an expensive restaurant. Between Popeyes Louisiana Kitchen and Sushi World, I should go to Popeyes Louisiana Kitchen.", 'answer': 'Popeyes Louisiana Kitchen', 'candidate': 'Sushi World'}
{'statement': "I'm looking for an expensive restaurant. Between Tim Hortons and Daily Press Juicery, I should go to Daily Press Juicery.", 'answer': 'Daily Press Juicery', 'candidate': 'Tim Hortons'}
{'statement': "I'm looking for an expensive restaurant. Between Ardor Bistro and New Bilan Restaurant, I should go to Ardor Bistro.", 'answer': 'Ardor Bistro', 'candidate': 'New Bilan Restaurant'}
{'statement': "I'm looking for an expensive restaurant. Between Grappa Ristorante and Roncy's Bean, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': "Roncy's Bean"}
{'statement': "I'm looking for an expensive restaurant. Between Dinah's Cupboard and El Fogón, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'El Fogón'}
{'statement': "I'm looking for an expensive restaurant. Between Magic Oven and Sweet Jesus, I should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'Sweet Jesus'}
{'statement': "I'm looking for an expensive restaurant. Between Sweet Jesus and Verona Restaurant, I should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Sweet Jesus'}
{'statement': "I'm looking for an expensive restaurant. Between Aroma Espresso Bar and Green Room, I should go to Aroma Espresso Bar.", 'answer': 'Aroma Espresso Bar', 'candidate': 'Green Room'}
{'statement': "I'm looking for an expensive restaurant. Between Scaddabush Italian Kitchen & Bar and Thompson Rooftop, I should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Scaddabush Italian Kitchen & Bar'}
