{'statement': "I don't like restaurants further away. Between Sushi Shop and JJ Bean, I should go to Sushi Shop.", 'answer': 'Sushi Shop', 'candidate': 'JJ Bean'}
{'statement': "I don't like restaurants further away. Between Sky Dragon Chinese Restaurant and Amaya Express, I should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "I don't like restaurants further away. Between Bake Island and Pizzeria Via Mercanti, I should go to Bake Island.", 'answer': 'Bake Island', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "I don't like restaurants further away. Between Goldstone Noodle Restaurant and Sizzlers, I should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Sizzlers'}
{'statement': "I don't like restaurants further away. Between Sizzlers and Juice & Java Cafe, I should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Sizzlers'}
{'statement': "I don't like restaurants further away. Between Falafel Hut Village and Banjara Indian Cuisine, I should go to Falafel Hut Village.", 'answer': 'Falafel Hut Village', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "I don't like restaurants further away. Between Breakfast Room and Smoke's Weinerie, I should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': "Smoke's Weinerie"}
{'statement': "I don't like restaurants further away. Between Juice & Java Cafe and Banjara Indian Cuisine, I should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "I don't like restaurants further away. Between St. Louis Bar & Grill and z-teca Gourmet Burritos, I should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "I don't like restaurants further away. Between Grappa Ristorante and Lahore Grill & Fast Food, I should go to Lahore Grill & Fast Food.", 'answer': 'Lahore Grill & Fast Food', 'candidate': 'Grappa Ristorante'}
{'statement': "I don't like restaurants further away. Between Mirage Grill & Lounge and Evoo Ristorante, I should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "I don't like restaurants further away. Between Topham Corner and Scaddabush Italian Kitchen & Bar, I should go to Scaddabush Italian Kitchen & Bar.", 'answer': 'Scaddabush Italian Kitchen & Bar', 'candidate': 'Topham Corner'}
{'statement': "I don't like restaurants further away. Between Magic Oven and The Empire, I should go to The Empire.", 'answer': 'The Empire', 'candidate': 'Magic Oven'}
{'statement': "I don't like restaurants further away. Between Ciao Europa wine bar and Pisco 1641, I should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': 'Ciao Europa wine bar'}
{'statement': "I don't like restaurants further away. Between Mövenpick Café and Tik Talk Cafe, I should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Mövenpick Café'}
{'statement': "I don't like restaurants further away. Between Aroma Espresso Bar and Tian An Cuisine, I should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': 'Aroma Espresso Bar'}
{'statement': "I don't like restaurants further away. Between Breakfast Room and Magic Oven, I should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'Magic Oven'}
{'statement': "I don't like restaurants further away. Between Mi Mi Restaurant and Mamma's Pizza, I should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Mi Mi Restaurant'}
{'statement': "I don't like restaurants further away. Between The Coffee Pocket and Anatolia Restaurant, I should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': 'The Coffee Pocket'}
{'statement': "I don't like restaurants further away. Between Ciao Europa wine bar and Sheriff Broaster Chicken, I should go to Sheriff Broaster Chicken.", 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Ciao Europa wine bar'}
{'statement': "I don't like restaurants further away. Between Kim PO Vietnamese and Capitol Trattoria Pizzeria, I should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "I don't like restaurants further away. Between Grappa Ristorante and Harry's Char Broil & Dining Lounge, I should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'Grappa Ristorante'}
{'statement': "I don't like restaurants further away. Between Madras Pantry and Sushi World, I should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': 'Sushi World'}
{'statement': "I don't like restaurants further away. Between El Fogón and Magic Oven, I should go to El Fogón.", 'answer': 'El Fogón', 'candidate': 'Magic Oven'}
{'statement': "I don't like restaurants further away. Between St. Louis Bar & Grill and 9 Restaurant, I should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': '9 Restaurant'}
{'statement': "I don't like restaurants further away. Between Mysteriously Yours Dinner Theatre and Pho 88, I should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Pho 88'}
{'statement': "I don't like restaurants further away. Between Green Room and Fit For Life, I should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': 'Green Room'}
{'statement': "I don't like restaurants further away. Between Branca and Ici Bistro, I should go to Branca.", 'answer': 'Branca', 'candidate': 'Ici Bistro'}
{'statement': "I don't like restaurants further away. Between Freshii and Anatolia Restaurant, I should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': 'Freshii'}
{'statement': "I don't like restaurants further away. Between Sweet Jesus and KFC, I should go to KFC.", 'answer': 'KFC', 'candidate': 'Sweet Jesus'}
{'statement': "I don't like restaurants further away. Between Le Papillon Park and Fit For Life, I should go to Fit For Life.", 'answer': 'Fit For Life', 'candidate': 'Le Papillon Park'}
{'statement': "I don't like restaurants further away. Between Sushi World and Pizzeria Via Mercanti, I should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "I don't like restaurants further away. Between Mi Mi Restaurant and It's All Grk, I should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Mi Mi Restaurant'}
{'statement': "I don't like restaurants further away. Between Green Grotto and Banjara Indian Cuisine, I should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "I don't like restaurants further away. Between Capitol Trattoria Pizzeria and Dangerous Dan's Diner, I should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "I don't like restaurants further away. Between Green Room and Pizza Pizza, I should go to Pizza Pizza.", 'answer': 'Pizza Pizza', 'candidate': 'Green Room'}
{'statement': "I don't like restaurants further away. Between Basil Express Restaurant and Cafe Jules, I should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Cafe Jules'}
{'statement': "I don't like restaurants further away. Between Hina Sushi and Marcello’s pizzeria, I should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': 'Hina Sushi'}
{'statement': "I don't like restaurants further away. Between Bonne Journee and McDonald's, I should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Bonne Journee'}
{'statement': "I don't like restaurants further away. Between Big Al's Diner and Just Soups Take Out & Catering, I should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': "Big Al's Diner"}
{'statement': "I don't like restaurants further away. Between McDonald's and Mt Everest Restaurant, I should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Mt Everest Restaurant'}
{'statement': "I don't like restaurants further away. Between Eggspectation and Basha Middle Eastern Grill, I should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': 'Eggspectation'}
{'statement': "I don't like restaurants further away. Between Breakfast Room and New Bilan Restaurant, I should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'New Bilan Restaurant'}
{'statement': "I don't like restaurants further away. Between Ici Bistro and LCBO, I should go to LCBO.", 'answer': 'LCBO', 'candidate': 'Ici Bistro'}
{'statement': "I don't like restaurants further away. Between Pasta Pantry and Warung Indonesia D'Eglinton, I should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Pasta Pantry'}
{'statement': "I don't like restaurants further away. Between Grappa Ristorante and Amaya Express, I should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': 'Grappa Ristorante'}
{'statement': "I don't like restaurants further away. Between St. Clair Shawarma and Falafel and 9 Restaurant, I should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "I don't like restaurants further away. Between Dinah's Cupboard and New Bilan Restaurant, I should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'New Bilan Restaurant'}
{'statement': "I don't like restaurants further away. Between Paradise Farms Prime Beef Bistro and Banjara Indian Cuisine, I should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "I don't like restaurants further away. Between Chipotle Mexican Grill and Beryl's Pepper Pot, I should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': "Beryl's Pepper Pot"}
{'statement': "I don't like restaurants further away. Between Daily Press Juicery and Bonne Journee, I should go to Daily Press Juicery.", 'answer': 'Daily Press Juicery', 'candidate': 'Bonne Journee'}
{'statement': "I don't like restaurants further away. Between Bao Bao Plus Dim Sum and Domino's Pizza, I should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': "Domino's Pizza"}
{'statement': "I don't like restaurants further away. Between Delicious Paradise Kitchen and Nutella Cafe by Pusateri's, I should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': "Nutella Cafe by Pusateri's"}
