{'statement': "Someone doesn't like cheap restaurants. Between Nook and Thompson Rooftop, this person should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Nook'}
{'statement': "Someone doesn't like cheap restaurants. Between Evoo Ristorante and Sushi Shop, this person should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Sushi Shop'}
{'statement': "Someone doesn't like cheap restaurants. Between Dangerous Dan's Diner and Delicious Paradise Kitchen, this person should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "Someone doesn't like cheap restaurants. Between Verona Restaurant and Cantine Bar & Grill, this person should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Cantine Bar & Grill'}
{'statement': "Someone doesn't like cheap restaurants. Between Cake Opera and Green Grotto, this person should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Green Grotto'}
{'statement': "Someone doesn't like cheap restaurants. Between Galata Cafe and Sizzlers, this person should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'Sizzlers'}
{'statement': "Someone doesn't like cheap restaurants. Between McDonald's and Beryl's Pepper Pot, this person should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': "McDonald's"}
{'statement': "Someone doesn't like cheap restaurants. Between Daily Press Juicery and Madras Pantry, this person should go to Daily Press Juicery.", 'answer': 'Daily Press Juicery', 'candidate': 'Madras Pantry'}
{'statement': "Someone doesn't like cheap restaurants. Between Le Papillon Park and Mi Mi Restaurant, this person should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': 'Mi Mi Restaurant'}
{'statement': "Someone doesn't like cheap restaurants. Between Queen Pita and Thai 4 You Restaurant, this person should go to Thai 4 You Restaurant.", 'answer': 'Thai 4 You Restaurant', 'candidate': 'Queen Pita'}
{'statement': "Someone doesn't like cheap restaurants. Between Cantine Bar & Grill and Delicious Paradise Kitchen, this person should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "Someone doesn't like cheap restaurants. Between Dinah's Cupboard and Phil's Original BBQ, this person should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': "Phil's Original BBQ"}
{'statement': "Someone doesn't like cheap restaurants. Between Ici Bistro and Thai 4 You Restaurant, this person should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Thai 4 You Restaurant'}
{'statement': "Someone doesn't like cheap restaurants. Between Pho 88 and Tik Talk Cafe, this person should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Pho 88'}
{'statement': "Someone doesn't like cheap restaurants. Between Paradise Farms Prime Beef Bistro and Falafel House, this person should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'Falafel House'}
{'statement': "Someone doesn't like cheap restaurants. Between St. Clair Shawarma and Falafel and Juice & Java Cafe, this person should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "Someone doesn't like cheap restaurants. Between Magic Oven and Sushi World, this person should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'Sushi World'}
{'statement': "Someone doesn't like cheap restaurants. Between Pizza Pizza and Popeyes Louisiana Kitchen, this person should go to Popeyes Louisiana Kitchen.", 'answer': 'Popeyes Louisiana Kitchen', 'candidate': 'Pizza Pizza'}
{'statement': "Someone doesn't like cheap restaurants. Between Sky Dragon Chinese Restaurant and Eastern legend, this person should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Eastern legend'}
{'statement': "Someone doesn't like cheap restaurants. Between Galata Cafe and Just Soups Take Out & Catering, this person should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "Someone doesn't like cheap restaurants. Between Maurya East Indian Roti and Falafel House, this person should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': 'Falafel House'}
{'statement': "Someone doesn't like cheap restaurants. Between Oxygen Restaurant & Lounge and St. Louis Bar & Grill, this person should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'St. Louis Bar & Grill'}
{'statement': "Someone doesn't like cheap restaurants. Between Daily Press Juicery and Hapa Toronto, this person should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Daily Press Juicery'}
{'statement': "Someone doesn't like cheap restaurants. Between Bonne Journee and Breakfast Room, this person should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'Bonne Journee'}
{'statement': "Someone doesn't like cheap restaurants. Between The Coffee Pocket and To-ne Sushi, this person should go to To-ne Sushi.", 'answer': 'To-ne Sushi', 'candidate': 'The Coffee Pocket'}
{'statement': "Someone doesn't like cheap restaurants. Between Fitness Avenue and Dangerous Dan's Diner, this person should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Fitness Avenue'}
{'statement': "Someone doesn't like cheap restaurants. Between Pisco 1641 and Delicious Paradise Kitchen, this person should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "Someone doesn't like cheap restaurants. Between Nutella Cafe by Pusateri's and New Bilan Restaurant, this person should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'New Bilan Restaurant'}
{'statement': "Someone doesn't like cheap restaurants. Between Maurya East Indian Roti and St. Clair Shawarma and Falafel, this person should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "Someone doesn't like cheap restaurants. Between Milestones Restaurants and Falafel Hut Village, this person should go to Milestones Restaurants.", 'answer': 'Milestones Restaurants', 'candidate': 'Falafel Hut Village'}
{'statement': "Someone doesn't like cheap restaurants. Between Edible Arrangements and St. Clair Shawarma and Falafel, this person should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "Someone doesn't like cheap restaurants. Between Topham Corner and Falafel House, this person should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': 'Falafel House'}
{'statement': "Someone doesn't like cheap restaurants. Between Phil's Original BBQ and Helena's Magic Kitchen, this person should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': "Helena's Magic Kitchen"}
{'statement': "Someone doesn't like cheap restaurants. Between Paradise Farms Prime Beef Bistro and Dinah's Cupboard, this person should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "Someone doesn't like cheap restaurants. Between The Coffee Pocket and Phil's Original BBQ, this person should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'The Coffee Pocket'}
{'statement': "Someone doesn't like cheap restaurants. Between Hapa Toronto and Goldstone Noodle Restaurant, this person should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "Someone doesn't like cheap restaurants. Between Juice & Java Cafe and Green Room, this person should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Green Room'}
{'statement': "Someone doesn't like cheap restaurants. Between Chipotle Mexican Grill and New Bilan Restaurant, this person should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'New Bilan Restaurant'}
{'statement': "Someone doesn't like cheap restaurants. Between Eastern legend and Mt Everest Restaurant, this person should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': 'Eastern legend'}
{'statement': "Someone doesn't like cheap restaurants. Between Tim Hortons and Domino's Pizza, this person should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': 'Tim Hortons'}
{'statement': "Someone doesn't like cheap restaurants. Between Grappa Ristorante and Cake Opera, this person should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Grappa Ristorante'}
{'statement': "Someone doesn't like cheap restaurants. Between 9 Restaurant and Cafe Jules, this person should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'Cafe Jules'}
{'statement': "Someone doesn't like cheap restaurants. Between Hapa Toronto and Evoo Ristorante, this person should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Hapa Toronto'}
{'statement': "Someone doesn't like cheap restaurants. Between Basha Middle Eastern Grill and Verona Restaurant, this person should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Basha Middle Eastern Grill'}
{'statement': "Someone doesn't like cheap restaurants. Between St. Clair Shawarma and Falafel and St. Louis Bar & Grill, this person should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "Someone doesn't like cheap restaurants. Between z-teca Gourmet Burritos and Galata Cafe, this person should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': "Someone doesn't like cheap restaurants. Between Basil Express Restaurant and Falafel House, this person should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Falafel House'}
{'statement': "Someone doesn't like cheap restaurants. Between Thompson Rooftop and Harry's Char Broil & Dining Lounge, this person should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "Someone doesn't like cheap restaurants. Between Ici Bistro and St. Clair Shawarma and Falafel, this person should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "Someone doesn't like cheap restaurants. Between Fitness Avenue and Magic Oven, this person should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'Fitness Avenue'}
{'statement': "Someone doesn't like cheap restaurants. Between Lahore Grill & Fast Food and Warung Indonesia D'Eglinton, this person should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "Someone doesn't like cheap restaurants. Between Tik Talk Cafe and The Coffee Pocket, this person should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'The Coffee Pocket'}
{'statement': "Someone doesn't like cheap restaurants. Between Adega Restaurante and Carole's Cheesecake Cafe, this person should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': "Someone doesn't like cheap restaurants. Between Sushi World and Popeyes Louisiana Kitchen, this person should go to Popeyes Louisiana Kitchen.", 'answer': 'Popeyes Louisiana Kitchen', 'candidate': 'Sushi World'}
{'statement': "Someone doesn't like cheap restaurants. Between Daily Press Juicery and Tim Hortons, this person should go to Daily Press Juicery.", 'answer': 'Daily Press Juicery', 'candidate': 'Tim Hortons'}
{'statement': "Someone doesn't like cheap restaurants. Between Ardor Bistro and New Bilan Restaurant, this person should go to Ardor Bistro.", 'answer': 'Ardor Bistro', 'candidate': 'New Bilan Restaurant'}
{'statement': "Someone doesn't like cheap restaurants. Between Roncy's Bean and Grappa Ristorante, this person should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': "Roncy's Bean"}
{'statement': "Someone doesn't like cheap restaurants. Between Dinah's Cupboard and El Fogón, this person should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'El Fogón'}
{'statement': "Someone doesn't like cheap restaurants. Between Sweet Jesus and Magic Oven, this person should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'Sweet Jesus'}
{'statement': "Someone doesn't like cheap restaurants. Between Sweet Jesus and Verona Restaurant, this person should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Sweet Jesus'}
{'statement': "Someone doesn't like cheap restaurants. Between Aroma Espresso Bar and Green Room, this person should go to Aroma Espresso Bar.", 'answer': 'Aroma Espresso Bar', 'candidate': 'Green Room'}
{'statement': "Someone doesn't like cheap restaurants. Between Thompson Rooftop and Scaddabush Italian Kitchen & Bar, this person should go to Thompson Rooftop.", 'answer': 'Thompson Rooftop', 'candidate': 'Scaddabush Italian Kitchen & Bar'}
