{'statement': 'You are looking for an affordable restaurant. Between Nook and Thompson Rooftop, you should go to Nook.', 'answer': 'Nook', 'candidate': 'Thompson Rooftop'}
{'statement': 'You are looking for an affordable restaurant. Between Mi Mi Restaurant and Le Papillon Park, you should go to Mi Mi Restaurant.', 'answer': 'Mi Mi Restaurant', 'candidate': 'Le Papillon Park'}
{'statement': 'You are looking for an affordable restaurant. Between Queen Pita and Thai 4 You Restaurant, you should go to Queen Pita.', 'answer': 'Queen Pita', 'candidate': 'Thai 4 You Restaurant'}
{'statement': 'You are looking for an affordable restaurant. Between Delicious Paradise Kitchen and Cantine Bar & Grill, you should go to Delicious Paradise Kitchen.', 'answer': 'Delicious Paradise Kitchen', 'candidate': 'Cantine Bar & Grill'}
{'statement': "You are looking for an affordable restaurant. Between Phil's Original BBQ and Dinah's Cupboard, you should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': "Dinah's Cupboard"}
{'statement': 'You are looking for an affordable restaurant. Between Thai 4 You Restaurant and Ici Bistro, you should go to Thai 4 You Restaurant.', 'answer': 'Thai 4 You Restaurant', 'candidate': 'Ici Bistro'}
{'statement': 'You are looking for an affordable restaurant. Between Tik Talk Cafe and Pho 88, you should go to Pho 88.', 'answer': 'Pho 88', 'candidate': 'Tik Talk Cafe'}
{'statement': 'You are looking for an affordable restaurant. Between Paradise Farms Prime Beef Bistro and Falafel House, you should go to Falafel House.', 'answer': 'Falafel House', 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': 'You are looking for an affordable restaurant. Between Juice & Java Cafe and St. Clair Shawarma and Falafel, you should go to St. Clair Shawarma and Falafel.', 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Juice & Java Cafe'}
{'statement': 'You are looking for an affordable restaurant. Between Sushi World and Magic Oven, you should go to Sushi World.', 'answer': 'Sushi World', 'candidate': 'Magic Oven'}
{'statement': 'You are looking for an affordable restaurant. Between Popeyes Louisiana Kitchen and Pizza Pizza, you should go to Pizza Pizza.', 'answer': 'Pizza Pizza', 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': 'You are looking for an affordable restaurant. Between Sky Dragon Chinese Restaurant and Eastern legend, you should go to Eastern legend.', 'answer': 'Eastern legend', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': 'You are looking for an affordable restaurant. Between Galata Cafe and Just Soups Take Out & Catering, you should go to Just Soups Take Out & Catering.', 'answer': 'Just Soups Take Out & Catering', 'candidate': 'Galata Cafe'}
{'statement': 'You are looking for an affordable restaurant. Between Maurya East Indian Roti and Falafel House, you should go to Falafel House.', 'answer': 'Falafel House', 'candidate': 'Maurya East Indian Roti'}
{'statement': 'You are looking for an affordable restaurant. Between Oxygen Restaurant & Lounge and St. Louis Bar & Grill, you should go to St. Louis Bar & Grill.', 'answer': 'St. Louis Bar & Grill', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': 'You are looking for an affordable restaurant. Between Daily Press Juicery and Hapa Toronto, you should go to Daily Press Juicery.', 'answer': 'Daily Press Juicery', 'candidate': 'Hapa Toronto'}
{'statement': 'You are looking for an affordable restaurant. Between Breakfast Room and Bonne Journee, you should go to Bonne Journee.', 'answer': 'Bonne Journee', 'candidate': 'Breakfast Room'}
{'statement': 'You are looking for an affordable restaurant. Between To-ne Sushi and The Coffee Pocket, you should go to The Coffee Pocket.', 'answer': 'The Coffee Pocket', 'candidate': 'To-ne Sushi'}
{'statement': "You are looking for an affordable restaurant. Between Dangerous Dan's Diner and Fitness Avenue, you should go to Fitness Avenue.", 'answer': 'Fitness Avenue', 'candidate': "Dangerous Dan's Diner"}
{'statement': 'You are looking for an affordable restaurant. Between Delicious Paradise Kitchen and Pisco 1641, you should go to Delicious Paradise Kitchen.', 'answer': 'Delicious Paradise Kitchen', 'candidate': 'Pisco 1641'}
{'statement': "You are looking for an affordable restaurant. Between New Bilan Restaurant and Nutella Cafe by Pusateri's, you should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': 'You are looking for an affordable restaurant. Between St. Clair Shawarma and Falafel and Maurya East Indian Roti, you should go to St. Clair Shawarma and Falafel.', 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Maurya East Indian Roti'}
{'statement': 'You are looking for an affordable restaurant. Between Milestones Restaurants and Falafel Hut Village, you should go to Falafel Hut Village.', 'answer': 'Falafel Hut Village', 'candidate': 'Milestones Restaurants'}
{'statement': 'You are looking for an affordable restaurant. Between Edible Arrangements and St. Clair Shawarma and Falafel, you should go to St. Clair Shawarma and Falafel.', 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Edible Arrangements'}
{'statement': 'You are looking for an affordable restaurant. Between Topham Corner and Falafel House, you should go to Falafel House.', 'answer': 'Falafel House', 'candidate': 'Topham Corner'}
{'statement': "You are looking for an affordable restaurant. Between Phil's Original BBQ and Helena's Magic Kitchen, you should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': "Phil's Original BBQ"}
{'statement': "You are looking for an affordable restaurant. Between Dinah's Cupboard and Paradise Farms Prime Beef Bistro, you should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': "Dinah's Cupboard"}
{'statement': "You are looking for an affordable restaurant. Between The Coffee Pocket and Phil's Original BBQ, you should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': "Phil's Original BBQ"}
{'statement': 'You are looking for an affordable restaurant. Between Hapa Toronto and Goldstone Noodle Restaurant, you should go to Goldstone Noodle Restaurant.', 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Hapa Toronto'}
{'statement': 'You are looking for an affordable restaurant. Between Juice & Java Cafe and Green Room, you should go to Green Room.', 'answer': 'Green Room', 'candidate': 'Juice & Java Cafe'}
{'statement': 'You are looking for an affordable restaurant. Between Chipotle Mexican Grill and New Bilan Restaurant, you should go to New Bilan Restaurant.', 'answer': 'New Bilan Restaurant', 'candidate': 'Chipotle Mexican Grill'}
{'statement': 'You are looking for an affordable restaurant. Between Eastern legend and Mt Everest Restaurant, you should go to Eastern legend.', 'answer': 'Eastern legend', 'candidate': 'Mt Everest Restaurant'}
{'statement': "You are looking for an affordable restaurant. Between Tim Hortons and Domino's Pizza, you should go to Tim Hortons.", 'answer': 'Tim Hortons', 'candidate': "Domino's Pizza"}
{'statement': 'You are looking for an affordable restaurant. Between Grappa Ristorante and Cake Opera, you should go to Grappa Ristorante.', 'answer': 'Grappa Ristorante', 'candidate': 'Cake Opera'}
{'statement': 'You are looking for an affordable restaurant. Between 9 Restaurant and Cafe Jules, you should go to Cafe Jules.', 'answer': 'Cafe Jules', 'candidate': '9 Restaurant'}
{'statement': 'You are looking for an affordable restaurant. Between Evoo Ristorante and Hapa Toronto, you should go to Hapa Toronto.', 'answer': 'Hapa Toronto', 'candidate': 'Evoo Ristorante'}
{'statement': 'You are looking for an affordable restaurant. Between Basha Middle Eastern Grill and Verona Restaurant, you should go to Basha Middle Eastern Grill.', 'answer': 'Basha Middle Eastern Grill', 'candidate': 'Verona Restaurant'}
{'statement': 'You are looking for an affordable restaurant. Between St. Louis Bar & Grill and St. Clair Shawarma and Falafel, you should go to St. Clair Shawarma and Falafel.', 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'St. Louis Bar & Grill'}
{'statement': 'You are looking for an affordable restaurant. Between z-teca Gourmet Burritos and Galata Cafe, you should go to z-teca Gourmet Burritos.', 'answer': 'z-teca Gourmet Burritos', 'candidate': 'Galata Cafe'}
{'statement': 'You are looking for an affordable restaurant. Between Falafel House and Basil Express Restaurant, you should go to Falafel House.', 'answer': 'Falafel House', 'candidate': 'Basil Express Restaurant'}
{'statement': "You are looking for an affordable restaurant. Between Harry's Char Broil & Dining Lounge and Thompson Rooftop, you should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'Thompson Rooftop'}
{'statement': 'You are looking for an affordable restaurant. Between Ici Bistro and St. Clair Shawarma and Falafel, you should go to St. Clair Shawarma and Falafel.', 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Ici Bistro'}
{'statement': 'You are looking for an affordable restaurant. Between Magic Oven and Fitness Avenue, you should go to Fitness Avenue.', 'answer': 'Fitness Avenue', 'candidate': 'Magic Oven'}
{'statement': "You are looking for an affordable restaurant. Between Warung Indonesia D'Eglinton and Lahore Grill & Fast Food, you should go to Lahore Grill & Fast Food.", 'answer': 'Lahore Grill & Fast Food', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': 'You are looking for an affordable restaurant. Between The Coffee Pocket and Tik Talk Cafe, you should go to The Coffee Pocket.', 'answer': 'The Coffee Pocket', 'candidate': 'Tik Talk Cafe'}
{'statement': "You are looking for an affordable restaurant. Between Carole's Cheesecake Cafe and Adega Restaurante, you should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Adega Restaurante'}
{'statement': 'You are looking for an affordable restaurant. Between Popeyes Louisiana Kitchen and Sushi World, you should go to Sushi World.', 'answer': 'Sushi World', 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': 'You are looking for an affordable restaurant. Between Tim Hortons and Daily Press Juicery, you should go to Tim Hortons.', 'answer': 'Tim Hortons', 'candidate': 'Daily Press Juicery'}
{'statement': 'You are looking for an affordable restaurant. Between New Bilan Restaurant and Ardor Bistro, you should go to New Bilan Restaurant.', 'answer': 'New Bilan Restaurant', 'candidate': 'Ardor Bistro'}
{'statement': "You are looking for an affordable restaurant. Between Grappa Ristorante and Roncy's Bean, you should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': 'Grappa Ristorante'}
{'statement': "You are looking for an affordable restaurant. Between Dinah's Cupboard and El Fogón, you should go to El Fogón.", 'answer': 'El Fogón', 'candidate': "Dinah's Cupboard"}
{'statement': 'You are looking for an affordable restaurant. Between Magic Oven and Sweet Jesus, you should go to Sweet Jesus.', 'answer': 'Sweet Jesus', 'candidate': 'Magic Oven'}
{'statement': 'You are looking for an affordable restaurant. Between Sweet Jesus and Verona Restaurant, you should go to Sweet Jesus.', 'answer': 'Sweet Jesus', 'candidate': 'Verona Restaurant'}
{'statement': 'You are looking for an affordable restaurant. Between Aroma Espresso Bar and Green Room, you should go to Green Room.', 'answer': 'Green Room', 'candidate': 'Aroma Espresso Bar'}
{'statement': 'You are looking for an affordable restaurant. Between Thompson Rooftop and Scaddabush Italian Kitchen & Bar, you should go to Scaddabush Italian Kitchen & Bar.', 'answer': 'Scaddabush Italian Kitchen & Bar', 'candidate': 'Thompson Rooftop'}
