{'statement': "I don't like expensive restaurants. Between Nook and Thompson Rooftop, I should go to Nook.", 'answer': 'Nook', 'candidate': 'Thompson Rooftop'}
{'statement': "I don't like expensive restaurants. Between Thai 4 You Restaurant and Ici Bistro, I should go to Thai 4 You Restaurant.", 'answer': 'Thai 4 You Restaurant', 'candidate': 'Ici Bistro'}
{'statement': "I don't like expensive restaurants. Between Tik Talk Cafe and Pho 88, I should go to Pho 88.", 'answer': 'Pho 88', 'candidate': 'Tik Talk Cafe'}
{'statement': "I don't like expensive restaurants. Between Paradise Farms Prime Beef Bistro and Falafel House, I should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "I don't like expensive restaurants. Between St. Clair Shawarma and Falafel and Juice & Java Cafe, I should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Juice & Java Cafe'}
{'statement': "I don't like expensive restaurants. Between Magic Oven and Sushi World, I should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Magic Oven'}
{'statement': "I don't like expensive restaurants. Between Popeyes Louisiana Kitchen and Pizza Pizza, I should go to Pizza Pizza.", 'answer': 'Pizza Pizza', 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': "I don't like expensive restaurants. Between Eastern legend and Sky Dragon Chinese Restaurant, I should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "I don't like expensive restaurants. Between Galata Cafe and Just Soups Take Out & Catering, I should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': 'Galata Cafe'}
{'statement': "I don't like expensive restaurants. Between Maurya East Indian Roti and Falafel House, I should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Maurya East Indian Roti'}
{'statement': "I don't like expensive restaurants. Between St. Louis Bar & Grill and Oxygen Restaurant & Lounge, I should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "I don't like expensive restaurants. Between Daily Press Juicery and Hapa Toronto, I should go to Daily Press Juicery.", 'answer': 'Daily Press Juicery', 'candidate': 'Hapa Toronto'}
{'statement': "I don't like expensive restaurants. Between Breakfast Room and Bonne Journee, I should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Breakfast Room'}
{'statement': "I don't like expensive restaurants. Between The Coffee Pocket and To-ne Sushi, I should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'To-ne Sushi'}
{'statement': "I don't like expensive restaurants. Between Dangerous Dan's Diner and Fitness Avenue, I should go to Fitness Avenue.", 'answer': 'Fitness Avenue', 'candidate': "Dangerous Dan's Diner"}
{'statement': "I don't like expensive restaurants. Between Delicious Paradise Kitchen and Pisco 1641, I should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': 'Pisco 1641'}
{'statement': "I don't like expensive restaurants. Between New Bilan Restaurant and Nutella Cafe by Pusateri's, I should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "I don't like expensive restaurants. Between Maurya East Indian Roti and St. Clair Shawarma and Falafel, I should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Maurya East Indian Roti'}
{'statement': "I don't like expensive restaurants. Between Milestones Restaurants and Falafel Hut Village, I should go to Falafel Hut Village.", 'answer': 'Falafel Hut Village', 'candidate': 'Milestones Restaurants'}
{'statement': "I don't like expensive restaurants. Between Edible Arrangements and St. Clair Shawarma and Falafel, I should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Edible Arrangements'}
{'statement': "I don't like expensive restaurants. Between Topham Corner and Falafel House, I should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Topham Corner'}
{'statement': "I don't like expensive restaurants. Between Phil's Original BBQ and Helena's Magic Kitchen, I should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': "Phil's Original BBQ"}
{'statement': "I don't like expensive restaurants. Between Dinah's Cupboard and Paradise Farms Prime Beef Bistro, I should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': "Dinah's Cupboard"}
{'statement': "I don't like expensive restaurants. Between The Coffee Pocket and Phil's Original BBQ, I should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': "Phil's Original BBQ"}
{'statement': "I don't like expensive restaurants. Between Hapa Toronto and Goldstone Noodle Restaurant, I should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Hapa Toronto'}
{'statement': "I don't like expensive restaurants. Between Juice & Java Cafe and Green Room, I should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Juice & Java Cafe'}
{'statement': "I don't like expensive restaurants. Between New Bilan Restaurant and Chipotle Mexican Grill, I should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "I don't like expensive restaurants. Between Eastern legend and Mt Everest Restaurant, I should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'Mt Everest Restaurant'}
{'statement': "I don't like expensive restaurants. Between Tim Hortons and Domino's Pizza, I should go to Tim Hortons.", 'answer': 'Tim Hortons', 'candidate': "Domino's Pizza"}
{'statement': "I don't like expensive restaurants. Between Grappa Ristorante and Cake Opera, I should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Cake Opera'}
{'statement': "I don't like expensive restaurants. Between 9 Restaurant and Cafe Jules, I should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': '9 Restaurant'}
{'statement': "I don't like expensive restaurants. Between Evoo Ristorante and Hapa Toronto, I should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Evoo Ristorante'}
{'statement': "I don't like expensive restaurants. Between Basha Middle Eastern Grill and Verona Restaurant, I should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': 'Verona Restaurant'}
{'statement': "I don't like expensive restaurants. Between St. Clair Shawarma and Falafel and St. Louis Bar & Grill, I should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'St. Louis Bar & Grill'}
{'statement': "I don't like expensive restaurants. Between z-teca Gourmet Burritos and Galata Cafe, I should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'Galata Cafe'}
{'statement': "I don't like expensive restaurants. Between Falafel House and Basil Express Restaurant, I should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Basil Express Restaurant'}
{'statement': "I don't like expensive restaurants. Between Harry's Char Broil & Dining Lounge and Thompson Rooftop, I should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'Thompson Rooftop'}
{'statement': "I don't like expensive restaurants. Between Ici Bistro and St. Clair Shawarma and Falafel, I should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Ici Bistro'}
{'statement': "I don't like expensive restaurants. Between Magic Oven and Fitness Avenue, I should go to Fitness Avenue.", 'answer': 'Fitness Avenue', 'candidate': 'Magic Oven'}
{'statement': "I don't like expensive restaurants. Between Lahore Grill & Fast Food and Warung Indonesia D'Eglinton, I should go to Lahore Grill & Fast Food.", 'answer': 'Lahore Grill & Fast Food', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "I don't like expensive restaurants. Between The Coffee Pocket and Tik Talk Cafe, I should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Tik Talk Cafe'}
{'statement': "I don't like expensive restaurants. Between Carole's Cheesecake Cafe and Adega Restaurante, I should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Adega Restaurante'}
{'statement': "I don't like expensive restaurants. Between Popeyes Louisiana Kitchen and Sushi World, I should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': "I don't like expensive restaurants. Between Daily Press Juicery and Tim Hortons, I should go to Tim Hortons.", 'answer': 'Tim Hortons', 'candidate': 'Daily Press Juicery'}
{'statement': "I don't like expensive restaurants. Between Ardor Bistro and New Bilan Restaurant, I should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Ardor Bistro'}
{'statement': "I don't like expensive restaurants. Between Grappa Ristorante and Roncy's Bean, I should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': 'Grappa Ristorante'}
{'statement': "I don't like expensive restaurants. Between El Fogón and Dinah's Cupboard, I should go to El Fogón.", 'answer': 'El Fogón', 'candidate': "Dinah's Cupboard"}
{'statement': "I don't like expensive restaurants. Between Sweet Jesus and Magic Oven, I should go to Sweet Jesus.", 'answer': 'Sweet Jesus', 'candidate': 'Magic Oven'}
{'statement': "I don't like expensive restaurants. Between Verona Restaurant and Sweet Jesus, I should go to Sweet Jesus.", 'answer': 'Sweet Jesus', 'candidate': 'Verona Restaurant'}
{'statement': "I don't like expensive restaurants. Between Green Room and Aroma Espresso Bar, I should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Aroma Espresso Bar'}
{'statement': "I don't like expensive restaurants. Between Scaddabush Italian Kitchen & Bar and Thompson Rooftop, I should go to Scaddabush Italian Kitchen & Bar.", 'answer': 'Scaddabush Italian Kitchen & Bar', 'candidate': 'Thompson Rooftop'}
