{'statement': 'Someone is looking for restaurants further away. Between JJ Bean and Sushi Shop, this person should go to JJ Bean.', 'answer': 'JJ Bean', 'candidate': 'Sushi Shop'}
{'statement': "Someone is looking for restaurants further away. Between Big Al's Diner and Kim PO Vietnamese, this person should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Kim PO Vietnamese'}
{'statement': 'Someone is looking for restaurants further away. Between Tim Hortons and Daily Press Juicery, this person should go to Tim Hortons.', 'answer': 'Tim Hortons', 'candidate': 'Daily Press Juicery'}
{'statement': 'Someone is looking for restaurants further away. Between Falafel Hut Village and Ici Bistro, this person should go to Ici Bistro.', 'answer': 'Ici Bistro', 'candidate': 'Falafel Hut Village'}
{'statement': "Someone is looking for restaurants further away. Between Bagel Nash and Harry's Char Broil & Dining Lounge, this person should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': 'Someone is looking for restaurants further away. Between Amaya Express and Sky Dragon Chinese Restaurant, this person should go to Sky Dragon Chinese Restaurant.', 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Amaya Express'}
{'statement': 'Someone is looking for restaurants further away. Between Pizzeria Via Mercanti and Bake Island, this person should go to Pizzeria Via Mercanti.', 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Bake Island'}
{'statement': 'Someone is looking for restaurants further away. Between Goldstone Noodle Restaurant and Sizzlers, this person should go to Sizzlers.', 'answer': 'Sizzlers', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': 'Someone is looking for restaurants further away. Between Juice & Java Cafe and Sizzlers, this person should go to Sizzlers.', 'answer': 'Sizzlers', 'candidate': 'Juice & Java Cafe'}
{'statement': 'Someone is looking for restaurants further away. Between Banjara Indian Cuisine and Falafel Hut Village, this person should go to Banjara Indian Cuisine.', 'answer': 'Banjara Indian Cuisine', 'candidate': 'Falafel Hut Village'}
{'statement': "Someone is looking for restaurants further away. Between Smoke's Weinerie and Breakfast Room, this person should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Breakfast Room'}
{'statement': 'Someone is looking for restaurants further away. Between Juice & Java Cafe and Banjara Indian Cuisine, this person should go to Banjara Indian Cuisine.', 'answer': 'Banjara Indian Cuisine', 'candidate': 'Juice & Java Cafe'}
{'statement': 'Someone is looking for restaurants further away. Between z-teca Gourmet Burritos and St. Louis Bar & Grill, this person should go to z-teca Gourmet Burritos.', 'answer': 'z-teca Gourmet Burritos', 'candidate': 'St. Louis Bar & Grill'}
{'statement': 'Someone is looking for restaurants further away. Between Grappa Ristorante and Lahore Grill & Fast Food, this person should go to Grappa Ristorante.', 'answer': 'Grappa Ristorante', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': 'Someone is looking for restaurants further away. Between Mirage Grill & Lounge and Evoo Ristorante, this person should go to Mirage Grill & Lounge.', 'answer': 'Mirage Grill & Lounge', 'candidate': 'Evoo Ristorante'}
{'statement': 'Someone is looking for restaurants further away. Between Scaddabush Italian Kitchen & Bar and Topham Corner, this person should go to Topham Corner.', 'answer': 'Topham Corner', 'candidate': 'Scaddabush Italian Kitchen & Bar'}
{'statement': 'Someone is looking for restaurants further away. Between The Empire and Magic Oven, this person should go to Magic Oven.', 'answer': 'Magic Oven', 'candidate': 'The Empire'}
{'statement': 'Someone is looking for restaurants further away. Between Ciao Europa wine bar and Pisco 1641, this person should go to Ciao Europa wine bar.', 'answer': 'Ciao Europa wine bar', 'candidate': 'Pisco 1641'}
{'statement': 'Someone is looking for restaurants further away. Between Mövenpick Café and Tik Talk Cafe, this person should go to Mövenpick Café.', 'answer': 'Mövenpick Café', 'candidate': 'Tik Talk Cafe'}
{'statement': 'Someone is looking for restaurants further away. Between Tian An Cuisine and Aroma Espresso Bar, this person should go to Aroma Espresso Bar.', 'answer': 'Aroma Espresso Bar', 'candidate': 'Tian An Cuisine'}
{'statement': 'Someone is looking for restaurants further away. Between Magic Oven and Breakfast Room, this person should go to Magic Oven.', 'answer': 'Magic Oven', 'candidate': 'Breakfast Room'}
{'statement': "Someone is looking for restaurants further away. Between Mi Mi Restaurant and Mamma's Pizza, this person should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': "Mamma's Pizza"}
{'statement': 'Someone is looking for restaurants further away. Between Anatolia Restaurant and The Coffee Pocket, this person should go to The Coffee Pocket.', 'answer': 'The Coffee Pocket', 'candidate': 'Anatolia Restaurant'}
{'statement': 'Someone is looking for restaurants further away. Between Ciao Europa wine bar and Sheriff Broaster Chicken, this person should go to Ciao Europa wine bar.', 'answer': 'Ciao Europa wine bar', 'candidate': 'Sheriff Broaster Chicken'}
{'statement': 'Someone is looking for restaurants further away. Between Kim PO Vietnamese and Capitol Trattoria Pizzeria, this person should go to Capitol Trattoria Pizzeria.', 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Kim PO Vietnamese'}
{'statement': "Someone is looking for restaurants further away. Between Harry's Char Broil & Dining Lounge and Grappa Ristorante, this person should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': 'Someone is looking for restaurants further away. Between Madras Pantry and Sushi World, this person should go to Sushi World.', 'answer': 'Sushi World', 'candidate': 'Madras Pantry'}
{'statement': 'Someone is looking for restaurants further away. Between Magic Oven and El Fogón, this person should go to Magic Oven.', 'answer': 'Magic Oven', 'candidate': 'El Fogón'}
{'statement': 'Someone is looking for restaurants further away. Between 9 Restaurant and St. Louis Bar & Grill, this person should go to 9 Restaurant.', 'answer': '9 Restaurant', 'candidate': 'St. Louis Bar & Grill'}
{'statement': 'Someone is looking for restaurants further away. Between Mysteriously Yours Dinner Theatre and Pho 88, this person should go to Pho 88.', 'answer': 'Pho 88', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': 'Someone is looking for restaurants further away. Between Fit For Life and Green Room, this person should go to Green Room.', 'answer': 'Green Room', 'candidate': 'Fit For Life'}
{'statement': 'Someone is looking for restaurants further away. Between Ici Bistro and Branca, this person should go to Ici Bistro.', 'answer': 'Ici Bistro', 'candidate': 'Branca'}
{'statement': 'Someone is looking for restaurants further away. Between Anatolia Restaurant and Freshii, this person should go to Freshii.', 'answer': 'Freshii', 'candidate': 'Anatolia Restaurant'}
{'statement': 'Someone is looking for restaurants further away. Between KFC and Sweet Jesus, this person should go to Sweet Jesus.', 'answer': 'Sweet Jesus', 'candidate': 'KFC'}
{'statement': 'Someone is looking for restaurants further away. Between Fit For Life and Le Papillon Park, this person should go to Le Papillon Park.', 'answer': 'Le Papillon Park', 'candidate': 'Fit For Life'}
{'statement': 'Someone is looking for restaurants further away. Between Sushi World and Pizzeria Via Mercanti, this person should go to Pizzeria Via Mercanti.', 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Sushi World'}
{'statement': "Someone is looking for restaurants further away. Between Mi Mi Restaurant and It's All Grk, this person should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': "It's All Grk"}
{'statement': 'Someone is looking for restaurants further away. Between Green Grotto and Banjara Indian Cuisine, this person should go to Banjara Indian Cuisine.', 'answer': 'Banjara Indian Cuisine', 'candidate': 'Green Grotto'}
{'statement': "Someone is looking for restaurants further away. Between Dangerous Dan's Diner and Capitol Trattoria Pizzeria, this person should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': "Dangerous Dan's Diner"}
{'statement': 'Someone is looking for restaurants further away. Between Pizza Pizza and Green Room, this person should go to Green Room.', 'answer': 'Green Room', 'candidate': 'Pizza Pizza'}
{'statement': 'Someone is looking for restaurants further away. Between Cafe Jules and Basil Express Restaurant, this person should go to Cafe Jules.', 'answer': 'Cafe Jules', 'candidate': 'Basil Express Restaurant'}
{'statement': 'Someone is looking for restaurants further away. Between Marcello’s pizzeria and Hina Sushi, this person should go to Hina Sushi.', 'answer': 'Hina Sushi', 'candidate': 'Marcello’s pizzeria'}
{'statement': "Someone is looking for restaurants further away. Between McDonald's and Bonne Journee, this person should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': "McDonald's"}
{'statement': "Someone is looking for restaurants further away. Between Just Soups Take Out & Catering and Big Al's Diner, this person should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "Someone is looking for restaurants further away. Between McDonald's and Mt Everest Restaurant, this person should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': "McDonald's"}
{'statement': 'Someone is looking for restaurants further away. Between Eggspectation and Basha Middle Eastern Grill, this person should go to Eggspectation.', 'answer': 'Eggspectation', 'candidate': 'Basha Middle Eastern Grill'}
{'statement': 'Someone is looking for restaurants further away. Between Breakfast Room and New Bilan Restaurant, this person should go to New Bilan Restaurant.', 'answer': 'New Bilan Restaurant', 'candidate': 'Breakfast Room'}
{'statement': 'Someone is looking for restaurants further away. Between LCBO and Ici Bistro, this person should go to Ici Bistro.', 'answer': 'Ici Bistro', 'candidate': 'LCBO'}
{'statement': "Someone is looking for restaurants further away. Between Warung Indonesia D'Eglinton and Pasta Pantry, this person should go to Pasta Pantry.", 'answer': 'Pasta Pantry', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': 'Someone is looking for restaurants further away. Between Amaya Express and Grappa Ristorante, this person should go to Grappa Ristorante.', 'answer': 'Grappa Ristorante', 'candidate': 'Amaya Express'}
{'statement': 'Someone is looking for restaurants further away. Between 9 Restaurant and St. Clair Shawarma and Falafel, this person should go to St. Clair Shawarma and Falafel.', 'answer': 'St. Clair Shawarma and Falafel', 'candidate': '9 Restaurant'}
{'statement': "Someone is looking for restaurants further away. Between Dinah's Cupboard and New Bilan Restaurant, this person should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': "Dinah's Cupboard"}
{'statement': 'Someone is looking for restaurants further away. Between Banjara Indian Cuisine and Paradise Farms Prime Beef Bistro, this person should go to Banjara Indian Cuisine.', 'answer': 'Banjara Indian Cuisine', 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "Someone is looking for restaurants further away. Between Beryl's Pepper Pot and Chipotle Mexican Grill, this person should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': 'Chipotle Mexican Grill'}
{'statement': 'Someone is looking for restaurants further away. Between Bonne Journee and Daily Press Juicery, this person should go to Bonne Journee.', 'answer': 'Bonne Journee', 'candidate': 'Daily Press Juicery'}
{'statement': "Someone is looking for restaurants further away. Between Domino's Pizza and Bao Bao Plus Dim Sum, this person should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': "Someone is looking for restaurants further away. Between Nutella Cafe by Pusateri's and Delicious Paradise Kitchen, this person should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Delicious Paradise Kitchen'}
