{'statement': "You don't like cheap restaurants. Between Basil Express Restaurant and Chick Fiesta, you should go to Basil Express Restaurant.", 'answer': 'Basil Express Restaurant', 'candidate': 'Chick Fiesta'}
{'statement': "You don't like cheap restaurants. Between Druxy's Famous Deli and Eggspectation, you should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': "Druxy's Famous Deli"}
{'statement': "You don't like cheap restaurants. Between Cake Opera and Sheriff Broaster Chicken, you should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Sheriff Broaster Chicken'}
{'statement': "You don't like cheap restaurants. Between Freshii and Falafel Hut Village, you should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Falafel Hut Village'}
{'statement': "You don't like cheap restaurants. Between Beryl's Pepper Pot and KFC, you should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': 'KFC'}
{'statement': "You don't like cheap restaurants. Between Marcello’s pizzeria and Helena's Magic Kitchen, you should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': "Helena's Magic Kitchen"}
{'statement': "You don't like cheap restaurants. Between Harvey's and Nutella Cafe by Pusateri's, you should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': "Harvey's"}
{'statement': "You don't like cheap restaurants. Between Sweet Jesus and Eggspectation, you should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Sweet Jesus'}
{'statement': "You don't like cheap restaurants. Between Maurya East Indian Roti and Queen Pita, you should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': 'Queen Pita'}
{'statement': "You don't like cheap restaurants. Between Kim PO Vietnamese and Pho 88, you should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Pho 88'}
{'statement': "You don't like cheap restaurants. Between Scaddabush Italian Kitchen & Bar and Helena's Magic Kitchen, you should go to Scaddabush Italian Kitchen & Bar.", 'answer': 'Scaddabush Italian Kitchen & Bar', 'candidate': "Helena's Magic Kitchen"}
{'statement': "You don't like cheap restaurants. Between New Bilan Restaurant and Bao Bao Plus Dim Sum, you should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': 'New Bilan Restaurant'}
{'statement': "You don't like cheap restaurants. Between Cantine Bar & Grill and Verona Restaurant, you should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Cantine Bar & Grill'}
{'statement': "You don't like cheap restaurants. Between The Empire and Mt Everest Restaurant, you should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': 'The Empire'}
{'statement': "You don't like cheap restaurants. Between Fitness Avenue and Tik Talk Cafe, you should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Fitness Avenue'}
{'statement': "You don't like cheap restaurants. Between Eggspectation and Oxygen Restaurant & Lounge, you should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Eggspectation'}
{'statement': "You don't like cheap restaurants. Between Fitness Avenue and Le Papillon Park, you should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': 'Fitness Avenue'}
{'statement': "You don't like cheap restaurants. Between Grappa Ristorante and FreshCo, you should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'FreshCo'}
{'statement': "You don't like cheap restaurants. Between Sushi World and Kim PO Vietnamese, you should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Sushi World'}
{'statement': "You don't like cheap restaurants. Between Ici Bistro and Eastern legend, you should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Eastern legend'}
{'statement': "You don't like cheap restaurants. Between Smoke's Weinerie and Mt Everest Restaurant, you should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': "Smoke's Weinerie"}
{'statement': "You don't like cheap restaurants. Between Evoo Ristorante and Banjara Indian Cuisine, you should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "You don't like cheap restaurants. Between Evoo Ristorante and Sushi World, you should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': 'Sushi World'}
{'statement': "You don't like cheap restaurants. Between Joe Badali's Ristorante Italiano & Bar and Mi Mi Restaurant, you should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': 'Mi Mi Restaurant'}
{'statement': "You don't like cheap restaurants. Between Joe Badali's Ristorante Italiano & Bar and Falafel Hut Village, you should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': 'Falafel Hut Village'}
{'statement': "You don't like cheap restaurants. Between Capitol Trattoria Pizzeria and Milo's Pita, you should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': "Milo's Pita"}
{'statement': "You don't like cheap restaurants. Between Grappa Ristorante and Green Grotto, you should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Green Grotto'}
{'statement': "You don't like cheap restaurants. Between Sizzlers and Thai 4 You Restaurant, you should go to Thai 4 You Restaurant.", 'answer': 'Thai 4 You Restaurant', 'candidate': 'Sizzlers'}
{'statement': "You don't like cheap restaurants. Between Galata Cafe and Warung Indonesia D'Eglinton, you should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "You don't like cheap restaurants. Between Branca and Just Soups Take Out & Catering, you should go to Branca.", 'answer': 'Branca', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "You don't like cheap restaurants. Between Adega Restaurante and El Fogón, you should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': 'El Fogón'}
{'statement': "You don't like cheap restaurants. Between Druxy's Famous Deli and Piper's Pub And Grill, you should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': "Druxy's Famous Deli"}
{'statement': "You don't like cheap restaurants. Between St. Clair Shawarma and Falafel and Harvey's, you should go to Harvey's.", 'answer': "Harvey's", 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "You don't like cheap restaurants. Between EJ Sushi and Buk Chang Dong Soon Tofu, you should go to EJ Sushi.", 'answer': 'EJ Sushi', 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "You don't like cheap restaurants. Between St. Clair Shawarma and Falafel and Mt Everest Restaurant, you should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "You don't like cheap restaurants. Between EJ Sushi and Branca, you should go to Branca.", 'answer': 'Branca', 'candidate': 'EJ Sushi'}
{'statement': "You don't like cheap restaurants. Between Banjara Indian Cuisine and KFC, you should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'KFC'}
{'statement': "You don't like cheap restaurants. Between Tik Talk Cafe and Just Soups Take Out & Catering, you should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "You don't like cheap restaurants. Between La Cocina De Dona Luz and Queen Slice, you should go to La Cocina De Dona Luz.", 'answer': 'La Cocina De Dona Luz', 'candidate': 'Queen Slice'}
{'statement': "You don't like cheap restaurants. Between Villa Madina and Maurya East Indian Roti, you should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': 'Villa Madina'}
{'statement': "You don't like cheap restaurants. Between Kim PO Vietnamese and Falafel House, you should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Falafel House'}
{'statement': "You don't like cheap restaurants. Between Scaddabush Italian Kitchen & Bar and Adega Restaurante, you should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': 'Scaddabush Italian Kitchen & Bar'}
{'statement': "You don't like cheap restaurants. Between Assembly Chef's Hall and Branca, you should go to Branca.", 'answer': 'Branca', 'candidate': "Assembly Chef's Hall"}
{'statement': "You don't like cheap restaurants. Between Druxy's Famous Deli and Tortería San Cosme, you should go to Tortería San Cosme.", 'answer': 'Tortería San Cosme', 'candidate': "Druxy's Famous Deli"}
{'statement': "You don't like cheap restaurants. Between Bagel Nash and Modo Mio Italian Bistro, you should go to Modo Mio Italian Bistro.", 'answer': 'Modo Mio Italian Bistro', 'candidate': 'Bagel Nash'}
{'statement': "You don't like cheap restaurants. Between Cake Opera and Sky Dragon Chinese Restaurant, you should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "You don't like cheap restaurants. Between Verona Restaurant and Piper's Pub And Grill, you should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': "Piper's Pub And Grill"}
{'statement': "You don't like cheap restaurants. Between Galata Cafe and Pasta Pantry, you should go to Galata Cafe.", 'answer': 'Galata Cafe', 'candidate': 'Pasta Pantry'}
{'statement': "You don't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and New Bilan Restaurant, you should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'New Bilan Restaurant'}
{'statement': "You don't like cheap restaurants. Between Mamma's Pizza and Joe Badali's Ristorante Italiano & Bar, you should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': "Mamma's Pizza"}
{'statement': "You don't like cheap restaurants. Between Hapa Toronto and Magic Oven, you should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Magic Oven'}
{'statement': "You don't like cheap restaurants. Between Kim PO Vietnamese and Delicious Paradise Kitchen, you should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': 'Delicious Paradise Kitchen'}
{'statement': "You don't like cheap restaurants. Between Green Grotto and Villa Madina, you should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': 'Villa Madina'}
{'statement': "You don't like cheap restaurants. Between Oxygen Restaurant & Lounge and Sheriff Broaster Chicken, you should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Sheriff Broaster Chicken'}
