{'statement': "I'm looking for an affordable restaurant. Between Branca and Piper's Pub And Grill, I should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Branca'}
{'statement': "I'm looking for an affordable restaurant. Between Sheriff Broaster Chicken and Green Room, I should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Sheriff Broaster Chicken'}
{'statement': "I'm looking for an affordable restaurant. Between Chipotle Mexican Grill and Smoke's Weinerie, I should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Chipotle Mexican Grill'}
{'statement': "I'm looking for an affordable restaurant. Between Big Al's Diner and Evoo Ristorante, I should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Evoo Ristorante'}
{'statement': "I'm looking for an affordable restaurant. Between Hapa Toronto and Chipotle Mexican Grill, I should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': 'Hapa Toronto'}
{'statement': "I'm looking for an affordable restaurant. Between Sky Dragon Chinese Restaurant and Supermodel Pizza, I should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "I'm looking for an affordable restaurant. Between Sky Dragon Chinese Restaurant and Pho 88, I should go to Pho 88.", 'answer': 'Pho 88', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "I'm looking for an affordable restaurant. Between Dinah's Cupboard and Buk Chang Dong Soon Tofu, I should go to Buk Chang Dong Soon Tofu.", 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': "Dinah's Cupboard"}
{'statement': "I'm looking for an affordable restaurant. Between Adega Restaurante and Cantine Bar & Grill, I should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Adega Restaurante'}
{'statement': "I'm looking for an affordable restaurant. Between Green Room and Hawthorne Food and Drink, I should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Hawthorne Food and Drink'}
{'statement': "I'm looking for an affordable restaurant. Between Branca and To-ne Sushi, I should go to To-ne Sushi.", 'answer': 'To-ne Sushi', 'candidate': 'Branca'}
{'statement': "I'm looking for an affordable restaurant. Between Shawarma Twist and Beryl's Pepper Pot, I should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': "Beryl's Pepper Pot"}
{'statement': "I'm looking for an affordable restaurant. Between Verona Restaurant and Tian An Cuisine, I should go to Tian An Cuisine.", 'answer': 'Tian An Cuisine', 'candidate': 'Verona Restaurant'}
{'statement': "I'm looking for an affordable restaurant. Between FreshCo and New Bilan Restaurant, I should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'FreshCo'}
{'statement': "I'm looking for an affordable restaurant. Between Scaddabush Italian Kitchen & Bar and Falafel Hut Village, I should go to Falafel Hut Village.", 'answer': 'Falafel Hut Village', 'candidate': 'Scaddabush Italian Kitchen & Bar'}
{'statement': "I'm looking for an affordable restaurant. Between New Bilan Restaurant and Itamae Ayce Sushi, I should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Itamae Ayce Sushi'}
{'statement': "I'm looking for an affordable restaurant. Between Hawthorne Food and Drink and Nutella Cafe by Pusateri's, I should go to Hawthorne Food and Drink.", 'answer': 'Hawthorne Food and Drink', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "I'm looking for an affordable restaurant. Between Milo's Pita and Amaya Express, I should go to Milo's Pita.", 'answer': "Milo's Pita", 'candidate': 'Amaya Express'}
{'statement': "I'm looking for an affordable restaurant. Between Juice & Java Cafe and Bonne Journee, I should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Juice & Java Cafe'}
{'statement': "I'm looking for an affordable restaurant. Between Falafel House and Sky Dragon Chinese Restaurant, I should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "I'm looking for an affordable restaurant. Between Mirage Grill & Lounge and Pizzeria Via Mercanti, I should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Mirage Grill & Lounge'}
{'statement': "I'm looking for an affordable restaurant. Between Bagel Nash and Hapa Toronto, I should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'Hapa Toronto'}
{'statement': "I'm looking for an affordable restaurant. Between Adega Restaurante and Pisco 1641, I should go to Pisco 1641.", 'answer': 'Pisco 1641', 'candidate': 'Adega Restaurante'}
{'statement': "I'm looking for an affordable restaurant. Between Supermodel Pizza and Milestones Restaurants, I should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Milestones Restaurants'}
{'statement': "I'm looking for an affordable restaurant. Between Tik Talk Cafe and Ici Bistro, I should go to Tik Talk Cafe.", 'answer': 'Tik Talk Cafe', 'candidate': 'Ici Bistro'}
{'statement': "I'm looking for an affordable restaurant. Between Tim Hortons and Aroma Espresso Bar, I should go to Tim Hortons.", 'answer': 'Tim Hortons', 'candidate': 'Aroma Espresso Bar'}
{'statement': "I'm looking for an affordable restaurant. Between The Coffee Pocket and Edible Arrangements, I should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Edible Arrangements'}
{'statement': "I'm looking for an affordable restaurant. Between Helena's Magic Kitchen and Dangerous Dan's Diner, I should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': "Dangerous Dan's Diner"}
{'statement': "I'm looking for an affordable restaurant. Between Sushi World and Paradise Farms Prime Beef Bistro, I should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "I'm looking for an affordable restaurant. Between McDonald's and Ardor Bistro, I should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Ardor Bistro'}
{'statement': "I'm looking for an affordable restaurant. Between Hina Sushi and Mi Mi Restaurant, I should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': 'Hina Sushi'}
{'statement': "I'm looking for an affordable restaurant. Between Mysteriously Yours Dinner Theatre and Pizzeria Via Mercanti, I should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "I'm looking for an affordable restaurant. Between Piper's Pub And Grill and Buk Chang Dong Soon Tofu, I should go to Buk Chang Dong Soon Tofu.", 'answer': 'Buk Chang Dong Soon Tofu', 'candidate': "Piper's Pub And Grill"}
{'statement': "I'm looking for an affordable restaurant. Between The Empire and Joe Badali's Ristorante Italiano & Bar, I should go to The Empire.", 'answer': 'The Empire', 'candidate': "Joe Badali's Ristorante Italiano & Bar"}
{'statement': "I'm looking for an affordable restaurant. Between Villa Madina and Scaddabush Italian Kitchen & Bar, I should go to Villa Madina.", 'answer': 'Villa Madina', 'candidate': 'Scaddabush Italian Kitchen & Bar'}
{'statement': "I'm looking for an affordable restaurant. Between New Bilan Restaurant and Hapa Toronto, I should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Hapa Toronto'}
{'statement': "I'm looking for an affordable restaurant. Between Kairali - Taste of Kerala and Grappa Ristorante, I should go to Kairali - Taste of Kerala.", 'answer': 'Kairali - Taste of Kerala', 'candidate': 'Grappa Ristorante'}
{'statement': "I'm looking for an affordable restaurant. Between Fitness Avenue and Ciao Europa wine bar, I should go to Fitness Avenue.", 'answer': 'Fitness Avenue', 'candidate': 'Ciao Europa wine bar'}
{'statement': "I'm looking for an affordable restaurant. Between Sizzlers and LCBO, I should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'LCBO'}
{'statement': "I'm looking for an affordable restaurant. Between Bake Island and Branca, I should go to Bake Island.", 'answer': 'Bake Island', 'candidate': 'Branca'}
{'statement': "I'm looking for an affordable restaurant. Between Breakfast Room and Bonne Journee, I should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Breakfast Room'}
{'statement': "I'm looking for an affordable restaurant. Between Cantine Bar & Grill and Cake Opera, I should go to Cantine Bar & Grill.", 'answer': 'Cantine Bar & Grill', 'candidate': 'Cake Opera'}
{'statement': "I'm looking for an affordable restaurant. Between Itamae Ayce Sushi and Sushi World, I should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Itamae Ayce Sushi'}
{'statement': "I'm looking for an affordable restaurant. Between Juice & Java Cafe and Edible Arrangements, I should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Edible Arrangements'}
{'statement': "I'm looking for an affordable restaurant. Between Green Room and Magic Oven, I should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Magic Oven'}
{'statement': "I'm looking for an affordable restaurant. Between Helena's Magic Kitchen and Taste of Greek Cuisine, I should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': 'Taste of Greek Cuisine'}
{'statement': "I'm looking for an affordable restaurant. Between Shawarma Twist and Dinah's Cupboard, I should go to Shawarma Twist.", 'answer': 'Shawarma Twist', 'candidate': "Dinah's Cupboard"}
{'statement': "I'm looking for an affordable restaurant. Between La Pupusa Loka and Queen Slice, I should go to Queen Slice.", 'answer': 'Queen Slice', 'candidate': 'La Pupusa Loka'}
{'statement': "I'm looking for an affordable restaurant. Between Modo Mio Italian Bistro and Queen Pita, I should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Modo Mio Italian Bistro'}
{'statement': "I'm looking for an affordable restaurant. Between Paradise Farms Prime Beef Bistro and Supermodel Pizza, I should go to Supermodel Pizza.", 'answer': 'Supermodel Pizza', 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "I'm looking for an affordable restaurant. Between Big Al's Diner and 9 Restaurant, I should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': '9 Restaurant'}
{'statement': "I'm looking for an affordable restaurant. Between JJ Bean and Edible Arrangements, I should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'Edible Arrangements'}
{'statement': "I'm looking for an affordable restaurant. Between Basha Middle Eastern Grill and Verona Restaurant, I should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': 'Verona Restaurant'}
