{'statement': 'Someone is looking for restaurants nearby. Between JJ Bean and Sushi Shop, this person should go to Sushi Shop.', 'answer': 'Sushi Shop', 'candidate': 'JJ Bean'}
{'statement': 'Someone is looking for restaurants nearby. Between Hina Sushi and 9 Restaurant, this person should go to 9 Restaurant.', 'answer': '9 Restaurant', 'candidate': 'Hina Sushi'}
{'statement': 'Someone is looking for restaurants nearby. Between Mi Mi Restaurant and Branca, this person should go to Branca.', 'answer': 'Branca', 'candidate': 'Mi Mi Restaurant'}
{'statement': "Someone is looking for restaurants nearby. Between Sushi Time Japanese Restaurant and Phil's Original BBQ, this person should go to Sushi Time Japanese Restaurant.", 'answer': 'Sushi Time Japanese Restaurant', 'candidate': "Phil's Original BBQ"}
{'statement': 'Someone is looking for restaurants nearby. Between Falafel Hut Village and Bagel Nash, this person should go to Falafel Hut Village.', 'answer': 'Falafel Hut Village', 'candidate': 'Bagel Nash'}
{'statement': "Someone is looking for restaurants nearby. Between Kim PO Vietnamese and Big Al's Diner, this person should go to Kim PO Vietnamese.", 'answer': 'Kim PO Vietnamese', 'candidate': "Big Al's Diner"}
{'statement': 'Someone is looking for restaurants nearby. Between Tim Hortons and Daily Press Juicery, this person should go to Daily Press Juicery.', 'answer': 'Daily Press Juicery', 'candidate': 'Tim Hortons'}
{'statement': 'Someone is looking for restaurants nearby. Between Ici Bistro and Falafel Hut Village, this person should go to Falafel Hut Village.', 'answer': 'Falafel Hut Village', 'candidate': 'Ici Bistro'}
{'statement': "Someone is looking for restaurants nearby. Between Harry's Char Broil & Dining Lounge and Bagel Nash, this person should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'Bagel Nash'}
{'statement': 'Someone is looking for restaurants nearby. Between Sky Dragon Chinese Restaurant and Amaya Express, this person should go to Amaya Express.', 'answer': 'Amaya Express', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': 'Someone is looking for restaurants nearby. Between Pizzeria Via Mercanti and Bake Island, this person should go to Bake Island.', 'answer': 'Bake Island', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': 'Someone is looking for restaurants nearby. Between Sizzlers and Goldstone Noodle Restaurant, this person should go to Goldstone Noodle Restaurant.', 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Sizzlers'}
{'statement': 'Someone is looking for restaurants nearby. Between Juice & Java Cafe and Sizzlers, this person should go to Juice & Java Cafe.', 'answer': 'Juice & Java Cafe', 'candidate': 'Sizzlers'}
{'statement': 'Someone is looking for restaurants nearby. Between Banjara Indian Cuisine and Falafel Hut Village, this person should go to Falafel Hut Village.', 'answer': 'Falafel Hut Village', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "Someone is looking for restaurants nearby. Between Smoke's Weinerie and Breakfast Room, this person should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': "Smoke's Weinerie"}
{'statement': 'Someone is looking for restaurants nearby. Between Juice & Java Cafe and Banjara Indian Cuisine, this person should go to Juice & Java Cafe.', 'answer': 'Juice & Java Cafe', 'candidate': 'Banjara Indian Cuisine'}
{'statement': 'Someone is looking for restaurants nearby. Between z-teca Gourmet Burritos and St. Louis Bar & Grill, this person should go to St. Louis Bar & Grill.', 'answer': 'St. Louis Bar & Grill', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': 'Someone is looking for restaurants nearby. Between Lahore Grill & Fast Food and Grappa Ristorante, this person should go to Lahore Grill & Fast Food.', 'answer': 'Lahore Grill & Fast Food', 'candidate': 'Grappa Ristorante'}
{'statement': 'Someone is looking for restaurants nearby. Between Mirage Grill & Lounge and Evoo Ristorante, this person should go to Evoo Ristorante.', 'answer': 'Evoo Ristorante', 'candidate': 'Mirage Grill & Lounge'}
{'statement': 'Someone is looking for restaurants nearby. Between Topham Corner and Scaddabush Italian Kitchen & Bar, this person should go to Scaddabush Italian Kitchen & Bar.', 'answer': 'Scaddabush Italian Kitchen & Bar', 'candidate': 'Topham Corner'}
{'statement': 'Someone is looking for restaurants nearby. Between Magic Oven and The Empire, this person should go to The Empire.', 'answer': 'The Empire', 'candidate': 'Magic Oven'}
{'statement': 'Someone is looking for restaurants nearby. Between Pisco 1641 and Ciao Europa wine bar, this person should go to Pisco 1641.', 'answer': 'Pisco 1641', 'candidate': 'Ciao Europa wine bar'}
{'statement': 'Someone is looking for restaurants nearby. Between Mövenpick Café and Tik Talk Cafe, this person should go to Tik Talk Cafe.', 'answer': 'Tik Talk Cafe', 'candidate': 'Mövenpick Café'}
{'statement': 'Someone is looking for restaurants nearby. Between Tian An Cuisine and Aroma Espresso Bar, this person should go to Tian An Cuisine.', 'answer': 'Tian An Cuisine', 'candidate': 'Aroma Espresso Bar'}
{'statement': 'Someone is looking for restaurants nearby. Between Breakfast Room and Magic Oven, this person should go to Breakfast Room.', 'answer': 'Breakfast Room', 'candidate': 'Magic Oven'}
{'statement': "Someone is looking for restaurants nearby. Between Mamma's Pizza and Mi Mi Restaurant, this person should go to Mamma's Pizza.", 'answer': "Mamma's Pizza", 'candidate': 'Mi Mi Restaurant'}
{'statement': 'Someone is looking for restaurants nearby. Between Anatolia Restaurant and The Coffee Pocket, this person should go to Anatolia Restaurant.', 'answer': 'Anatolia Restaurant', 'candidate': 'The Coffee Pocket'}
{'statement': 'Someone is looking for restaurants nearby. Between Sheriff Broaster Chicken and Ciao Europa wine bar, this person should go to Sheriff Broaster Chicken.', 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Ciao Europa wine bar'}
{'statement': 'Someone is looking for restaurants nearby. Between Capitol Trattoria Pizzeria and Kim PO Vietnamese, this person should go to Kim PO Vietnamese.', 'answer': 'Kim PO Vietnamese', 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': "Someone is looking for restaurants nearby. Between Grappa Ristorante and Harry's Char Broil & Dining Lounge, this person should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'Grappa Ristorante'}
{'statement': 'Someone is looking for restaurants nearby. Between Sushi World and Madras Pantry, this person should go to Madras Pantry.', 'answer': 'Madras Pantry', 'candidate': 'Sushi World'}
{'statement': 'Someone is looking for restaurants nearby. Between El Fogón and Magic Oven, this person should go to El Fogón.', 'answer': 'El Fogón', 'candidate': 'Magic Oven'}
{'statement': 'Someone is looking for restaurants nearby. Between 9 Restaurant and St. Louis Bar & Grill, this person should go to St. Louis Bar & Grill.', 'answer': 'St. Louis Bar & Grill', 'candidate': '9 Restaurant'}
{'statement': 'Someone is looking for restaurants nearby. Between Pho 88 and Mysteriously Yours Dinner Theatre, this person should go to Mysteriously Yours Dinner Theatre.', 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Pho 88'}
{'statement': 'Someone is looking for restaurants nearby. Between Fit For Life and Green Room, this person should go to Fit For Life.', 'answer': 'Fit For Life', 'candidate': 'Green Room'}
{'statement': 'Someone is looking for restaurants nearby. Between Ici Bistro and Branca, this person should go to Branca.', 'answer': 'Branca', 'candidate': 'Ici Bistro'}
{'statement': 'Someone is looking for restaurants nearby. Between Anatolia Restaurant and Freshii, this person should go to Anatolia Restaurant.', 'answer': 'Anatolia Restaurant', 'candidate': 'Freshii'}
{'statement': 'Someone is looking for restaurants nearby. Between KFC and Sweet Jesus, this person should go to KFC.', 'answer': 'KFC', 'candidate': 'Sweet Jesus'}
{'statement': 'Someone is looking for restaurants nearby. Between Fit For Life and Le Papillon Park, this person should go to Fit For Life.', 'answer': 'Fit For Life', 'candidate': 'Le Papillon Park'}
{'statement': 'Someone is looking for restaurants nearby. Between Pizzeria Via Mercanti and Sushi World, this person should go to Sushi World.', 'answer': 'Sushi World', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "Someone is looking for restaurants nearby. Between Mi Mi Restaurant and It's All Grk, this person should go to It's All Grk.", 'answer': "It's All Grk", 'candidate': 'Mi Mi Restaurant'}
{'statement': 'Someone is looking for restaurants nearby. Between Banjara Indian Cuisine and Green Grotto, this person should go to Green Grotto.', 'answer': 'Green Grotto', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "Someone is looking for restaurants nearby. Between Capitol Trattoria Pizzeria and Dangerous Dan's Diner, this person should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'Capitol Trattoria Pizzeria'}
{'statement': 'Someone is looking for restaurants nearby. Between Pizza Pizza and Green Room, this person should go to Pizza Pizza.', 'answer': 'Pizza Pizza', 'candidate': 'Green Room'}
{'statement': 'Someone is looking for restaurants nearby. Between Cafe Jules and Basil Express Restaurant, this person should go to Basil Express Restaurant.', 'answer': 'Basil Express Restaurant', 'candidate': 'Cafe Jules'}
{'statement': 'Someone is looking for restaurants nearby. Between Hina Sushi and Marcello’s pizzeria, this person should go to Marcello’s pizzeria.', 'answer': 'Marcello’s pizzeria', 'candidate': 'Hina Sushi'}
{'statement': "Someone is looking for restaurants nearby. Between Bonne Journee and McDonald's, this person should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Bonne Journee'}
{'statement': "Someone is looking for restaurants nearby. Between Just Soups Take Out & Catering and Big Al's Diner, this person should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': "Big Al's Diner"}
{'statement': "Someone is looking for restaurants nearby. Between McDonald's and Mt Everest Restaurant, this person should go to McDonald's.", 'answer': "McDonald's", 'candidate': 'Mt Everest Restaurant'}
{'statement': 'Someone is looking for restaurants nearby. Between Basha Middle Eastern Grill and Eggspectation, this person should go to Basha Middle Eastern Grill.', 'answer': 'Basha Middle Eastern Grill', 'candidate': 'Eggspectation'}
{'statement': 'Someone is looking for restaurants nearby. Between Breakfast Room and New Bilan Restaurant, this person should go to Breakfast Room.', 'answer': 'Breakfast Room', 'candidate': 'New Bilan Restaurant'}
{'statement': 'Someone is looking for restaurants nearby. Between Ici Bistro and LCBO, this person should go to LCBO.', 'answer': 'LCBO', 'candidate': 'Ici Bistro'}
{'statement': "Someone is looking for restaurants nearby. Between Pasta Pantry and Warung Indonesia D'Eglinton, this person should go to Warung Indonesia D'Eglinton.", 'answer': "Warung Indonesia D'Eglinton", 'candidate': 'Pasta Pantry'}
{'statement': 'Someone is looking for restaurants nearby. Between Amaya Express and Grappa Ristorante, this person should go to Amaya Express.', 'answer': 'Amaya Express', 'candidate': 'Grappa Ristorante'}
{'statement': 'Someone is looking for restaurants nearby. Between 9 Restaurant and St. Clair Shawarma and Falafel, this person should go to 9 Restaurant.', 'answer': '9 Restaurant', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': "Someone is looking for restaurants nearby. Between Dinah's Cupboard and New Bilan Restaurant, this person should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'New Bilan Restaurant'}
{'statement': 'Someone is looking for restaurants nearby. Between Paradise Farms Prime Beef Bistro and Banjara Indian Cuisine, this person should go to Paradise Farms Prime Beef Bistro.', 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'Banjara Indian Cuisine'}
{'statement': "Someone is looking for restaurants nearby. Between Chipotle Mexican Grill and Beryl's Pepper Pot, this person should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': "Beryl's Pepper Pot"}
{'statement': 'Someone is looking for restaurants nearby. Between Daily Press Juicery and Bonne Journee, this person should go to Daily Press Juicery.', 'answer': 'Daily Press Juicery', 'candidate': 'Bonne Journee'}
{'statement': "Someone is looking for restaurants nearby. Between Domino's Pizza and Bao Bao Plus Dim Sum, this person should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': "Domino's Pizza"}
{'statement': "Someone is looking for restaurants nearby. Between Nutella Cafe by Pusateri's and Delicious Paradise Kitchen, this person should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': "Nutella Cafe by Pusateri's"}
