{'statement': "Someone doesn't like cheap restaurants. Between Branca and Piper's Pub And Grill, this person should go to Branca.", 'answer': 'Branca', 'candidate': "Piper's Pub And Grill"}
{'statement': "Someone doesn't like cheap restaurants. Between Oxygen Restaurant & Lounge and Harry's Char Broil & Dining Lounge, this person should go to Oxygen Restaurant & Lounge.", 'answer': 'Oxygen Restaurant & Lounge', 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "Someone doesn't like cheap restaurants. Between Pizza Pizza and Amaya Express, this person should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': 'Pizza Pizza'}
{'statement': "Someone doesn't like cheap restaurants. Between Eggspectation and Bagel Nash, this person should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Bagel Nash'}
{'statement': "Someone doesn't like cheap restaurants. Between Sweet Jesus and To-ne Sushi, this person should go to To-ne Sushi.", 'answer': 'To-ne Sushi', 'candidate': 'Sweet Jesus'}
{'statement': "Someone doesn't like cheap restaurants. Between Fit For Life and Marcello’s pizzeria, this person should go to Marcello’s pizzeria.", 'answer': 'Marcello’s pizzeria', 'candidate': 'Fit For Life'}
{'statement': "Someone doesn't like cheap restaurants. Between Sushi World and Capitol Trattoria Pizzeria, this person should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Sushi World'}
{'statement': "Someone doesn't like cheap restaurants. Between KFC and Dangerous Dan's Diner, this person should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': 'KFC'}
{'statement': "Someone doesn't like cheap restaurants. Between Green Room and Sheriff Broaster Chicken, this person should go to Sheriff Broaster Chicken.", 'answer': 'Sheriff Broaster Chicken', 'candidate': 'Green Room'}
{'statement': "Someone doesn't like cheap restaurants. Between Smoke's Weinerie and Chipotle Mexican Grill, this person should go to Chipotle Mexican Grill.", 'answer': 'Chipotle Mexican Grill', 'candidate': "Smoke's Weinerie"}
{'statement': "Someone doesn't like cheap restaurants. Between Evoo Ristorante and Big Al's Diner, this person should go to Evoo Ristorante.", 'answer': 'Evoo Ristorante', 'candidate': "Big Al's Diner"}
{'statement': "Someone doesn't like cheap restaurants. Between Chipotle Mexican Grill and Hapa Toronto, this person should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "Someone doesn't like cheap restaurants. Between Supermodel Pizza and Sky Dragon Chinese Restaurant, this person should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Supermodel Pizza'}
{'statement': "Someone doesn't like cheap restaurants. Between Pho 88 and Sky Dragon Chinese Restaurant, this person should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Pho 88'}
{'statement': "Someone doesn't like cheap restaurants. Between Buk Chang Dong Soon Tofu and Dinah's Cupboard, this person should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "Someone doesn't like cheap restaurants. Between Adega Restaurante and Cantine Bar & Grill, this person should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': 'Cantine Bar & Grill'}
{'statement': "Someone doesn't like cheap restaurants. Between Green Room and Hawthorne Food and Drink, this person should go to Hawthorne Food and Drink.", 'answer': 'Hawthorne Food and Drink', 'candidate': 'Green Room'}
{'statement': "Someone doesn't like cheap restaurants. Between Branca and To-ne Sushi, this person should go to Branca.", 'answer': 'Branca', 'candidate': 'To-ne Sushi'}
{'statement': "Someone doesn't like cheap restaurants. Between Beryl's Pepper Pot and Shawarma Twist, this person should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': 'Shawarma Twist'}
{'statement': "Someone doesn't like cheap restaurants. Between Verona Restaurant and Tian An Cuisine, this person should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Tian An Cuisine'}
{'statement': "Someone doesn't like cheap restaurants. Between New Bilan Restaurant and FreshCo, this person should go to FreshCo.", 'answer': 'FreshCo', 'candidate': 'New Bilan Restaurant'}
{'statement': "Someone doesn't like cheap restaurants. Between Scaddabush Italian Kitchen & Bar and Falafel Hut Village, this person should go to Scaddabush Italian Kitchen & Bar.", 'answer': 'Scaddabush Italian Kitchen & Bar', 'candidate': 'Falafel Hut Village'}
{'statement': "Someone doesn't like cheap restaurants. Between New Bilan Restaurant and Itamae Ayce Sushi, this person should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': 'New Bilan Restaurant'}
{'statement': "Someone doesn't like cheap restaurants. Between Hawthorne Food and Drink and Nutella Cafe by Pusateri's, this person should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Hawthorne Food and Drink'}
{'statement': "Someone doesn't like cheap restaurants. Between Milo's Pita and Amaya Express, this person should go to Amaya Express.", 'answer': 'Amaya Express', 'candidate': "Milo's Pita"}
{'statement': "Someone doesn't like cheap restaurants. Between Juice & Java Cafe and Bonne Journee, this person should go to Juice & Java Cafe.", 'answer': 'Juice & Java Cafe', 'candidate': 'Bonne Journee'}
{'statement': "Someone doesn't like cheap restaurants. Between Sky Dragon Chinese Restaurant and Falafel House, this person should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Falafel House'}
{'statement': "Someone doesn't like cheap restaurants. Between Mirage Grill & Lounge and Pizzeria Via Mercanti, this person should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "Someone doesn't like cheap restaurants. Between Hapa Toronto and Bagel Nash, this person should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Bagel Nash'}
{'statement': "Someone doesn't like cheap restaurants. Between Pisco 1641 and Adega Restaurante, this person should go to Adega Restaurante.", 'answer': 'Adega Restaurante', 'candidate': 'Pisco 1641'}
{'statement': "Someone doesn't like cheap restaurants. Between Supermodel Pizza and Milestones Restaurants, this person should go to Milestones Restaurants.", 'answer': 'Milestones Restaurants', 'candidate': 'Supermodel Pizza'}
{'statement': "Someone doesn't like cheap restaurants. Between Ici Bistro and Tik Talk Cafe, this person should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Tik Talk Cafe'}
{'statement': "Someone doesn't like cheap restaurants. Between Aroma Espresso Bar and Tim Hortons, this person should go to Aroma Espresso Bar.", 'answer': 'Aroma Espresso Bar', 'candidate': 'Tim Hortons'}
{'statement': "Someone doesn't like cheap restaurants. Between The Coffee Pocket and Edible Arrangements, this person should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'The Coffee Pocket'}
{'statement': "Someone doesn't like cheap restaurants. Between Dangerous Dan's Diner and Helena's Magic Kitchen, this person should go to Dangerous Dan's Diner.", 'answer': "Dangerous Dan's Diner", 'candidate': "Helena's Magic Kitchen"}
{'statement': "Someone doesn't like cheap restaurants. Between Sushi World and Paradise Farms Prime Beef Bistro, this person should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'Sushi World'}
{'statement': "Someone doesn't like cheap restaurants. Between Ardor Bistro and McDonald's, this person should go to Ardor Bistro.", 'answer': 'Ardor Bistro', 'candidate': "McDonald's"}
{'statement': "Someone doesn't like cheap restaurants. Between Mi Mi Restaurant and Hina Sushi, this person should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Mi Mi Restaurant'}
{'statement': "Someone doesn't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and Pizzeria Via Mercanti, this person should go to Mysteriously Yours Dinner Theatre.", 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Pizzeria Via Mercanti'}
{'statement': "Someone doesn't like cheap restaurants. Between Piper's Pub And Grill and Buk Chang Dong Soon Tofu, this person should go to Piper's Pub And Grill.", 'answer': "Piper's Pub And Grill", 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "Someone doesn't like cheap restaurants. Between Joe Badali's Ristorante Italiano & Bar and The Empire, this person should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': 'The Empire'}
{'statement': "Someone doesn't like cheap restaurants. Between Villa Madina and Scaddabush Italian Kitchen & Bar, this person should go to Scaddabush Italian Kitchen & Bar.", 'answer': 'Scaddabush Italian Kitchen & Bar', 'candidate': 'Villa Madina'}
{'statement': "Someone doesn't like cheap restaurants. Between New Bilan Restaurant and Hapa Toronto, this person should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'New Bilan Restaurant'}
{'statement': "Someone doesn't like cheap restaurants. Between Grappa Ristorante and Kairali - Taste of Kerala, this person should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Kairali - Taste of Kerala'}
{'statement': "Someone doesn't like cheap restaurants. Between Ciao Europa wine bar and Fitness Avenue, this person should go to Ciao Europa wine bar.", 'answer': 'Ciao Europa wine bar', 'candidate': 'Fitness Avenue'}
{'statement': "Someone doesn't like cheap restaurants. Between LCBO and Sizzlers, this person should go to LCBO.", 'answer': 'LCBO', 'candidate': 'Sizzlers'}
{'statement': "Someone doesn't like cheap restaurants. Between Branca and Bake Island, this person should go to Branca.", 'answer': 'Branca', 'candidate': 'Bake Island'}
{'statement': "Someone doesn't like cheap restaurants. Between Bonne Journee and Breakfast Room, this person should go to Breakfast Room.", 'answer': 'Breakfast Room', 'candidate': 'Bonne Journee'}
{'statement': "Someone doesn't like cheap restaurants. Between Cake Opera and Cantine Bar & Grill, this person should go to Cake Opera.", 'answer': 'Cake Opera', 'candidate': 'Cantine Bar & Grill'}
{'statement': "Someone doesn't like cheap restaurants. Between Sushi World and Itamae Ayce Sushi, this person should go to Itamae Ayce Sushi.", 'answer': 'Itamae Ayce Sushi', 'candidate': 'Sushi World'}
{'statement': "Someone doesn't like cheap restaurants. Between Juice & Java Cafe and Edible Arrangements, this person should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'Juice & Java Cafe'}
{'statement': "Someone doesn't like cheap restaurants. Between Magic Oven and Green Room, this person should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'Green Room'}
{'statement': "Someone doesn't like cheap restaurants. Between Helena's Magic Kitchen and Taste of Greek Cuisine, this person should go to Taste of Greek Cuisine.", 'answer': 'Taste of Greek Cuisine', 'candidate': "Helena's Magic Kitchen"}
{'statement': "Someone doesn't like cheap restaurants. Between Shawarma Twist and Dinah's Cupboard, this person should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'Shawarma Twist'}
{'statement': "Someone doesn't like cheap restaurants. Between Queen Slice and La Pupusa Loka, this person should go to La Pupusa Loka.", 'answer': 'La Pupusa Loka', 'candidate': 'Queen Slice'}
{'statement': "Someone doesn't like cheap restaurants. Between Modo Mio Italian Bistro and Queen Pita, this person should go to Modo Mio Italian Bistro.", 'answer': 'Modo Mio Italian Bistro', 'candidate': 'Queen Pita'}
{'statement': "Someone doesn't like cheap restaurants. Between Paradise Farms Prime Beef Bistro and Supermodel Pizza, this person should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': 'Supermodel Pizza'}
{'statement': "Someone doesn't like cheap restaurants. Between Big Al's Diner and 9 Restaurant, this person should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': "Big Al's Diner"}
{'statement': "Someone doesn't like cheap restaurants. Between JJ Bean and Edible Arrangements, this person should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': 'JJ Bean'}
{'statement': "Someone doesn't like cheap restaurants. Between Basha Middle Eastern Grill and Verona Restaurant, this person should go to Verona Restaurant.", 'answer': 'Verona Restaurant', 'candidate': 'Basha Middle Eastern Grill'}
