{'statement': "Someone doesn't like expensive restaurants. Between Nook and Thompson Rooftop, this person should go to Nook.", 'answer': 'Nook', 'candidate': 'Thompson Rooftop'}
{'statement': "Someone doesn't like expensive restaurants. Between Green Grotto and Cake Opera, this person should go to Green Grotto.", 'answer': 'Green Grotto', 'candidate': 'Cake Opera'}
{'statement': "Someone doesn't like expensive restaurants. Between Sizzlers and Galata Cafe, this person should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Galata Cafe'}
{'statement': "Someone doesn't like expensive restaurants. Between Beryl's Pepper Pot and McDonald's, this person should go to McDonald's.", 'answer': "McDonald's", 'candidate': "Beryl's Pepper Pot"}
{'statement': "Someone doesn't like expensive restaurants. Between Madras Pantry and Daily Press Juicery, this person should go to Madras Pantry.", 'answer': 'Madras Pantry', 'candidate': 'Daily Press Juicery'}
{'statement': "Someone doesn't like expensive restaurants. Between Le Papillon Park and Mi Mi Restaurant, this person should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': 'Le Papillon Park'}
{'statement': "Someone doesn't like expensive restaurants. Between Queen Pita and Thai 4 You Restaurant, this person should go to Queen Pita.", 'answer': 'Queen Pita', 'candidate': 'Thai 4 You Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Delicious Paradise Kitchen and Cantine Bar & Grill, this person should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': 'Cantine Bar & Grill'}
{'statement': "Someone doesn't like expensive restaurants. Between Dinah's Cupboard and Phil's Original BBQ, this person should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': "Dinah's Cupboard"}
{'statement': "Someone doesn't like expensive restaurants. Between Ici Bistro and Thai 4 You Restaurant, this person should go to Thai 4 You Restaurant.", 'answer': 'Thai 4 You Restaurant', 'candidate': 'Ici Bistro'}
{'statement': "Someone doesn't like expensive restaurants. Between Tik Talk Cafe and Pho 88, this person should go to Pho 88.", 'answer': 'Pho 88', 'candidate': 'Tik Talk Cafe'}
{'statement': "Someone doesn't like expensive restaurants. Between Paradise Farms Prime Beef Bistro and Falafel House, this person should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "Someone doesn't like expensive restaurants. Between St. Clair Shawarma and Falafel and Juice & Java Cafe, this person should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Juice & Java Cafe'}
{'statement': "Someone doesn't like expensive restaurants. Between Magic Oven and Sushi World, this person should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Magic Oven'}
{'statement': "Someone doesn't like expensive restaurants. Between Pizza Pizza and Popeyes Louisiana Kitchen, this person should go to Pizza Pizza.", 'answer': 'Pizza Pizza', 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': "Someone doesn't like expensive restaurants. Between Eastern legend and Sky Dragon Chinese Restaurant, this person should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'Sky Dragon Chinese Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Just Soups Take Out & Catering and Galata Cafe, this person should go to Just Soups Take Out & Catering.", 'answer': 'Just Soups Take Out & Catering', 'candidate': 'Galata Cafe'}
{'statement': "Someone doesn't like expensive restaurants. Between Maurya East Indian Roti and Falafel House, this person should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Maurya East Indian Roti'}
{'statement': "Someone doesn't like expensive restaurants. Between Oxygen Restaurant & Lounge and St. Louis Bar & Grill, this person should go to St. Louis Bar & Grill.", 'answer': 'St. Louis Bar & Grill', 'candidate': 'Oxygen Restaurant & Lounge'}
{'statement': "Someone doesn't like expensive restaurants. Between Hapa Toronto and Daily Press Juicery, this person should go to Daily Press Juicery.", 'answer': 'Daily Press Juicery', 'candidate': 'Hapa Toronto'}
{'statement': "Someone doesn't like expensive restaurants. Between Bonne Journee and Breakfast Room, this person should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Breakfast Room'}
{'statement': "Someone doesn't like expensive restaurants. Between To-ne Sushi and The Coffee Pocket, this person should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'To-ne Sushi'}
{'statement': "Someone doesn't like expensive restaurants. Between Dangerous Dan's Diner and Fitness Avenue, this person should go to Fitness Avenue.", 'answer': 'Fitness Avenue', 'candidate': "Dangerous Dan's Diner"}
{'statement': "Someone doesn't like expensive restaurants. Between Delicious Paradise Kitchen and Pisco 1641, this person should go to Delicious Paradise Kitchen.", 'answer': 'Delicious Paradise Kitchen', 'candidate': 'Pisco 1641'}
{'statement': "Someone doesn't like expensive restaurants. Between Nutella Cafe by Pusateri's and New Bilan Restaurant, this person should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': "Nutella Cafe by Pusateri's"}
{'statement': "Someone doesn't like expensive restaurants. Between St. Clair Shawarma and Falafel and Maurya East Indian Roti, this person should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Maurya East Indian Roti'}
{'statement': "Someone doesn't like expensive restaurants. Between Milestones Restaurants and Falafel Hut Village, this person should go to Falafel Hut Village.", 'answer': 'Falafel Hut Village', 'candidate': 'Milestones Restaurants'}
{'statement': "Someone doesn't like expensive restaurants. Between Edible Arrangements and St. Clair Shawarma and Falafel, this person should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Edible Arrangements'}
{'statement': "Someone doesn't like expensive restaurants. Between Falafel House and Topham Corner, this person should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Topham Corner'}
{'statement': "Someone doesn't like expensive restaurants. Between Helena's Magic Kitchen and Phil's Original BBQ, this person should go to Helena's Magic Kitchen.", 'answer': "Helena's Magic Kitchen", 'candidate': "Phil's Original BBQ"}
{'statement': "Someone doesn't like expensive restaurants. Between Paradise Farms Prime Beef Bistro and Dinah's Cupboard, this person should go to Paradise Farms Prime Beef Bistro.", 'answer': 'Paradise Farms Prime Beef Bistro', 'candidate': "Dinah's Cupboard"}
{'statement': "Someone doesn't like expensive restaurants. Between Phil's Original BBQ and The Coffee Pocket, this person should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': "Phil's Original BBQ"}
{'statement': "Someone doesn't like expensive restaurants. Between Goldstone Noodle Restaurant and Hapa Toronto, this person should go to Goldstone Noodle Restaurant.", 'answer': 'Goldstone Noodle Restaurant', 'candidate': 'Hapa Toronto'}
{'statement': "Someone doesn't like expensive restaurants. Between Juice & Java Cafe and Green Room, this person should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Juice & Java Cafe'}
{'statement': "Someone doesn't like expensive restaurants. Between New Bilan Restaurant and Chipotle Mexican Grill, this person should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Chipotle Mexican Grill'}
{'statement': "Someone doesn't like expensive restaurants. Between Eastern legend and Mt Everest Restaurant, this person should go to Eastern legend.", 'answer': 'Eastern legend', 'candidate': 'Mt Everest Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Tim Hortons and Domino's Pizza, this person should go to Tim Hortons.", 'answer': 'Tim Hortons', 'candidate': "Domino's Pizza"}
{'statement': "Someone doesn't like expensive restaurants. Between Cake Opera and Grappa Ristorante, this person should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Cake Opera'}
{'statement': "Someone doesn't like expensive restaurants. Between 9 Restaurant and Cafe Jules, this person should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': '9 Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Hapa Toronto and Evoo Ristorante, this person should go to Hapa Toronto.", 'answer': 'Hapa Toronto', 'candidate': 'Evoo Ristorante'}
{'statement': "Someone doesn't like expensive restaurants. Between Verona Restaurant and Basha Middle Eastern Grill, this person should go to Basha Middle Eastern Grill.", 'answer': 'Basha Middle Eastern Grill', 'candidate': 'Verona Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between St. Louis Bar & Grill and St. Clair Shawarma and Falafel, this person should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'St. Louis Bar & Grill'}
{'statement': "Someone doesn't like expensive restaurants. Between Galata Cafe and z-teca Gourmet Burritos, this person should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'Galata Cafe'}
{'statement': "Someone doesn't like expensive restaurants. Between Falafel House and Basil Express Restaurant, this person should go to Falafel House.", 'answer': 'Falafel House', 'candidate': 'Basil Express Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Harry's Char Broil & Dining Lounge and Thompson Rooftop, this person should go to Harry's Char Broil & Dining Lounge.", 'answer': "Harry's Char Broil & Dining Lounge", 'candidate': 'Thompson Rooftop'}
{'statement': "Someone doesn't like expensive restaurants. Between Ici Bistro and St. Clair Shawarma and Falafel, this person should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': 'Ici Bistro'}
{'statement': "Someone doesn't like expensive restaurants. Between Magic Oven and Fitness Avenue, this person should go to Fitness Avenue.", 'answer': 'Fitness Avenue', 'candidate': 'Magic Oven'}
{'statement': "Someone doesn't like expensive restaurants. Between Warung Indonesia D'Eglinton and Lahore Grill & Fast Food, this person should go to Lahore Grill & Fast Food.", 'answer': 'Lahore Grill & Fast Food', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "Someone doesn't like expensive restaurants. Between The Coffee Pocket and Tik Talk Cafe, this person should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Tik Talk Cafe'}
{'statement': "Someone doesn't like expensive restaurants. Between Adega Restaurante and Carole's Cheesecake Cafe, this person should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Adega Restaurante'}
{'statement': "Someone doesn't like expensive restaurants. Between Sushi World and Popeyes Louisiana Kitchen, this person should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Popeyes Louisiana Kitchen'}
{'statement': "Someone doesn't like expensive restaurants. Between Daily Press Juicery and Tim Hortons, this person should go to Tim Hortons.", 'answer': 'Tim Hortons', 'candidate': 'Daily Press Juicery'}
{'statement': "Someone doesn't like expensive restaurants. Between Ardor Bistro and New Bilan Restaurant, this person should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Ardor Bistro'}
{'statement': "Someone doesn't like expensive restaurants. Between Roncy's Bean and Grappa Ristorante, this person should go to Roncy's Bean.", 'answer': "Roncy's Bean", 'candidate': 'Grappa Ristorante'}
{'statement': "Someone doesn't like expensive restaurants. Between El Fogón and Dinah's Cupboard, this person should go to El Fogón.", 'answer': 'El Fogón', 'candidate': "Dinah's Cupboard"}
{'statement': "Someone doesn't like expensive restaurants. Between Sweet Jesus and Magic Oven, this person should go to Sweet Jesus.", 'answer': 'Sweet Jesus', 'candidate': 'Magic Oven'}
{'statement': "Someone doesn't like expensive restaurants. Between Sweet Jesus and Verona Restaurant, this person should go to Sweet Jesus.", 'answer': 'Sweet Jesus', 'candidate': 'Verona Restaurant'}
{'statement': "Someone doesn't like expensive restaurants. Between Aroma Espresso Bar and Green Room, this person should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Aroma Espresso Bar'}
{'statement': "Someone doesn't like expensive restaurants. Between Thompson Rooftop and Scaddabush Italian Kitchen & Bar, this person should go to Scaddabush Italian Kitchen & Bar.", 'answer': 'Scaddabush Italian Kitchen & Bar', 'candidate': 'Thompson Rooftop'}
