{'statement': "Someone doesn't like the restaurants nearby. Between Sushi Shop and JJ Bean, this person should go to JJ Bean.", 'answer': 'JJ Bean', 'candidate': 'Sushi Shop'}
{'statement': "Someone doesn't like the restaurants nearby. Between 9 Restaurant and Hina Sushi, this person should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': '9 Restaurant'}
{'statement': "Someone doesn't like the restaurants nearby. Between Mi Mi Restaurant and Branca, this person should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': 'Branca'}
{'statement': "Someone doesn't like the restaurants nearby. Between Phil's Original BBQ and Sushi Time Japanese Restaurant, this person should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'Sushi Time Japanese Restaurant'}
{'statement': "Someone doesn't like the restaurants nearby. Between Bagel Nash and Falafel Hut Village, this person should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': 'Falafel Hut Village'}
{'statement': "Someone doesn't like the restaurants nearby. Between Kim PO Vietnamese and Big Al's Diner, this person should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Kim PO Vietnamese'}
{'statement': "Someone doesn't like the restaurants nearby. Between Daily Press Juicery and Tim Hortons, this person should go to Tim Hortons.", 'answer': 'Tim Hortons', 'candidate': 'Daily Press Juicery'}
{'statement': "Someone doesn't like the restaurants nearby. Between Ici Bistro and Falafel Hut Village, this person should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Falafel Hut Village'}
{'statement': "Someone doesn't like the restaurants nearby. Between Bagel Nash and Harry's Char Broil & Dining Lounge, this person should go to Bagel Nash.", 'answer': 'Bagel Nash', 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "Someone doesn't like the restaurants nearby. Between Sky Dragon Chinese Restaurant and Amaya Express, this person should go to Sky Dragon Chinese Restaurant.", 'answer': 'Sky Dragon Chinese Restaurant', 'candidate': 'Amaya Express'}
{'statement': "Someone doesn't like the restaurants nearby. Between Pizzeria Via Mercanti and Bake Island, this person should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Bake Island'}
{'statement': "Someone doesn't like the restaurants nearby. Between Sizzlers and Goldstone Noodle Restaurant, this person should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "Someone doesn't like the restaurants nearby. Between Sizzlers and Juice & Java Cafe, this person should go to Sizzlers.", 'answer': 'Sizzlers', 'candidate': 'Juice & Java Cafe'}
{'statement': "Someone doesn't like the restaurants nearby. Between Banjara Indian Cuisine and Falafel Hut Village, this person should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Falafel Hut Village'}
{'statement': "Someone doesn't like the restaurants nearby. Between Breakfast Room and Smoke's Weinerie, this person should go to Smoke's Weinerie.", 'answer': "Smoke's Weinerie", 'candidate': 'Breakfast Room'}
{'statement': "Someone doesn't like the restaurants nearby. Between Juice & Java Cafe and Banjara Indian Cuisine, this person should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Juice & Java Cafe'}
{'statement': "Someone doesn't like the restaurants nearby. Between St. Louis Bar & Grill and z-teca Gourmet Burritos, this person should go to z-teca Gourmet Burritos.", 'answer': 'z-teca Gourmet Burritos', 'candidate': 'St. Louis Bar & Grill'}
{'statement': "Someone doesn't like the restaurants nearby. Between Grappa Ristorante and Lahore Grill & Fast Food, this person should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "Someone doesn't like the restaurants nearby. Between Evoo Ristorante and Mirage Grill & Lounge, this person should go to Mirage Grill & Lounge.", 'answer': 'Mirage Grill & Lounge', 'candidate': 'Evoo Ristorante'}
{'statement': "Someone doesn't like the restaurants nearby. Between Scaddabush Italian Kitchen & Bar and Topham Corner, this person should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': 'Scaddabush Italian Kitchen & Bar'}
{'statement': "Someone doesn't like the restaurants nearby. Between The Empire and Magic Oven, this person should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'The Empire'}
{'statement': "Someone doesn't like the restaurants nearby. Between Ciao Europa wine bar and Pisco 1641, this person should go to Ciao Europa wine bar.", 'answer': 'Ciao Europa wine bar', 'candidate': 'Pisco 1641'}
{'statement': "Someone doesn't like the restaurants nearby. Between Tik Talk Cafe and Mövenpick Café, this person should go to Mövenpick Café.", 'answer': 'Mövenpick Café', 'candidate': 'Tik Talk Cafe'}
{'statement': "Someone doesn't like the restaurants nearby. Between Aroma Espresso Bar and Tian An Cuisine, this person should go to Aroma Espresso Bar.", 'answer': 'Aroma Espresso Bar', 'candidate': 'Tian An Cuisine'}
{'statement': "Someone doesn't like the restaurants nearby. Between Breakfast Room and Magic Oven, this person should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'Breakfast Room'}
{'statement': "Someone doesn't like the restaurants nearby. Between Mamma's Pizza and Mi Mi Restaurant, this person should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': "Mamma's Pizza"}
{'statement': "Someone doesn't like the restaurants nearby. Between Anatolia Restaurant and The Coffee Pocket, this person should go to The Coffee Pocket.", 'answer': 'The Coffee Pocket', 'candidate': 'Anatolia Restaurant'}
{'statement': "Someone doesn't like the restaurants nearby. Between Ciao Europa wine bar and Sheriff Broaster Chicken, this person should go to Ciao Europa wine bar.", 'answer': 'Ciao Europa wine bar', 'candidate': 'Sheriff Broaster Chicken'}
{'statement': "Someone doesn't like the restaurants nearby. Between Capitol Trattoria Pizzeria and Kim PO Vietnamese, this person should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': 'Kim PO Vietnamese'}
{'statement': "Someone doesn't like the restaurants nearby. Between Harry's Char Broil & Dining Lounge and Grappa Ristorante, this person should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': "Harry's Char Broil & Dining Lounge"}
{'statement': "Someone doesn't like the restaurants nearby. Between Sushi World and Madras Pantry, this person should go to Sushi World.", 'answer': 'Sushi World', 'candidate': 'Madras Pantry'}
{'statement': "Someone doesn't like the restaurants nearby. Between Magic Oven and El Fogón, this person should go to Magic Oven.", 'answer': 'Magic Oven', 'candidate': 'El Fogón'}
{'statement': "Someone doesn't like the restaurants nearby. Between 9 Restaurant and St. Louis Bar & Grill, this person should go to 9 Restaurant.", 'answer': '9 Restaurant', 'candidate': 'St. Louis Bar & Grill'}
{'statement': "Someone doesn't like the restaurants nearby. Between Mysteriously Yours Dinner Theatre and Pho 88, this person should go to Pho 88.", 'answer': 'Pho 88', 'candidate': 'Mysteriously Yours Dinner Theatre'}
{'statement': "Someone doesn't like the restaurants nearby. Between Green Room and Fit For Life, this person should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Fit For Life'}
{'statement': "Someone doesn't like the restaurants nearby. Between Ici Bistro and Branca, this person should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'Branca'}
{'statement': "Someone doesn't like the restaurants nearby. Between Freshii and Anatolia Restaurant, this person should go to Freshii.", 'answer': 'Freshii', 'candidate': 'Anatolia Restaurant'}
{'statement': "Someone doesn't like the restaurants nearby. Between KFC and Sweet Jesus, this person should go to Sweet Jesus.", 'answer': 'Sweet Jesus', 'candidate': 'KFC'}
{'statement': "Someone doesn't like the restaurants nearby. Between Le Papillon Park and Fit For Life, this person should go to Le Papillon Park.", 'answer': 'Le Papillon Park', 'candidate': 'Fit For Life'}
{'statement': "Someone doesn't like the restaurants nearby. Between Sushi World and Pizzeria Via Mercanti, this person should go to Pizzeria Via Mercanti.", 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Sushi World'}
{'statement': "Someone doesn't like the restaurants nearby. Between Mi Mi Restaurant and It's All Grk, this person should go to Mi Mi Restaurant.", 'answer': 'Mi Mi Restaurant', 'candidate': "It's All Grk"}
{'statement': "Someone doesn't like the restaurants nearby. Between Green Grotto and Banjara Indian Cuisine, this person should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Green Grotto'}
{'statement': "Someone doesn't like the restaurants nearby. Between Capitol Trattoria Pizzeria and Dangerous Dan's Diner, this person should go to Capitol Trattoria Pizzeria.", 'answer': 'Capitol Trattoria Pizzeria', 'candidate': "Dangerous Dan's Diner"}
{'statement': "Someone doesn't like the restaurants nearby. Between Green Room and Pizza Pizza, this person should go to Green Room.", 'answer': 'Green Room', 'candidate': 'Pizza Pizza'}
{'statement': "Someone doesn't like the restaurants nearby. Between Basil Express Restaurant and Cafe Jules, this person should go to Cafe Jules.", 'answer': 'Cafe Jules', 'candidate': 'Basil Express Restaurant'}
{'statement': "Someone doesn't like the restaurants nearby. Between Marcello’s pizzeria and Hina Sushi, this person should go to Hina Sushi.", 'answer': 'Hina Sushi', 'candidate': 'Marcello’s pizzeria'}
{'statement': "Someone doesn't like the restaurants nearby. Between McDonald's and Bonne Journee, this person should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': "McDonald's"}
{'statement': "Someone doesn't like the restaurants nearby. Between Big Al's Diner and Just Soups Take Out & Catering, this person should go to Big Al's Diner.", 'answer': "Big Al's Diner", 'candidate': 'Just Soups Take Out & Catering'}
{'statement': "Someone doesn't like the restaurants nearby. Between Mt Everest Restaurant and McDonald's, this person should go to Mt Everest Restaurant.", 'answer': 'Mt Everest Restaurant', 'candidate': "McDonald's"}
{'statement': "Someone doesn't like the restaurants nearby. Between Basha Middle Eastern Grill and Eggspectation, this person should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': 'Basha Middle Eastern Grill'}
{'statement': "Someone doesn't like the restaurants nearby. Between Breakfast Room and New Bilan Restaurant, this person should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': 'Breakfast Room'}
{'statement': "Someone doesn't like the restaurants nearby. Between LCBO and Ici Bistro, this person should go to Ici Bistro.", 'answer': 'Ici Bistro', 'candidate': 'LCBO'}
{'statement': "Someone doesn't like the restaurants nearby. Between Pasta Pantry and Warung Indonesia D'Eglinton, this person should go to Pasta Pantry.", 'answer': 'Pasta Pantry', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': "Someone doesn't like the restaurants nearby. Between Amaya Express and Grappa Ristorante, this person should go to Grappa Ristorante.", 'answer': 'Grappa Ristorante', 'candidate': 'Amaya Express'}
{'statement': "Someone doesn't like the restaurants nearby. Between St. Clair Shawarma and Falafel and 9 Restaurant, this person should go to St. Clair Shawarma and Falafel.", 'answer': 'St. Clair Shawarma and Falafel', 'candidate': '9 Restaurant'}
{'statement': "Someone doesn't like the restaurants nearby. Between Dinah's Cupboard and New Bilan Restaurant, this person should go to New Bilan Restaurant.", 'answer': 'New Bilan Restaurant', 'candidate': "Dinah's Cupboard"}
{'statement': "Someone doesn't like the restaurants nearby. Between Banjara Indian Cuisine and Paradise Farms Prime Beef Bistro, this person should go to Banjara Indian Cuisine.", 'answer': 'Banjara Indian Cuisine', 'candidate': 'Paradise Farms Prime Beef Bistro'}
{'statement': "Someone doesn't like the restaurants nearby. Between Beryl's Pepper Pot and Chipotle Mexican Grill, this person should go to Beryl's Pepper Pot.", 'answer': "Beryl's Pepper Pot", 'candidate': 'Chipotle Mexican Grill'}
{'statement': "Someone doesn't like the restaurants nearby. Between Bonne Journee and Daily Press Juicery, this person should go to Bonne Journee.", 'answer': 'Bonne Journee', 'candidate': 'Daily Press Juicery'}
{'statement': "Someone doesn't like the restaurants nearby. Between Bao Bao Plus Dim Sum and Domino's Pizza, this person should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': "Someone doesn't like the restaurants nearby. Between Nutella Cafe by Pusateri's and Delicious Paradise Kitchen, this person should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'Delicious Paradise Kitchen'}
